  hr_employee_projects  ·  300 lignes  ·  7 colonnes,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
ASG0134,EMP0089,PRJ0052,QA Lead,100,2023-06-12,2023-12-05
ASG0135,EMP0038,PRJ0037,SME,25,2023-03-18,2024-04-13
ASG0136,EMP0126,PRJ0012,QA Lead,100,2022-07-22,2022-10-30
ASG0137,EMP0126,PRJ0044,Lead,100,2022-03-04,2022-04-21
ASG0138,EMP0112,PRJ0059,Reviewer,75,2021-04-08,2021-11-23
ASG0139,EMP0037,PRJ0002,Support,75,2022-03-08,2022-09-01
ASG0140,EMP0091,PRJ0031,Architect,25,2021-05-31,2022-06-06
ASG0141,EMP0112,PRJ0044,Contributor,75,2023-09-04,2024-09-25
ASG0142,EMP0038,PRJ0055,Lead,75,2024-07-07,2024-10-19
ASG0143,EMP0024,PRJ0007,Lead,100,2022-07-25,2023-07-25
ASG0144,EMP0143,PRJ0050,QA Lead,50,2021-06-08,2022-02-16
ASG0145,EMP0098,PRJ0053,Architect,50,2022-10-02,2023-08-31
ASG0146,EMP0003,PRJ0032,Contributor,50,2021-04-28,2022-03-12
ASG0147,EMP0075,PRJ0012,Lead,50,2023-08-05,2024-01-17
ASG0148,EMP0037,PRJ0020,Lead,100,2023-09-30,2024-10-05
ASG0149,EMP0077,PRJ0043,Architect,50,2024-09-30,2025-01-03
ASG0150,EMP0033,PRJ0021,Support,25,2024-11-24,2025-07-27
ASG0151,EMP0075,PRJ0004,Reviewer,75,2021-02-27,2021-06-20
ASG0152,EMP0068,PRJ0008,Contributor,75,2022-06-29,2023-07-24
ASG0153,EMP0094,PRJ0028,Support,100,2022-09-23,2023-02-11
ASG0154,EMP0124,PRJ0006,Lead,25,2023-10-23,2024-02-01
ASG0155,EMP0012,PRJ0025,Contributor,75,2022-03-01,2022-12-08
ASG0156,EMP0092,PRJ0041,Architect,100,2024-03-30,2025-03-12
ASG0157,EMP0070,PRJ0039,Reviewer,100,2023-08-16,2024-05-07
ASG0158,EMP0092,PRJ0027,Support,100,2022-07-29,2023-05-08
ASG0159,EMP0097,PRJ0026,QA Lead,75,2023-06-23,2024-05-12
ASG0160,EMP0024,PRJ0015,SME,25,2022-09-12,2023-05-01
ASG0161,EMP0150,PRJ0049,Lead,50,2022-07-25,2022-11-17
ASG0162,EMP0078,PRJ0050,Contributor,25,2021-10-18,2022-06-21
ASG0163,EMP0066,PRJ0048,Contributor,50,2022-12-25,2024-01-06
ASG0164,EMP0073,PRJ0047,SME,50,2022-08-11,2022-11-10
ASG0165,EMP0079,PRJ0026,Lead,25,2021-07-14,2022-01-05
ASG0166,EMP0147,PRJ0033,Reviewer,25,2022-01-28,2022-03-26
ASG0167,EMP0086,PRJ0054,Lead,50,2023-10-26,2024-06-28
ASG0168,EMP0094,PRJ0005,Support,25,2022-08-23,2023-03-06
ASG0169,EMP0022,PRJ0035,Support,100,2022-04-10,2022-11-06
ASG0170,EMP0053,PRJ0040,Architect,25,2023-07-26,2023-09-12
ASG0171,EMP0083,PRJ0030,Contributor,75,2024-01-09,2024-03-25
ASG0172,EMP0005,PRJ0035,Support,75,2021-04-12,2021-05-30
ASG0173,EMP0085,PRJ0004,Contributor,75,2024-09-09,2025-02-25
ASG0174,EMP0096,PRJ0008,Support,75,2022-03-06,2022-04-24
ASG0175,EMP0033,PRJ0047,Architect,75,2024-12-01,2025-03-30
ASG0176,EMP0039,PRJ0045,SME,75,2021-03-31,2022-02-23
ASG0177,EMP0083,PRJ0001,QA Lead,25,2022-01-27,2022-05-11
ASG0178,EMP0025,PRJ0024,Architect,75,2022-11-21,2023-10-11
ASG0179,EMP0095,PRJ0037,Reviewer,25,2021-12-21,2022-11-27
ASG0180,EMP0113,PRJ0008,Support,75,2023-06-07,2023-12-19
ASG0181,EMP0056,PRJ0025,Lead,25,2021-04-05,2021-06-29
ASG0182,EMP0121,PRJ0050,Contributor,50,2021-01-01,2021-11-07
ASG0183,EMP0012,PRJ0043,Contributor,75,2022-05-25,2022-10-04
ASG0184,EMP0138,PRJ0013,Lead,75,2023-03-24,2023-09-06
ASG0185,EMP0032,PRJ0031,Contributor,25,2024-04-01,2025-04-01
ASG0186,EMP0108,PRJ0022,Reviewer,25,2021-05-31,2021-08-01
ASG0187,EMP0026,PRJ0056,Support,100,2022-08-26,2022-12-25
ASG0188,EMP0098,PRJ0008,Support,50,2021-08-31,2022-06-01
ASG0189,EMP0004,PRJ0012,Reviewer,50,2021-09-08,2022-07-14
ASG0190,EMP0066,PRJ0023,QA Lead,50,2021-03-27,2021-10-28
ASG0191,EMP0084,PRJ0041,Architect,100,2024-04-11,2025-01-02
ASG0192,EMP0058,PRJ0006,SME,25,2022-02-12,2022-05-30
ASG0193,EMP0031,PRJ0013,SME,50,2021-06-02,2021-12-07
ASG0194,EMP0051,PRJ0017,SME,100,2024-12-21,2025-08-02
ASG0195,EMP0100,PRJ0009,Lead,50,2024-05-23,2025-06-12
ASG0196,EMP0097,PRJ0012,Reviewer,50,2021-06-10,2022-05-09
ASG0197,EMP0071,PRJ0056,Lead,100,2022-06-13,2022-07-14
ASG0198,EMP0020,PRJ0054,Support,25,2022-08-20,2023-09-10
ASG0199,EMP0034,PRJ0001,SME,75,2022-12-04,2023-11-04
ASG0200,EMP0143,PRJ0019,Support,75,2022-06-12,2022-11-01
ASG0201,EMP0052,PRJ0028,Lead,100,2021-05-07,2021-11-04
ASG0202,EMP0133,PRJ0007,QA Lead,50,2022-02-18,2022-09-25
ASG0203,EMP0061,PRJ0014,Contributor,100,2024-11-22,2025-11-05
ASG0204,EMP0071,PRJ0005,Reviewer,25,2023-06-27,2024-04-08
ASG0205,EMP0008,PRJ0044,Support,75,2021-01-07,2021-08-22
ASG0206,EMP0095,PRJ0035,Reviewer,75,2021-10-18,2022-03-30
ASG0207,EMP0131,PRJ0048,Architect,100,2022-05-04,2023-03-15
ASG0208,EMP0097,PRJ0006,Contributor,75,2021-10-16,2022-08-08
ASG0209,EMP0125,PRJ0040,Reviewer,25,2021-01-05,2021-10-07
ASG0210,EMP0053,PRJ0003,SME,25,2024-12-09,2025-09-11
ASG0211,EMP0033,PRJ0037,SME,75,2022-05-28,2023-01-10
ASG0212,EMP0064,PRJ0025,Support,100,2023-05-23,2023-09-29
ASG0213,EMP0026,PRJ0059,QA Lead,100,2022-03-14,2022-07-13
ASG0214,EMP0133,PRJ0026,Contributor,100,2022-05-21,2022-12-08
ASG0215,EMP0079,PRJ0032,Lead,25,2021-02-17,2021-06-19
ASG0216,EMP0022,PRJ0019,QA Lead,75,2022-02-08,2023-01-15
ASG0217,EMP0049,PRJ0058,Contributor,75,2024-06-19,2024-10-09
ASG0218,EMP0114,PRJ0011,QA Lead,50,2023-11-15,2024-09-12
ASG0219,EMP0131,PRJ0008,Support,75,2022-12-21,2023-12-05
ASG0220,EMP0098,PRJ0001,Lead,50,2022-08-25,2023-07-05
ASG0221,EMP0119,PRJ0019,Support,100,2022-09-17,2022-10-26
ASG0222,EMP0099,PRJ0018,Lead,50,2024-01-17,2024-06-17
ASG0223,EMP0087,PRJ0032,Contributor,50,2023-12-07,2024-05-22
ASG0224,EMP0073,PRJ0060,Contributor,75,2021-09-25,2021-11-16
ASG0225,EMP0104,PRJ0035,Reviewer,50,2023-11-25,2024-10-23
ASG0226,EMP0064,PRJ0038,SME,100,2022-04-02,2022-05-15
ASG0227,EMP0101,PRJ0045,QA Lead,100,2021-10-24,2022-03-03
ASG0228,EMP0139,PRJ0046,Contributor,25,2021-10-30,2022-10-01
ASG0229,EMP0036,PRJ0038,Support,100,2022-08-29,2023-02-17
ASG0230,EMP0091,PRJ0051,QA Lead,75,2022-06-10,2023-02-09
ASG0231,EMP0004,PRJ0056,SME,25,2022-01-29,2023-01-26
ASG0232,EMP0139,PRJ0027,QA Lead,100,2023-10-30,2024-05-31
ASG0233,EMP0150,PRJ0012,Architect,75,2023-08-31,2024-06-20
ASG0234,EMP0030,PRJ0053,Contributor,100,2024-07-16,2025-01-12
ASG0235,EMP0083,PRJ0059,Architect,50,2022-08-06,2023-04-28
ASG0236,EMP0127,PRJ0008,SME,75,2024-03-05,2025-02-07
ASG0237,EMP0021,PRJ0041,Architect,75,2021-09-07,2021-12-02
ASG0238,EMP0059,PRJ0026,Reviewer,100,2022-09-02,2023-05-31
ASG0239,EMP0042,PRJ0038,Lead,75,2021-07-17,2022-01-21
ASG0240,EMP0012,PRJ0047,QA Lead,75,2021-08-27,2022-05-12
ASG0241,EMP0001,PRJ0036,Contributor,25,2021-12-29,2023-01-13
ASG0242,EMP0097,PRJ0008,SME,50,2023-08-25,2024-03-22
ASG0243,EMP0140,PRJ0009,SME,75,2024-10-30,2025-11-16
ASG0244,EMP0068,PRJ0059,Support,25,2021-12-16,2022-12-08
ASG0245,EMP0130,PRJ0055,Reviewer,75,2021-03-01,2021-09-13
ASG0246,EMP0024,PRJ0012,QA Lead,75,2024-01-17,2024-04-15
ASG0247,EMP0042,PRJ0007,QA Lead,100,2024-07-26,2025-01-28
ASG0248,EMP0079,PRJ0052,Reviewer,100,2023-06-28,2023-11-22
ASG0249,EMP0101,PRJ0022,QA Lead,50,2021-09-12,2022-06-09
ASG0250,EMP0007,PRJ0020,Lead,50,2023-07-29,2023-12-04
ASG0251,EMP0117,PRJ0049,SME,50,2021-09-10,2022-04-13
ASG0252,EMP0006,PRJ0025,Contributor,25,2023-11-10,2024-02-18
ASG0253,EMP0002,PRJ0060,QA Lead,75,2022-03-25,2023-01-12
ASG0254,EMP0031,PRJ0050,QA Lead,100,2022-05-08,2023-04-20
ASG0255,EMP0085,PRJ0006,QA Lead,100,2024-06-28,2025-06-17
ASG0256,EMP0047,PRJ0045,Reviewer,50,2022-06-25,2022-12-07
ASG0257,EMP0009,PRJ0024,Architect,100,2023-01-12,2023-05-10
ASG0258,EMP0060,PRJ0053,Architect,25,2023-01-14,2023-11-30
ASG0259,EMP0132,PRJ0052,Reviewer,75,2023-11-26,2024-03-15
ASG0260,EMP0044,PRJ0039,Architect,100,2021-11-16,2022-08-20
ASG0261,EMP0009,PRJ0012,SME,75,2023-01-18,2023-08-17
ASG0262,EMP0144,PRJ0052,Reviewer,75,2022-10-17,2023-01-24
ASG0263,EMP0041,PRJ0054,Reviewer,75,2021-03-19,2021-12-31
ASG0264,EMP0116,PRJ0060,QA Lead,25,2021-12-31,2022-05-05
ASG0265,EMP0130,PRJ0043,SME,100,2024-11-11,2025-07-28
ASG0266,EMP0062,PRJ0016,Reviewer,50,2024-08-28,2025-05-18
ASG0267,EMP0008,PRJ0055,Support,50,2024-07-18,2024-10-30
ASG0268,EMP0053,PRJ0004,SME,25,2021-01-08,2021-09-20
ASG0269,EMP0022,PRJ0039,Reviewer,100,2022-12-26,2023-09-02
ASG0270,EMP0049,PRJ0009,Reviewer,25,2024-05-04,2024-12-21
ASG0271,EMP0106,PRJ0009,Reviewer,100,2021-05-25,2022-05-15
ASG0272,EMP0122,PRJ0018,SME,100,2024-02-16,2024-06-30
ASG0273,EMP0128,PRJ0019,Lead,50,2023-10-04,2024-09-27
ASG0274,EMP0005,PRJ0014,Support,50,2023-04-28,2024-02-16
ASG0275,EMP0110,PRJ0043,Lead,50,2024-12-16,2025-07-31
ASG0276,EMP0131,PRJ0030,SME,100,2021-08-27,2022-03-15
ASG0277,EMP0129,PRJ0017,Reviewer,50,2021-02-10,2021-04-15
ASG0278,EMP0137,PRJ0041,Support,75,2024-02-04,2024-12-09
ASG0279,EMP0084,PRJ0012,Architect,100,2022-01-17,2022-09-03
ASG0280,EMP0041,PRJ0030,Support,25,2022-07-13,2022-08-17
ASG0281,EMP0063,PRJ0057,Lead,25,2022-08-26,2023-04-04
ASG0282,EMP0144,PRJ0051,Contributor,100,2024-02-15,2024-03-30
ASG0283,EMP0061,PRJ0024,Support,25,2021-07-01,2022-05-28
ASG0284,EMP0069,PRJ0043,Architect,100,2024-11-19,2025-04-30
ASG0285,EMP0087,PRJ0001,Architect,100,2021-02-11,2021-04-07
ASG0286,EMP0110,PRJ0018,Reviewer,25,2024-09-15,2025-10-04
ASG0287,EMP0122,PRJ0043,SME,50,2021-05-28,2022-06-10
ASG0288,EMP0083,PRJ0015,Support,25,2022-08-13,2022-10-31
ASG0289,EMP0084,PRJ0055,SME,75,2022-11-04,2023-03-07
ASG0290,EMP0067,PRJ0041,QA Lead,50,2021-03-03,2021-11-12
ASG0291,EMP0048,PRJ0004,Reviewer,25,2021-08-21,2021-11-17
ASG0292,EMP0059,PRJ0060,Architect,50,2021-03-03,2022-01-31
ASG0293,EMP0090,PRJ0013,Lead,100,2021-08-16,2022-08-07
ASG0294,EMP0083,PRJ0041,QA Lead,25,2024-11-08,2025-06-06
ASG0295,EMP0033,PRJ0010,Reviewer,75,2022-02-25,2022-04-24
ASG0296,EMP0141,PRJ0037,Lead,100,2023-05-16,2023-07-23
ASG0297,EMP0056,PRJ0032,Support,100,2023-02-25,2023-04-02
ASG0298,EMP0016,PRJ0025,Support,25,2021-01-21,2021-08-14
ASG0299,EMP0016,PRJ0046,Reviewer,25,2023-05-10,2023-12-07
ASG0300,EMP0025,PRJ0006,Contributor,50,2024-01-12,2024-11-19
