  crm_accounts  ·  200 lignes  ·  10 colonnes,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
ACC0026,BH Bank,Finance,Tunisie,58647794.3,https://www.bhbank.tn,+216 23 236 400,Bizerte,2022-10-13,2024-12-23
ACC0027,SOMOCER,Construction,Tunisie,79349685.77,https://www.somocer.tn,+216 99 685 803,Tunis,2018-09-03,2023-05-20
ACC0028,GCT,Chimie,Tunisie,36935814.4,https://www.gct.tn,+216 90 958 105,Tunis,2019-06-19,2023-02-23
ACC0029,CNSS,Secteur Public,Tunisie,43871546.54,https://www.cnss.tn,+216 27 715 503,Nabeul,2019-10-10,2022-05-29
ACC0030,BIAT Leasing,Finance,Tunisie,91717790.06,https://www.biatleasing.tn,+216 99 529 119,Nabeul,2018-09-29,2023-12-16
ACC0031,Delice Danone,Agroalimentaire,Tunisie,119854110.69,https://www.delicedanone.tn,+216 52 313 819,Ariana,2018-01-17,2023-09-06
ACC0032,SOMOCER,Construction,Tunisie,6601648.18,https://www.somocer.tn,+216 25 135 619,Sousse,2019-08-01,2023-03-08
ACC0033,Carthage Cement,Construction,Tunisie,1674157.72,https://www.carthagecement.tn,+216 26 356 517,Sfax,2022-08-26,2023-07-21
ACC0034,UIB Banque,Finance,Tunisie,68749128.52,https://www.uibbanque.tn,+216 21 891 764,Monastir,2021-02-22,2022-01-20
ACC0035,Ooredoo Tunisie,Telecom,Tunisie,27917465.84,https://www.ooredootunisie.tn,+216 23 827 292,Bizerte,2018-09-19,2022-03-27
ACC0036,Microsoft Tunisie,Technology,Tunisie,52285045.96,https://www.microsofttunis.tn,+216 92 473 613,Bizerte,2021-06-25,2022-11-13
ACC0037,Ministere de l Education,Secteur Public,Tunisie,118829220.05,https://www.ministeredeled.tn,+216 27 805 254,Ariana,2022-07-01,2023-05-24
ACC0038,SNCFT,Transport,Tunisie,130631035.04,https://www.sncft.tn,+216 20 805 391,Bizerte,2019-09-18,2023-04-12
ACC0039,Amen Bank,Finance,Tunisie,101344667.36,https://www.amenbank.tn,+216 50 199 698,Sfax,2020-03-29,2023-11-10
ACC0040,Star Assurance,Assurance,Tunisie,100051067.78,https://www.starassurance.tn,+216 20 663 940,Monastir,2022-02-01,2023-10-05
ACC0041,CIH Bank Maroc,Finance,Maroc,131222434.02,https://www.cihbankmaroc.tn,+216 27 507 352,Monastir,2018-01-04,2024-11-30
ACC0042,SONEDE,Eau et Assainissement,Tunisie,122519861.06,https://www.sonede.tn,+216 95 968 304,Nabeul,2022-01-14,2023-09-08
ACC0043,SNCFT,Transport,Tunisie,69987980.02,https://www.sncft.tn,+216 23 334 831,Monastir,2021-09-23,2024-02-16
ACC0044,BH Bank,Finance,Tunisie,80669393.02,https://www.bhbank.tn,+216 95 171 964,Bizerte,2019-08-11,2023-03-07
ACC0045,Carthage Cement,Construction,Tunisie,31285765.14,https://www.carthagecement.tn,+216 55 464 565,Tunis,2020-08-27,2022-12-14
ACC0046,Ministere des Finances,Secteur Public,Tunisie,13514685.24,https://www.ministeredesfi.tn,+216 25 436 431,Tunis,2019-04-06,2023-02-12
ACC0047,TTS,Technology,Tunisie,111910879.19,https://www.tts.tn,+216 95 450 337,Monastir,2020-04-28,2023-02-03
ACC0048,IBM Tunisie,Technology,Tunisie,102964087.23,https://www.ibmtunisie.tn,+216 27 550 529,Bizerte,2022-05-14,2024-05-20
ACC0049,Tunisie Telecom,Telecom,Tunisie,17097641.61,https://www.tunisietelecom.tn,+216 22 235 175,Tunis,2022-06-30,2024-08-09
ACC0050,Star Assurance,Assurance,Tunisie,110263974.62,https://www.starassurance.tn,+216 24 431 818,Sousse,2022-08-29,2024-07-02
ACC0051,Ministere de l Education,Secteur Public,Tunisie,91989672.01,https://www.ministeredeled.tn,+216 55 983 162,Sousse,2020-09-19,2023-05-05
ACC0052,CNSS,Secteur Public,Tunisie,11907906.51,https://www.cnss.tn,+216 99 348 345,Tunis,2018-11-05,2023-04-19
ACC0053,BIAT,Finance,Tunisie,6693249.01,https://www.biat.tn,+216 98 714 778,Bizerte,2018-05-08,2023-02-28
ACC0054,Ministere des Finances,Secteur Public,Tunisie,25092296.84,https://www.ministeredesfi.tn,+216 98 984 684,Sfax,2018-01-13,2023-12-22
ACC0055,STB Banque,Finance,Tunisie,45615119.49,https://www.stbbanque.tn,+216 52 883 175,Tunis,2019-03-26,2023-07-13
ACC0056,Attijari Bank,Finance,Tunisie,121502055.38,https://www.attijaribank.tn,+216 26 885 554,Ariana,2018-09-19,2024-12-29
ACC0057,Orange Tunisie,Telecom,Tunisie,67224889.58,https://www.orangetunisie.tn,+216 53 117 756,Monastir,2022-11-11,2024-08-03
ACC0058,Ministere de l Education,Secteur Public,Tunisie,58121768.21,https://www.ministeredeled.tn,+216 90 125 409,Ariana,2022-03-21,2024-05-13
ACC0059,Leoni Tunisie,Industrie,Tunisie,127859922.67,https://www.leonitunisie.tn,+216 55 823 143,Ariana,2022-05-19,2022-03-24
ACC0060,Ministere de l Education,Secteur Public,Tunisie,64688388.55,https://www.ministeredeled.tn,+216 26 371 530,Sousse,2021-10-03,2022-08-23
ACC0061,SPS Tunisia,Technology,Tunisie,2694909.44,https://www.spstunisia.tn,+216 52 481 734,Bizerte,2019-09-30,2022-08-10
ACC0062,BH Bank,Finance,Tunisie,59014211.33,https://www.bhbank.tn,+216 26 523 747,Bizerte,2021-04-27,2023-05-13
ACC0063,OCP Maroc,Industrie,Maroc,10034933.59,https://www.ocpmaroc.tn,+216 92 803 548,Ariana,2021-09-16,2024-01-29
ACC0064,Yazaki Tunisie,Industrie,Tunisie,26008614.27,https://www.yazakitunisie.tn,+216 55 473 580,Sfax,2021-12-19,2022-11-10
ACC0065,Amen Bank,Finance,Tunisie,108340838.06,https://www.amenbank.tn,+216 24 134 778,Monastir,2022-08-19,2023-07-04
ACC0066,Star Assurance,Assurance,Tunisie,85274510.39,https://www.starassurance.tn,+216 27 513 213,Ariana,2019-11-20,2022-02-28
ACC0067,CIH Bank Maroc,Finance,Maroc,47175553.41,https://www.cihbankmaroc.tn,+216 55 370 168,Tunis,2022-12-08,2023-07-20
ACC0068,Tunisie Telecom,Telecom,Tunisie,125962931.72,https://www.tunisietelecom.tn,+216 24 962 374,Nabeul,2021-08-15,2024-10-02
ACC0069,Ooredoo Tunisie,Telecom,Tunisie,39478363.35,https://www.ooredootunisie.tn,+216 23 558 695,Nabeul,2020-08-27,2024-12-23
ACC0070,SNCFT,Transport,Tunisie,126301914.97,https://www.sncft.tn,+216 52 317 504,Nabeul,2018-09-05,2023-01-30
ACC0071,CNSS,Secteur Public,Tunisie,1994656.48,https://www.cnss.tn,+216 24 815 858,Monastir,2018-07-25,2023-02-02
ACC0072,STEG,Energie,Tunisie,7908805.93,https://www.steg.tn,+216 55 602 267,Tunis,2018-04-22,2023-08-22
ACC0073,GCT,Chimie,Tunisie,37814177.64,https://www.gct.tn,+216 98 108 629,Sfax,2019-11-29,2023-01-13
ACC0074,TTS,Technology,Tunisie,88534313.12,https://www.tts.tn,+216 50 757 883,Nabeul,2018-11-02,2023-09-15
ACC0075,BIAT,Finance,Tunisie,14458095.21,https://www.biat.tn,+216 23 421 422,Ariana,2020-02-19,2024-07-11
ACC0076,SPS Tunisia,Technology,Tunisie,83684198.29,https://www.spstunisia.tn,+216 25 827 971,Sfax,2022-04-12,2023-03-02
ACC0077,CNSS,Secteur Public,Tunisie,44724112.47,https://www.cnss.tn,+216 25 902 844,Nabeul,2020-04-16,2024-07-11
ACC0078,Talan France,Consulting,France,14866825.92,https://www.talanfrance.tn,+216 95 949 689,Monastir,2021-11-08,2023-04-24
ACC0079,Microsoft Tunisie,Technology,Tunisie,5149029.91,https://www.microsofttunis.tn,+216 99 900 152,Ariana,2022-08-20,2022-10-19
ACC0080,BNA Banque,Finance,Tunisie,128098126,https://www.bnabanque.tn,+216 24 185 469,Ariana,2021-11-11,2023-09-15
ACC0081,Leoni Tunisie,Industrie,Tunisie,103359939.93,https://www.leonitunisie.tn,+216 27 195 530,Tunis,2022-02-13,2023-10-23
ACC0082,Tunisie Telecom,Telecom,Tunisie,80556493.43,https://www.tunisietelecom.tn,+216 53 902 496,Tunis,2021-03-26,2022-03-24
ACC0083,STB Banque,Finance,Tunisie,72244643.9,https://www.stbbanque.tn,+216 52 197 943,Tunis,2018-07-06,2024-08-20
ACC0084,Carthage Cement,Construction,Tunisie,69680189.88,https://www.carthagecement.tn,+216 98 342 934,Monastir,2021-09-18,2024-03-31
ACC0085,Carthage Cement,Construction,Tunisie,33518756.5,https://www.carthagecement.tn,+216 55 292 257,Nabeul,2022-11-07,2024-11-19
ACC0086,Total Energies TN,Energie,Tunisie,133397106.85,https://www.totalenergiest.tn,+216 52 632 330,Sfax,2022-04-06,2022-04-16
ACC0087,Talan France,Consulting,France,144257706.82,https://www.talanfrance.tn,+216 98 976 735,Bizerte,2021-07-14,2023-05-06
ACC0088,BH Bank,Finance,Tunisie,76167306.03,https://www.bhbank.tn,+216 20 763 934,Monastir,2018-08-29,2022-11-12
ACC0089,GCT,Chimie,Tunisie,18520210.53,https://www.gct.tn,+216 55 671 309,Ariana,2020-07-24,2022-10-24
ACC0090,Yazaki Tunisie,Industrie,Tunisie,113635311.86,https://www.yazakitunisie.tn,+216 55 525 542,Ariana,2019-11-28,2024-11-05
ACC0091,VERMEG,Technology,Tunisie,107165730.24,https://www.vermeg.tn,+216 26 215 103,Nabeul,2020-07-03,2024-09-18
ACC0092,OCP Maroc,Industrie,Maroc,143354938.17,https://www.ocpmaroc.tn,+216 22 442 945,Ariana,2019-04-24,2024-04-21
ACC0093,BIAT,Finance,Tunisie,27176322.59,https://www.biat.tn,+216 99 483 776,Nabeul,2018-03-17,2022-09-16
ACC0094,SNCFT,Transport,Tunisie,55357052.87,https://www.sncft.tn,+216 52 770 693,Nabeul,2022-01-19,2022-10-23
ACC0095,Star Assurance,Assurance,Tunisie,99989705.84,https://www.starassurance.tn,+216 20 260 326,Tunis,2022-10-11,2023-11-04
ACC0096,Attijari Bank,Finance,Tunisie,97911365.92,https://www.attijaribank.tn,+216 55 340 674,Monastir,2021-06-18,2022-05-21
ACC0097,Tunisair,Transport,Tunisie,90518248.97,https://www.tunisair.tn,+216 23 760 299,Bizerte,2018-12-07,2023-09-06
ACC0098,SNCFT,Transport,Tunisie,129603969.46,https://www.sncft.tn,+216 98 395 617,Ariana,2019-05-16,2024-12-23
ACC0099,SONEDE,Eau et Assainissement,Tunisie,50346470.91,https://www.sonede.tn,+216 98 967 365,Bizerte,2021-04-09,2022-10-21
ACC0100,Banque Centrale Tunisie,Finance,Tunisie,148423659.93,https://www.banquecentrale.tn,+216 53 793 971,Sousse,2018-06-01,2024-06-23
ACC0101,CNSS,Secteur Public,Tunisie,89222157.9,https://www.cnss.tn,+216 27 359 921,Nabeul,2022-10-14,2024-09-16
ACC0102,Delice Danone,Agroalimentaire,Tunisie,110908687.59,https://www.delicedanone.tn,+216 21 601 378,Bizerte,2019-07-17,2022-01-17
ACC0103,Leoni Tunisie,Industrie,Tunisie,126783169.2,https://www.leonitunisie.tn,+216 95 108 880,Sfax,2019-03-25,2023-01-25
ACC0104,Carthage Cement,Construction,Tunisie,70677750.17,https://www.carthagecement.tn,+216 92 667 338,Monastir,2021-04-01,2024-01-18
ACC0105,Sfax Cables,Industrie,Tunisie,73123488.02,https://www.sfaxcables.tn,+216 50 475 514,Bizerte,2020-12-23,2024-10-24
ACC0106,CIH Bank Maroc,Finance,Maroc,143433995.19,https://www.cihbankmaroc.tn,+216 50 985 829,Sousse,2020-08-17,2022-06-04
ACC0107,Talan Maroc,Consulting,Maroc,142360603.51,https://www.talanmaroc.tn,+216 26 998 248,Ariana,2019-06-26,2022-09-11
ACC0108,STIIP Assurance,Assurance,Tunisie,119993140.05,https://www.stiipassurance.tn,+216 90 660 578,Nabeul,2018-02-21,2023-11-03
ACC0109,STEG,Energie,Tunisie,78470668.67,https://www.steg.tn,+216 24 561 989,Tunis,2018-10-14,2022-04-03
ACC0110,Star Assurance,Assurance,Tunisie,120730046.76,https://www.starassurance.tn,+216 95 403 209,Nabeul,2021-10-05,2024-05-08
ACC0111,Leoni Tunisie,Industrie,Tunisie,9618722.53,https://www.leonitunisie.tn,+216 90 763 912,Monastir,2021-11-14,2024-01-29
ACC0112,Tunisair,Transport,Tunisie,83050123.24,https://www.tunisair.tn,+216 95 636 687,Monastir,2018-05-05,2024-03-26
ACC0113,Talan France,Consulting,France,149670130.37,https://www.talanfrance.tn,+216 23 678 279,Sousse,2022-05-31,2023-11-15
ACC0114,CNSS,Secteur Public,Tunisie,10946388.07,https://www.cnss.tn,+216 24 434 359,Sousse,2019-11-04,2022-10-30
ACC0115,Sfax Cables,Industrie,Tunisie,36078983.64,https://www.sfaxcables.tn,+216 26 834 248,Bizerte,2018-08-14,2022-02-22
ACC0116,Ministere des Finances,Secteur Public,Tunisie,37305981.45,https://www.ministeredesfi.tn,+216 55 427 553,Nabeul,2022-02-28,2024-05-12
ACC0117,Ministere des Finances,Secteur Public,Tunisie,133184461.17,https://www.ministeredesfi.tn,+216 25 726 227,Tunis,2020-10-28,2023-03-30
ACC0118,Amen Bank,Finance,Tunisie,61929435.66,https://www.amenbank.tn,+216 90 424 393,Sfax,2021-11-06,2022-08-10
ACC0119,UIB Banque,Finance,Tunisie,753267.03,https://www.uibbanque.tn,+216 53 330 162,Sousse,2019-07-18,2023-10-28
ACC0120,STB Banque,Finance,Tunisie,47522683.01,https://www.stbbanque.tn,+216 20 401 281,Nabeul,2020-05-30,2024-07-13
ACC0121,Orange Tunisie,Telecom,Tunisie,74602796.83,https://www.orangetunisie.tn,+216 55 280 221,Bizerte,2020-05-24,2023-10-03
ACC0122,Yazaki Tunisie,Industrie,Tunisie,120526853.88,https://www.yazakitunisie.tn,+216 25 216 495,Bizerte,2020-06-03,2022-07-17
ACC0123,Talan France,Consulting,France,122547094.99,https://www.talanfrance.tn,+216 25 799 189,Bizerte,2020-04-21,2023-12-26
ACC0124,BH Bank,Finance,Tunisie,12000518.54,https://www.bhbank.tn,+216 95 633 880,Sousse,2019-03-12,2022-11-13
ACC0125,SNCFT,Transport,Tunisie,79232302.05,https://www.sncft.tn,+216 52 823 989,Nabeul,2022-07-12,2024-05-28
ACC0126,SPS Tunisia,Technology,Tunisie,80044369.49,https://www.spstunisia.tn,+216 92 545 473,Bizerte,2019-01-05,2023-07-14
ACC0127,BNA Banque,Finance,Tunisie,30412274.2,https://www.bnabanque.tn,+216 24 572 871,Nabeul,2018-10-18,2022-03-04
ACC0128,BH Bank,Finance,Tunisie,85389794.51,https://www.bhbank.tn,+216 23 324 623,Nabeul,2022-01-17,2023-10-27
ACC0129,STB Banque,Finance,Tunisie,35494485.03,https://www.stbbanque.tn,+216 52 978 585,Monastir,2019-07-12,2024-06-26
ACC0130,Poulina Group,Industrie,Tunisie,108061570.26,https://www.poulinagroup.tn,+216 25 399 338,Ariana,2019-12-08,2024-05-30
ACC0131,Poulina Group,Industrie,Tunisie,115788558.57,https://www.poulinagroup.tn,+216 98 578 426,Tunis,2018-01-16,2023-02-23
ACC0132,Orange Tunisie,Telecom,Tunisie,140781071.88,https://www.orangetunisie.tn,+216 27 215 511,Ariana,2018-09-22,2024-02-18
ACC0133,STIIP Assurance,Assurance,Tunisie,16228078.26,https://www.stiipassurance.tn,+216 25 496 906,Tunis,2022-10-31,2022-03-28
ACC0134,Star Assurance,Assurance,Tunisie,142343972.51,https://www.starassurance.tn,+216 95 516 804,Ariana,2019-08-16,2022-08-24
ACC0135,Talan Maroc,Consulting,Maroc,82189804.46,https://www.talanmaroc.tn,+216 50 749 136,Nabeul,2020-06-13,2022-08-05
ACC0136,Carthage Cement,Construction,Tunisie,31508867.1,https://www.carthagecement.tn,+216 22 910 244,Sfax,2019-11-14,2022-12-11
ACC0137,Ooredoo Tunisie,Telecom,Tunisie,17887020.15,https://www.ooredootunisie.tn,+216 26 231 370,Monastir,2018-07-30,2022-10-27
ACC0138,Orange Tunisie,Telecom,Tunisie,45759551.75,https://www.orangetunisie.tn,+216 53 153 595,Nabeul,2020-08-08,2024-07-08
ACC0139,Delice Danone,Agroalimentaire,Tunisie,40459853.68,https://www.delicedanone.tn,+216 95 258 768,Bizerte,2020-08-18,2024-06-24
ACC0140,BIAT,Finance,Tunisie,98032627.26,https://www.biat.tn,+216 24 685 283,Ariana,2018-03-19,2022-04-27
ACC0141,Ministere des Finances,Secteur Public,Tunisie,118787644.54,https://www.ministeredesfi.tn,+216 92 878 189,Monastir,2020-08-05,2022-03-26
ACC0142,Talan Maroc,Consulting,Maroc,73457223.43,https://www.talanmaroc.tn,+216 23 797 253,Sfax,2018-07-31,2023-12-05
ACC0143,OCP Maroc,Industrie,Maroc,74011133.16,https://www.ocpmaroc.tn,+216 99 659 400,Nabeul,2021-06-02,2022-11-22
ACC0144,Ministere de l Education,Secteur Public,Tunisie,146390152.4,https://www.ministeredeled.tn,+216 92 146 605,Monastir,2018-05-15,2023-11-07
ACC0145,VERMEG,Technology,Tunisie,30091169.74,https://www.vermeg.tn,+216 20 674 354,Tunis,2018-06-16,2022-10-17
ACC0146,BNA Banque,Finance,Tunisie,124677256.46,https://www.bnabanque.tn,+216 20 947 206,Bizerte,2022-07-24,2022-09-19
ACC0147,BNA Banque,Finance,Tunisie,126790410.68,https://www.bnabanque.tn,+216 92 990 722,Bizerte,2019-09-25,2023-01-05
ACC0148,UIB Banque,Finance,Tunisie,98004943.44,https://www.uibbanque.tn,+216 22 164 189,Tunis,2020-11-05,2024-12-14
ACC0149,Microsoft Tunisie,Technology,Tunisie,9990940.65,https://www.microsofttunis.tn,+216 50 379 599,Ariana,2022-01-16,2024-06-15
ACC0150,STIIP Assurance,Assurance,Tunisie,46286313.83,https://www.stiipassurance.tn,+216 53 499 661,Sousse,2020-12-29,2023-05-05
ACC0151,Talan France,Consulting,France,101366582.4,https://www.talanfrance.tn,+216 92 553 419,Ariana,2020-10-26,2024-12-16
ACC0152,Tunisie Telecom,Telecom,Tunisie,6509029.4,https://www.tunisietelecom.tn,+216 21 674 391,Monastir,2021-02-09,2022-07-30
ACC0153,STIIP Assurance,Assurance,Tunisie,61283464.64,https://www.stiipassurance.tn,+216 22 822 579,Monastir,2018-10-29,2024-06-14
ACC0154,IBM Tunisie,Technology,Tunisie,87407257.8,https://www.ibmtunisie.tn,+216 24 308 830,Tunis,2020-02-05,2023-04-28
ACC0155,Sfax Cables,Industrie,Tunisie,81768574.01,https://www.sfaxcables.tn,+216 22 328 813,Bizerte,2018-10-09,2022-03-20
ACC0156,OCP Maroc,Industrie,Maroc,79985692.7,https://www.ocpmaroc.tn,+216 53 466 454,Bizerte,2018-02-08,2023-06-09
ACC0157,Ministere de l Education,Secteur Public,Tunisie,17925694.8,https://www.ministeredeled.tn,+216 24 876 110,Sfax,2019-05-02,2023-09-09
ACC0158,CNAM,Secteur Public,Tunisie,123368228.34,https://www.cnam.tn,+216 55 176 923,Nabeul,2021-05-07,2022-02-03
ACC0159,SPS Tunisia,Technology,Tunisie,87678115.05,https://www.spstunisia.tn,+216 55 818 823,Ariana,2021-03-14,2024-05-03
ACC0160,Banque Centrale Tunisie,Finance,Tunisie,80070754.72,https://www.banquecentrale.tn,+216 52 466 641,Monastir,2021-02-08,2022-02-11
ACC0161,Ooredoo Tunisie,Telecom,Tunisie,90461824.8,https://www.ooredootunisie.tn,+216 95 783 898,Tunis,2022-06-03,2022-05-19
ACC0162,Ministere de l Education,Secteur Public,Tunisie,136021273.23,https://www.ministeredeled.tn,+216 52 290 173,Monastir,2022-07-25,2022-12-25
ACC0163,BNA Banque,Finance,Tunisie,95043666.28,https://www.bnabanque.tn,+216 25 981 870,Tunis,2019-08-24,2023-02-17
ACC0164,BH Bank,Finance,Tunisie,61830701.03,https://www.bhbank.tn,+216 22 398 507,Bizerte,2019-06-03,2022-03-16
ACC0165,STEG,Energie,Tunisie,105396338.54,https://www.steg.tn,+216 23 781 338,Monastir,2018-09-12,2024-01-24
ACC0166,CNAM,Secteur Public,Tunisie,108738277.13,https://www.cnam.tn,+216 23 813 170,Monastir,2020-01-23,2024-11-29
ACC0167,Total Energies TN,Energie,Tunisie,79760035.77,https://www.totalenergiest.tn,+216 55 292 463,Ariana,2019-10-20,2022-07-30
ACC0168,Microsoft Tunisie,Technology,Tunisie,30353433.36,https://www.microsofttunis.tn,+216 99 460 791,Sousse,2020-07-04,2022-03-28
ACC0169,SOMOCER,Construction,Tunisie,129151489.73,https://www.somocer.tn,+216 52 828 277,Ariana,2021-10-06,2024-04-11
ACC0170,Ministere des Finances,Secteur Public,Tunisie,147472102.26,https://www.ministeredesfi.tn,+216 25 677 738,Ariana,2018-09-16,2022-05-18
ACC0171,SONEDE,Eau et Assainissement,Tunisie,21017524.49,https://www.sonede.tn,+216 92 669 910,Monastir,2020-01-30,2024-02-01
ACC0172,Microsoft Tunisie,Technology,Tunisie,140059317.82,https://www.microsofttunis.tn,+216 21 844 830,Monastir,2018-08-21,2022-02-23
ACC0173,STB Banque,Finance,Tunisie,129637922,https://www.stbbanque.tn,+216 26 997 525,Ariana,2019-03-16,2023-08-08
ACC0174,Tunisair,Transport,Tunisie,15076940.1,https://www.tunisair.tn,+216 53 418 328,Ariana,2022-07-18,2023-10-17
ACC0175,STB Banque,Finance,Tunisie,38323048.57,https://www.stbbanque.tn,+216 21 324 217,Monastir,2020-11-07,2023-04-05
ACC0176,Carthage Cement,Construction,Tunisie,69211952.64,https://www.carthagecement.tn,+216 22 546 275,Tunis,2022-07-04,2022-09-23
ACC0177,Delice Danone,Agroalimentaire,Tunisie,14753363.05,https://www.delicedanone.tn,+216 25 679 692,Nabeul,2022-04-25,2024-04-18
ACC0178,STIIP Assurance,Assurance,Tunisie,3089948.6,https://www.stiipassurance.tn,+216 20 173 166,Sousse,2019-12-07,2022-09-20
ACC0179,BNA Banque,Finance,Tunisie,119761301.95,https://www.bnabanque.tn,+216 20 510 772,Tunis,2020-11-27,2022-11-10
ACC0180,STEG,Energie,Tunisie,92045344.74,https://www.steg.tn,+216 90 278 367,Sfax,2019-05-29,2023-02-07
ACC0181,BH Bank,Finance,Tunisie,3587150.51,https://www.bhbank.tn,+216 20 473 748,Monastir,2021-04-27,2022-11-12
ACC0182,Leoni Tunisie,Industrie,Tunisie,91890467.21,https://www.leonitunisie.tn,+216 22 571 581,Bizerte,2018-04-04,2023-06-27
ACC0183,Poulina Group,Industrie,Tunisie,35811478.92,https://www.poulinagroup.tn,+216 26 912 798,Bizerte,2021-08-07,2023-09-11
ACC0184,Orange Tunisie,Telecom,Tunisie,27133350.17,https://www.orangetunisie.tn,+216 98 813 924,Monastir,2020-09-18,2024-08-09
ACC0185,BH Bank,Finance,Tunisie,103073593.92,https://www.bhbank.tn,+216 21 875 404,Ariana,2018-09-25,2024-01-29
ACC0186,Poulina Group,Industrie,Tunisie,26583285.74,https://www.poulinagroup.tn,+216 55 684 326,Tunis,2018-07-18,2022-04-14
ACC0187,Ministere des Finances,Secteur Public,Tunisie,39218258.88,https://www.ministeredesfi.tn,+216 90 725 977,Sfax,2022-04-12,2022-11-23
ACC0188,Carthage Cement,Construction,Tunisie,95453575.47,https://www.carthagecement.tn,+216 26 398 225,Monastir,2020-07-25,2023-05-09
ACC0189,Leoni Tunisie,Industrie,Tunisie,148760475.71,https://www.leonitunisie.tn,+216 27 574 810,Nabeul,2021-01-04,2022-01-17
ACC0190,SNCFT,Transport,Tunisie,101051580.28,https://www.sncft.tn,+216 95 905 776,Tunis,2018-04-03,2024-03-31
ACC0191,Star Assurance,Assurance,Tunisie,133415877.66,https://www.starassurance.tn,+216 22 865 884,Nabeul,2022-04-15,2023-07-27
ACC0192,CNSS,Secteur Public,Tunisie,24380184.78,https://www.cnss.tn,+216 95 909 883,Nabeul,2022-03-27,2022-10-23
