  hr_timesheets  ·  887 lignes  ·  12 colonnes,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
TS000044,EMP0046,PRJ0002,2021-07-15,20,15.4,0,Yes,Draft,EMP0046,EMP0149,On-site work
TS000045,EMP0119,PRJ0025,2021-05-07,40,44.8,4.8,Yes,Approved,EMP0119,EMP0136,
TS000046,EMP0119,PRJ0025,2021-03-06,40,41.9,1.9,No,Approved,EMP0119,EMP0048,
TS000047,EMP0119,PRJ0025,2021-05-14,40,50.9,10.9,Yes,Draft,EMP0119,EMP0146,
TS000048,EMP0096,PRJ0043,2024-04-27,40,44.9,4.9,Yes,Approved,EMP0096,EMP0150,Client meeting
TS000049,EMP0096,PRJ0043,2024-09-15,40,43.7,3.7,Yes,Approved,EMP0096,EMP0102,
TS000050,EMP0096,PRJ0043,2024-09-07,40,38.4,0,Yes,Draft,EMP0096,EMP0019,
TS000051,EMP0121,PRJ0019,2022-10-31,10,8.6,0,Yes,Approved,EMP0121,EMP0130,
TS000052,EMP0121,PRJ0019,2022-09-19,10,8.7,0,No,Submitted,EMP0121,EMP0063,
TS000053,EMP0121,PRJ0019,2022-10-09,10,11.6,1.6,Yes,Approved,EMP0121,EMP0136,
TS000054,EMP0129,PRJ0020,2024-01-02,20,24.8,4.8,Yes,Approved,EMP0129,EMP0035,
TS000055,EMP0129,PRJ0020,2023-11-07,20,23.8,3.8,Yes,Approved,EMP0129,EMP0054,On-site work
TS000056,EMP0129,PRJ0020,2023-12-06,20,16.8,0,Yes,Approved,EMP0129,EMP0068,Client meeting
TS000057,EMP0124,PRJ0048,2022-04-30,40,39.9,0,Yes,Approved,EMP0124,EMP0071,
TS000058,EMP0124,PRJ0048,2021-12-26,40,53.1,13.1,Yes,Approved,EMP0124,EMP0068,
TS000059,EMP0124,PRJ0048,2022-04-18,40,34,0,Yes,Approved,EMP0124,EMP0039,Client meeting
TS000060,EMP0039,PRJ0005,2024-12-24,30,28.5,0,No,Approved,EMP0039,EMP0038,Overtime due to deadline
TS000061,EMP0074,PRJ0056,2023-09-12,10,11.4,1.4,No,Draft,EMP0074,EMP0011,
TS000062,EMP0074,PRJ0056,2023-09-22,10,10.4,0.4,Yes,Approved,EMP0074,EMP0091,Client meeting
TS000063,EMP0074,PRJ0056,2023-12-18,10,12.9,2.9,Yes,Draft,EMP0074,EMP0061,
TS000064,EMP0111,PRJ0031,2021-11-13,10,7.1,0,No,Approved,EMP0111,EMP0086,Overtime due to deadline
TS000065,EMP0111,PRJ0031,2022-07-23,10,11.8,1.8,Yes,Submitted,EMP0111,EMP0028,Overtime due to deadline
TS000066,EMP0111,PRJ0031,2021-09-03,10,7.9,0,No,Approved,EMP0111,EMP0118,
TS000067,EMP0107,PRJ0034,2023-01-30,10,11.3,1.3,Yes,Approved,EMP0107,EMP0103,
TS000068,EMP0107,PRJ0034,2023-01-16,10,7.3,0,No,Draft,EMP0107,EMP0072,
TS000069,EMP0107,PRJ0034,2023-07-21,10,7.7,0,No,Approved,EMP0107,EMP0008,
TS000070,EMP0040,PRJ0025,2022-12-08,20,19.7,0,No,Approved,EMP0040,EMP0068,
TS000071,EMP0040,PRJ0025,2022-05-25,20,17.7,0,No,Approved,EMP0040,EMP0131,
TS000072,EMP0040,PRJ0025,2022-08-04,20,18.4,0,No,Approved,EMP0040,EMP0012,On-site work
TS000073,EMP0079,PRJ0006,2022-10-03,30,40.3,10.3,Yes,Submitted,EMP0079,EMP0051,
TS000074,EMP0079,PRJ0006,2022-10-03,30,30.1,0.1,Yes,Approved,EMP0079,EMP0085,Client meeting
TS000075,EMP0079,PRJ0006,2022-09-30,30,28.8,0,No,Approved,EMP0079,EMP0105,
TS000076,EMP0120,PRJ0016,2022-10-01,10,9.3,0,Yes,Approved,EMP0120,EMP0050,Overtime due to deadline
TS000077,EMP0120,PRJ0016,2022-09-19,10,8.6,0,Yes,Approved,EMP0120,EMP0141,
TS000078,EMP0120,PRJ0016,2022-08-11,10,7.1,0,Yes,Approved,EMP0120,EMP0149,Client meeting
TS000079,EMP0134,PRJ0031,2022-03-07,20,18.6,0,Yes,Approved,EMP0134,EMP0044,On-site work
TS000080,EMP0134,PRJ0031,2021-05-19,20,22.9,2.9,Yes,Approved,EMP0134,EMP0086,
TS000081,EMP0134,PRJ0031,2021-08-04,20,19,0,Yes,Approved,EMP0134,EMP0063,Overtime due to deadline
TS000082,EMP0071,PRJ0054,2022-03-03,30,27.2,0,No,Approved,EMP0071,EMP0107,On-site work
TS000083,EMP0071,PRJ0054,2022-02-26,30,32.4,2.4,Yes,Approved,EMP0071,EMP0002,
TS000084,EMP0071,PRJ0054,2022-03-24,30,36.5,6.5,Yes,Approved,EMP0071,EMP0133,Overtime due to deadline
TS000085,EMP0128,PRJ0004,2022-09-16,40,27.5,0,Yes,Approved,EMP0128,EMP0119,On-site work
TS000086,EMP0128,PRJ0004,2023-05-20,40,35.3,0,No,Approved,EMP0128,EMP0114,Client meeting
TS000087,EMP0128,PRJ0004,2023-05-07,40,28.3,0,Yes,Approved,EMP0128,EMP0122,Overtime due to deadline
TS000088,EMP0060,PRJ0018,2022-11-24,40,45.8,5.8,No,Submitted,EMP0060,EMP0071,Client meeting
TS000089,EMP0060,PRJ0018,2023-01-21,40,36.6,0,Yes,Approved,EMP0060,EMP0070,
TS000090,EMP0060,PRJ0018,2022-12-09,40,36.6,0,No,Approved,EMP0060,EMP0039,
TS000091,EMP0076,PRJ0025,2023-01-01,30,27.6,0,Yes,Approved,EMP0076,EMP0139,Overtime due to deadline
TS000092,EMP0076,PRJ0025,2023-01-17,30,23.4,0,Yes,Submitted,EMP0076,EMP0100,Client meeting
TS000093,EMP0076,PRJ0025,2022-06-29,30,34.8,4.8,Yes,Approved,EMP0076,EMP0091,
TS000094,EMP0111,PRJ0055,2023-03-03,10,8,0,No,Draft,EMP0111,EMP0108,Client meeting
TS000095,EMP0111,PRJ0055,2023-04-12,10,11,1,Yes,Approved,EMP0111,EMP0125,
TS000096,EMP0111,PRJ0055,2023-03-03,10,7,0,Yes,Approved,EMP0111,EMP0104,On-site work
TS000097,EMP0026,PRJ0006,2021-02-20,30,35.4,5.4,No,Approved,EMP0026,EMP0101,Client meeting
TS000098,EMP0026,PRJ0006,2021-04-12,30,21.5,0,Yes,Approved,EMP0026,EMP0110,
TS000099,EMP0026,PRJ0006,2021-03-30,30,31.5,1.5,Yes,Approved,EMP0026,EMP0087,Overtime due to deadline
TS000100,EMP0043,PRJ0047,2021-08-11,10,11.1,1.1,No,Submitted,EMP0043,EMP0065,
TS000101,EMP0043,PRJ0047,2021-09-29,10,11.9,1.9,No,Approved,EMP0043,EMP0018,On-site work
TS000102,EMP0043,PRJ0047,2021-06-11,10,10.2,0.2,No,Draft,EMP0043,EMP0052,
TS000103,EMP0150,PRJ0023,2024-04-01,10,10.4,0.4,Yes,Approved,EMP0150,EMP0056,Overtime due to deadline
TS000104,EMP0150,PRJ0023,2024-04-11,10,10.6,0.6,Yes,Approved,EMP0150,EMP0030,
TS000105,EMP0150,PRJ0023,2024-02-21,10,10.3,0.3,Yes,Approved,EMP0150,EMP0097,Overtime due to deadline
TS000106,EMP0051,PRJ0028,2024-08-24,40,40.9,0.9,Yes,Approved,EMP0051,EMP0063,
TS000107,EMP0051,PRJ0028,2024-08-19,40,41.6,1.6,Yes,Approved,EMP0051,EMP0145,
TS000108,EMP0051,PRJ0028,2024-05-21,40,28.4,0,Yes,Approved,EMP0051,EMP0018,Client meeting
TS000109,EMP0009,PRJ0033,2024-11-28,20,16.8,0,No,Approved,EMP0009,EMP0093,On-site work
TS000110,EMP0009,PRJ0033,2024-12-22,20,24.9,4.9,Yes,Approved,EMP0009,EMP0046,On-site work
TS000111,EMP0009,PRJ0033,2024-11-12,20,22.3,2.3,No,Approved,EMP0009,EMP0124,Overtime due to deadline
TS000112,EMP0038,PRJ0016,2023-05-22,10,9.7,0,No,Approved,EMP0038,EMP0083,
TS000113,EMP0038,PRJ0016,2023-02-22,10,9.7,0,No,Approved,EMP0038,EMP0098,
TS000114,EMP0038,PRJ0016,2023-02-07,10,11.6,1.6,Yes,Approved,EMP0038,EMP0125,
TS000115,EMP0068,PRJ0037,2024-11-20,30,31.2,1.2,No,Submitted,EMP0068,EMP0071,Client meeting
TS000116,EMP0068,PRJ0037,2024-10-29,30,26.1,0,Yes,Approved,EMP0068,EMP0062,On-site work
TS000117,EMP0068,PRJ0037,2024-11-24,30,22.4,0,Yes,Approved,EMP0068,EMP0126,Overtime due to deadline
TS000118,EMP0116,PRJ0002,2022-09-23,40,40.7,0.7,Yes,Approved,EMP0116,EMP0104,On-site work
TS000119,EMP0116,PRJ0002,2022-05-06,40,37.3,0,Yes,Approved,EMP0116,EMP0109,On-site work
TS000120,EMP0116,PRJ0002,2022-07-23,40,47.4,7.4,Yes,Submitted,EMP0116,EMP0070,
TS000121,EMP0140,PRJ0043,2021-12-05,10,10.3,0.3,Yes,Submitted,EMP0140,EMP0048,
TS000122,EMP0140,PRJ0043,2021-11-17,10,12.4,2.4,Yes,Approved,EMP0140,EMP0135,Client meeting
TS000123,EMP0140,PRJ0043,2021-12-21,10,12.8,2.8,Yes,Approved,EMP0140,EMP0078,
TS000124,EMP0055,PRJ0054,2022-01-05,40,38.6,0,Yes,Approved,EMP0055,EMP0014,Client meeting
TS000125,EMP0055,PRJ0054,2021-12-09,40,39,0,No,Approved,EMP0055,EMP0004,Client meeting
TS000126,EMP0055,PRJ0054,2021-12-09,40,37.1,0,Yes,Approved,EMP0055,EMP0048,
TS000127,EMP0124,PRJ0013,2021-06-30,10,11.6,1.6,No,Approved,EMP0124,EMP0019,Client meeting
TS000128,EMP0124,PRJ0013,2021-10-05,10,9.4,0,Yes,Approved,EMP0124,EMP0145,
TS000129,EMP0124,PRJ0013,2021-05-18,10,10.8,0.8,No,Approved,EMP0124,EMP0058,Client meeting
TS000130,EMP0021,PRJ0018,2022-04-12,40,39.9,0,Yes,Approved,EMP0021,EMP0110,
TS000131,EMP0021,PRJ0018,2022-05-30,40,34,0,Yes,Draft,EMP0021,EMP0054,On-site work
TS000132,EMP0021,PRJ0018,2022-02-28,40,34.3,0,Yes,Approved,EMP0021,EMP0062,
TS000133,EMP0113,PRJ0018,2024-12-24,30,30.3,0.3,Yes,Approved,EMP0113,EMP0075,
TS000134,EMP0032,PRJ0029,2022-04-27,20,20.1,0.1,Yes,Approved,EMP0032,EMP0117,
TS000135,EMP0032,PRJ0029,2022-05-11,20,20.2,0.2,No,Approved,EMP0032,EMP0051,Overtime due to deadline
TS000136,EMP0032,PRJ0029,2022-04-23,20,22.3,2.3,Yes,Approved,EMP0032,EMP0069,
TS000137,EMP0018,PRJ0027,2022-12-31,30,37.4,7.4,Yes,Submitted,EMP0018,EMP0074,Overtime due to deadline
TS000138,EMP0018,PRJ0027,2023-01-27,30,32.9,2.9,Yes,Approved,EMP0018,EMP0104,
TS000139,EMP0018,PRJ0027,2023-08-08,30,25.3,0,Yes,Submitted,EMP0018,EMP0083,Client meeting
TS000140,EMP0117,PRJ0026,2023-03-31,10,9.6,0,Yes,Approved,EMP0117,EMP0148,Client meeting
TS000141,EMP0117,PRJ0026,2023-01-31,10,12.2,2.2,Yes,Approved,EMP0117,EMP0045,Overtime due to deadline
TS000142,EMP0117,PRJ0026,2023-06-07,10,10,0,Yes,Draft,EMP0117,EMP0047,Client meeting
TS000143,EMP0145,PRJ0005,2023-08-31,30,26.5,0,Yes,Approved,EMP0145,EMP0086,
TS000144,EMP0145,PRJ0005,2023-10-30,30,26.1,0,Yes,Approved,EMP0145,EMP0106,On-site work
TS000145,EMP0145,PRJ0005,2023-09-15,30,27.4,0,No,Approved,EMP0145,EMP0117,
TS000146,EMP0024,PRJ0051,2023-09-06,40,54,14,Yes,Approved,EMP0024,EMP0104,Client meeting
TS000147,EMP0024,PRJ0051,2023-06-18,40,35.9,0,Yes,Approved,EMP0024,EMP0093,Client meeting
TS000148,EMP0024,PRJ0051,2023-10-23,40,33.7,0,Yes,Submitted,EMP0024,EMP0053,
TS000149,EMP0040,PRJ0005,2022-05-29,10,10.8,0.8,No,Approved,EMP0040,EMP0008,On-site work
TS000150,EMP0040,PRJ0005,2022-06-05,10,10.9,0.9,No,Submitted,EMP0040,EMP0080,Client meeting
TS000151,EMP0040,PRJ0005,2022-03-21,10,9.4,0,No,Draft,EMP0040,EMP0119,
TS000152,EMP0123,PRJ0056,2021-09-30,40,39.1,0,No,Approved,EMP0123,EMP0075,Client meeting
TS000153,EMP0123,PRJ0056,2021-10-08,40,38.3,0,No,Approved,EMP0123,EMP0142,
TS000154,EMP0123,PRJ0056,2021-08-28,40,51.3,11.3,Yes,Approved,EMP0123,EMP0035,
TS000155,EMP0045,PRJ0053,2024-11-18,30,31.3,1.3,Yes,Submitted,EMP0045,EMP0069,
TS000156,EMP0045,PRJ0053,2024-11-19,30,21.3,0,Yes,Submitted,EMP0045,EMP0149,On-site work
TS000157,EMP0045,PRJ0053,2024-12-15,30,33.2,3.2,Yes,Approved,EMP0045,EMP0140,Overtime due to deadline
TS000158,EMP0052,PRJ0007,2024-04-28,30,26.3,0,No,Submitted,EMP0052,EMP0062,Client meeting
TS000159,EMP0052,PRJ0007,2024-04-19,30,30.8,0.8,Yes,Submitted,EMP0052,EMP0098,Overtime due to deadline
TS000160,EMP0052,PRJ0007,2024-03-20,30,37.7,7.7,Yes,Approved,EMP0052,EMP0129,Client meeting
TS000161,EMP0099,PRJ0019,2023-02-04,10,12.1,2.1,Yes,Approved,EMP0099,EMP0117,
TS000162,EMP0099,PRJ0019,2022-10-31,10,7.8,0,Yes,Approved,EMP0099,EMP0040,
TS000163,EMP0099,PRJ0019,2023-04-16,10,10.2,0.2,Yes,Approved,EMP0099,EMP0021,
TS000164,EMP0004,PRJ0051,2022-12-18,10,8.8,0,Yes,Approved,EMP0004,EMP0125,Client meeting
TS000165,EMP0004,PRJ0051,2022-11-16,10,9.2,0,Yes,Approved,EMP0004,EMP0059,On-site work
TS000166,EMP0004,PRJ0051,2022-11-19,10,9.3,0,Yes,Approved,EMP0004,EMP0026,Overtime due to deadline
TS000167,EMP0133,PRJ0021,2022-06-30,10,8.9,0,Yes,Submitted,EMP0133,EMP0076,
TS000168,EMP0133,PRJ0021,2022-10-14,10,7,0,Yes,Approved,EMP0133,EMP0106,Client meeting
TS000169,EMP0133,PRJ0021,2023-03-21,10,10.2,0.2,Yes,Submitted,EMP0133,EMP0062,Overtime due to deadline
TS000170,EMP0070,PRJ0050,2022-09-17,40,36.5,0,Yes,Approved,EMP0070,EMP0066,Overtime due to deadline
TS000171,EMP0070,PRJ0050,2022-04-02,40,33.6,0,Yes,Approved,EMP0070,EMP0140,
TS000172,EMP0070,PRJ0050,2021-12-30,40,28.9,0,Yes,Approved,EMP0070,EMP0077,On-site work
TS000173,EMP0102,PRJ0045,2022-03-13,10,9.4,0,Yes,Draft,EMP0102,EMP0124,
TS000174,EMP0102,PRJ0045,2021-12-07,10,8.5,0,Yes,Approved,EMP0102,EMP0076,On-site work
TS000175,EMP0102,PRJ0045,2022-01-06,10,12.8,2.8,Yes,Approved,EMP0102,EMP0013,Client meeting
TS000176,EMP0119,PRJ0038,2024-07-23,40,41.6,1.6,Yes,Draft,EMP0119,EMP0074,
TS000177,EMP0119,PRJ0038,2024-06-18,40,41.4,1.4,Yes,Approved,EMP0119,EMP0036,On-site work
TS000178,EMP0119,PRJ0038,2024-02-08,40,36,0,No,Approved,EMP0119,EMP0080,Overtime due to deadline
TS000179,EMP0148,PRJ0045,2021-06-17,10,7.9,0,Yes,Approved,EMP0148,EMP0107,
TS000180,EMP0148,PRJ0045,2021-07-08,10,8.8,0,Yes,Approved,EMP0148,EMP0094,Client meeting
TS000181,EMP0148,PRJ0045,2021-08-16,10,12.4,2.4,Yes,Submitted,EMP0148,EMP0124,
TS000182,EMP0143,PRJ0057,2024-04-11,40,34.2,0,No,Approved,EMP0143,EMP0020,
TS000183,EMP0143,PRJ0057,2024-02-13,40,46.1,6.1,No,Draft,EMP0143,EMP0143,
TS000184,EMP0143,PRJ0057,2023-12-06,40,32.6,0,No,Approved,EMP0143,EMP0138,
TS000185,EMP0020,PRJ0022,2023-10-30,10,8.3,0,Yes,Approved,EMP0020,EMP0096,
TS000186,EMP0020,PRJ0022,2023-12-25,10,11.8,1.8,Yes,Approved,EMP0020,EMP0144,
TS000187,EMP0020,PRJ0022,2024-02-25,10,8.3,0,Yes,Approved,EMP0020,EMP0078,On-site work
TS000188,EMP0125,PRJ0005,2023-12-13,40,34.5,0,Yes,Approved,EMP0125,EMP0010,
TS000189,EMP0125,PRJ0005,2024-01-25,40,43.3,3.3,Yes,Approved,EMP0125,EMP0095,On-site work
TS000190,EMP0125,PRJ0005,2023-12-18,40,42.9,2.9,Yes,Submitted,EMP0125,EMP0107,On-site work
TS000191,EMP0013,PRJ0044,2024-04-18,40,44.2,4.2,No,Approved,EMP0013,EMP0095,
TS000192,EMP0013,PRJ0044,2024-07-15,40,32.8,0,Yes,Approved,EMP0013,EMP0093,
TS000193,EMP0013,PRJ0044,2024-09-15,40,31.3,0,Yes,Approved,EMP0013,EMP0071,
TS000194,EMP0127,PRJ0052,2024-02-09,30,37.2,7.2,No,Submitted,EMP0127,EMP0024,On-site work
TS000195,EMP0127,PRJ0052,2024-02-21,30,26.2,0,Yes,Submitted,EMP0127,EMP0063,
TS000196,EMP0127,PRJ0052,2024-04-06,30,25.3,0,Yes,Submitted,EMP0127,EMP0142,
TS000197,EMP0109,PRJ0036,2022-10-27,20,21.3,1.3,Yes,Approved,EMP0109,EMP0001,
TS000198,EMP0109,PRJ0036,2022-03-15,20,25.9,5.9,No,Approved,EMP0109,EMP0045,
TS000199,EMP0109,PRJ0036,2022-01-13,20,21.9,1.9,No,Approved,EMP0109,EMP0005,
TS000200,EMP0095,PRJ0010,2024-10-05,30,33.1,3.1,Yes,Submitted,EMP0095,EMP0135,
TS000201,EMP0095,PRJ0010,2024-12-06,30,34.5,4.5,Yes,Approved,EMP0095,EMP0116,Client meeting
TS000202,EMP0095,PRJ0010,2024-09-30,30,31.9,1.9,No,Approved,EMP0095,EMP0134,
TS000203,EMP0077,PRJ0052,2021-08-29,30,29.3,0,No,Submitted,EMP0077,EMP0110,On-site work
TS000204,EMP0077,PRJ0052,2021-05-31,30,29.1,0,Yes,Draft,EMP0077,EMP0019,
TS000205,EMP0077,PRJ0052,2021-07-25,30,28.7,0,Yes,Approved,EMP0077,EMP0141,On-site work
TS000206,EMP0022,PRJ0043,2023-07-09,40,38.6,0,Yes,Approved,EMP0022,EMP0076,Overtime due to deadline
TS000207,EMP0022,PRJ0043,2023-10-09,40,37.8,0,Yes,Submitted,EMP0022,EMP0142,On-site work
TS000208,EMP0022,PRJ0043,2023-05-14,40,38.3,0,Yes,Submitted,EMP0022,EMP0106,
TS000209,EMP0150,PRJ0036,2023-07-18,10,8,0,Yes,Approved,EMP0150,EMP0066,
TS000210,EMP0150,PRJ0036,2023-02-14,10,11.4,1.4,Yes,Approved,EMP0150,EMP0024,
TS000211,EMP0150,PRJ0036,2023-01-14,10,7.7,0,Yes,Approved,EMP0150,EMP0016,Client meeting
TS000212,EMP0142,PRJ0042,2022-04-19,40,44.1,4.1,Yes,Approved,EMP0142,EMP0106,
TS000213,EMP0142,PRJ0042,2022-06-11,40,45.9,5.9,No,Approved,EMP0142,EMP0074,Client meeting
TS000214,EMP0142,PRJ0042,2021-12-12,40,37.7,0,Yes,Approved,EMP0142,EMP0055,
TS000215,EMP0126,PRJ0055,2024-05-03,20,20.2,0.2,No,Approved,EMP0126,EMP0072,Client meeting
TS000216,EMP0126,PRJ0055,2024-02-27,20,21.4,1.4,No,Submitted,EMP0126,EMP0143,
TS000217,EMP0126,PRJ0055,2024-06-04,20,25.1,5.1,Yes,Approved,EMP0126,EMP0080,
TS000218,EMP0131,PRJ0004,2024-04-04,30,26.4,0,Yes,Submitted,EMP0131,EMP0145,On-site work
TS000219,EMP0131,PRJ0004,2024-04-11,30,36.7,6.7,No,Approved,EMP0131,EMP0136,
TS000220,EMP0131,PRJ0004,2024-04-08,30,33.1,3.1,Yes,Approved,EMP0131,EMP0095,
TS000221,EMP0065,PRJ0040,2023-10-08,40,33.6,0,Yes,Submitted,EMP0065,EMP0040,
TS000222,EMP0065,PRJ0040,2023-10-17,40,52.8,12.8,Yes,Approved,EMP0065,EMP0070,Overtime due to deadline
TS000223,EMP0065,PRJ0040,2023-09-23,40,32.7,0,Yes,Approved,EMP0065,EMP0132,
TS000224,EMP0096,PRJ0030,2024-10-25,40,43.8,3.8,Yes,Approved,EMP0096,EMP0125,Client meeting
TS000225,EMP0096,PRJ0030,2024-12-05,40,38.5,0,No,Approved,EMP0096,EMP0053,
TS000226,EMP0096,PRJ0030,2024-10-08,40,44,4,No,Submitted,EMP0096,EMP0075,
TS000227,EMP0082,PRJ0019,2021-03-06,20,25,5,Yes,Approved,EMP0082,EMP0059,Client meeting
TS000228,EMP0082,PRJ0019,2021-05-01,20,20.2,0.2,No,Submitted,EMP0082,EMP0019,Overtime due to deadline
TS000229,EMP0082,PRJ0019,2021-02-24,20,16.9,0,Yes,Approved,EMP0082,EMP0110,Client meeting
TS000230,EMP0052,PRJ0049,2023-03-07,40,42.6,2.6,Yes,Approved,EMP0052,EMP0030,Overtime due to deadline
TS000231,EMP0052,PRJ0049,2022-08-22,40,43.6,3.6,No,Approved,EMP0052,EMP0093,
TS000232,EMP0052,PRJ0049,2023-03-23,40,39.2,0,No,Approved,EMP0052,EMP0103,Client meeting
TS000233,EMP0051,PRJ0040,2024-09-11,40,35.9,0,Yes,Approved,EMP0051,EMP0044,
TS000234,EMP0051,PRJ0040,2024-11-05,40,43.1,3.1,Yes,Approved,EMP0051,EMP0050,
TS000235,EMP0051,PRJ0040,2024-10-15,40,38.4,0,No,Approved,EMP0051,EMP0038,
TS000236,EMP0089,PRJ0030,2021-10-23,30,21.8,0,Yes,Approved,EMP0089,EMP0020,
TS000237,EMP0089,PRJ0030,2022-03-23,30,24.4,0,Yes,Approved,EMP0089,EMP0145,On-site work
TS000238,EMP0089,PRJ0030,2021-12-26,30,31.3,1.3,No,Approved,EMP0089,EMP0039,Overtime due to deadline
TS000239,EMP0006,PRJ0003,2021-08-23,30,23.8,0,No,Approved,EMP0006,EMP0091,Client meeting
