  hr_leave_requests  ·  200 lignes  ·  10 colonnes,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
LVE0112,EMP0131,Paternity Leave,2024-03-13,2024-03-25,12,Pending,EMP0017,2024-02-12,
LVE0113,EMP0064,Maternity Leave,2023-07-14,2023-07-16,2,Rejected,EMP0009,2023-06-27,Medical appointment
LVE0114,EMP0108,Paternity Leave,2023-10-27,2023-11-04,8,Rejected,EMP0007,2023-09-30,Annual family trip
LVE0115,EMP0056,Maternity Leave,2024-05-03,2024-05-10,7,Pending,EMP0015,2024-04-25,Planned vacation
LVE0116,EMP0122,Maternity Leave,2022-05-25,2022-05-28,3,Rejected,EMP0013,2022-05-05,
LVE0117,EMP0109,Paternity Leave,2023-08-20,2023-08-30,10,Pending,EMP0017,2023-07-23,Medical appointment
LVE0118,EMP0090,Paternity Leave,2022-05-01,2022-05-18,17,Approved,EMP0002,2022-04-09,
LVE0119,EMP0025,Maternity Leave,2024-02-26,2024-03-01,4,Approved,EMP0006,2024-02-14,
LVE0120,EMP0087,Training Leave,2023-03-15,2023-04-05,21,Pending,EMP0001,2023-02-24,Medical appointment
LVE0121,EMP0091,Sick Leave,2024-12-03,2024-12-14,11,Approved,EMP0019,2024-11-15,
LVE0122,EMP0055,Paternity Leave,2023-09-09,2023-09-19,10,Approved,EMP0009,2023-08-16,Planned vacation
LVE0123,EMP0102,Unpaid Leave,2023-08-13,2023-08-31,18,Approved,EMP0018,2023-08-03,Personal reasons
LVE0124,EMP0113,Unpaid Leave,2023-08-06,2023-08-17,11,Pending,EMP0015,2023-07-18,Planned vacation
LVE0125,EMP0055,Paternity Leave,2022-09-24,2022-10-08,14,Rejected,EMP0001,2022-08-28,
LVE0126,EMP0122,Sick Leave,2024-11-04,2024-11-23,19,Rejected,EMP0002,2024-10-21,Personal reasons
LVE0127,EMP0009,Paternity Leave,2023-12-29,2024-01-18,20,Pending,EMP0009,2023-12-09,Personal reasons
LVE0128,EMP0050,Maternity Leave,2023-05-29,2023-06-05,7,Approved,EMP0019,2023-04-30,
LVE0129,EMP0083,Maternity Leave,2024-07-23,2024-07-25,2,Pending,EMP0001,2024-07-13,
LVE0130,EMP0050,Maternity Leave,2023-02-13,2023-02-20,7,Approved,EMP0003,2023-01-22,
LVE0131,EMP0125,Unpaid Leave,2022-10-02,2022-10-24,22,Pending,EMP0020,2022-09-12,
LVE0132,EMP0129,Training Leave,2023-04-04,2023-04-08,4,Pending,EMP0008,2023-03-05,Medical appointment
LVE0133,EMP0038,Paternity Leave,2022-02-11,2022-03-08,25,Approved,EMP0002,2022-02-01,Medical appointment
LVE0134,EMP0039,Paternity Leave,2024-12-02,2024-12-13,11,Approved,EMP0006,2024-11-19,
LVE0135,EMP0134,Unpaid Leave,2022-04-05,2022-04-20,15,Rejected,EMP0011,2022-03-14,Personal reasons
LVE0136,EMP0141,Maternity Leave,2024-11-19,2024-12-12,23,Pending,EMP0005,2024-11-11,Medical appointment
LVE0137,EMP0005,Unpaid Leave,2023-08-18,2023-08-23,5,Rejected,EMP0003,2023-08-09,Planned vacation
LVE0138,EMP0131,Sick Leave,2024-05-09,2024-05-22,13,Pending,EMP0006,2024-04-20,Annual family trip
LVE0139,EMP0021,Training Leave,2023-09-14,2023-09-16,2,Rejected,EMP0003,2023-08-29,Planned vacation
LVE0140,EMP0113,Unpaid Leave,2024-06-16,2024-07-09,23,Pending,EMP0004,2024-05-23,
LVE0141,EMP0033,Paternity Leave,2024-10-27,2024-11-19,23,Approved,EMP0012,2024-09-27,
LVE0142,EMP0029,Training Leave,2023-02-01,2023-02-26,25,Pending,EMP0017,2023-01-20,
LVE0143,EMP0107,Unpaid Leave,2022-10-15,2022-10-30,15,Approved,EMP0009,2022-10-02,Planned vacation
LVE0144,EMP0060,Maternity Leave,2023-06-23,2023-07-07,14,Pending,EMP0004,2023-05-30,
LVE0145,EMP0138,Sick Leave,2024-12-18,2024-12-31,13,Pending,EMP0009,2024-11-26,Annual family trip
LVE0146,EMP0086,Paternity Leave,2024-08-13,2024-08-23,10,Approved,EMP0010,2024-07-15,Personal reasons
LVE0147,EMP0068,Unpaid Leave,2023-01-14,2023-01-29,15,Rejected,EMP0015,2022-12-19,Annual family trip
LVE0148,EMP0139,Annual Leave,2022-09-11,2022-10-04,23,Pending,EMP0003,2022-08-31,Annual family trip
LVE0149,EMP0114,Training Leave,2023-01-25,2023-02-08,14,Approved,EMP0005,2022-12-26,
LVE0150,EMP0070,Sick Leave,2023-11-11,2023-11-23,12,Approved,EMP0015,2023-10-28,Planned vacation
LVE0151,EMP0006,Maternity Leave,2024-07-14,2024-07-29,15,Rejected,EMP0004,2024-06-29,
LVE0152,EMP0137,Paternity Leave,2023-11-20,2023-12-08,18,Approved,EMP0007,2023-11-01,Medical appointment
LVE0153,EMP0063,Maternity Leave,2023-02-03,2023-02-08,5,Rejected,EMP0002,2023-01-15,Annual family trip
LVE0154,EMP0118,Paternity Leave,2022-09-19,2022-10-06,17,Pending,EMP0011,2022-09-04,
LVE0155,EMP0010,Annual Leave,2024-10-23,2024-11-02,10,Pending,EMP0005,2024-10-14,
LVE0156,EMP0134,Training Leave,2024-09-22,2024-10-11,19,Pending,EMP0015,2024-09-02,
LVE0157,EMP0147,Paternity Leave,2022-01-10,2022-01-13,3,Rejected,EMP0014,2021-12-13,Personal reasons
LVE0158,EMP0053,Training Leave,2024-06-24,2024-07-13,19,Rejected,EMP0006,2024-06-02,Planned vacation
LVE0159,EMP0009,Unpaid Leave,2023-02-03,2023-02-16,13,Pending,EMP0019,2023-01-11,Planned vacation
LVE0160,EMP0146,Paternity Leave,2022-03-27,2022-04-19,23,Rejected,EMP0018,2022-03-01,
LVE0161,EMP0128,Unpaid Leave,2023-01-10,2023-01-11,1,Rejected,EMP0019,2022-12-18,Annual family trip
LVE0162,EMP0019,Annual Leave,2023-05-14,2023-05-31,17,Approved,EMP0007,2023-04-25,Annual family trip
LVE0163,EMP0130,Unpaid Leave,2023-07-29,2023-07-30,1,Approved,EMP0003,2023-07-03,Medical appointment
LVE0164,EMP0097,Maternity Leave,2022-11-03,2022-11-26,23,Pending,EMP0016,2022-10-18,Medical appointment
LVE0165,EMP0050,Unpaid Leave,2023-10-21,2023-11-04,14,Rejected,EMP0006,2023-10-10,
LVE0166,EMP0094,Maternity Leave,2023-11-05,2023-11-06,1,Rejected,EMP0013,2023-10-15,
LVE0167,EMP0074,Training Leave,2024-12-05,2024-12-22,17,Rejected,EMP0001,2024-11-17,Planned vacation
LVE0168,EMP0123,Maternity Leave,2023-11-10,2023-11-19,9,Approved,EMP0001,2023-11-03,Annual family trip
LVE0169,EMP0039,Sick Leave,2024-12-27,2025-01-15,19,Pending,EMP0008,2024-11-29,Personal reasons
LVE0170,EMP0045,Unpaid Leave,2022-07-12,2022-07-22,10,Pending,EMP0007,2022-06-14,Planned vacation
LVE0171,EMP0032,Sick Leave,2024-11-18,2024-11-20,2,Rejected,EMP0015,2024-11-06,
LVE0172,EMP0041,Training Leave,2023-07-13,2023-08-02,20,Rejected,EMP0010,2023-07-05,
LVE0173,EMP0108,Maternity Leave,2024-04-05,2024-04-25,20,Pending,EMP0008,2024-03-13,
LVE0174,EMP0120,Maternity Leave,2023-11-21,2023-11-29,8,Approved,EMP0006,2023-11-10,
LVE0175,EMP0022,Maternity Leave,2024-09-19,2024-09-24,5,Rejected,EMP0018,2024-08-23,
LVE0176,EMP0002,Sick Leave,2023-11-07,2023-11-20,13,Approved,EMP0005,2023-10-23,Personal reasons
LVE0177,EMP0044,Unpaid Leave,2022-03-14,2022-03-22,8,Rejected,EMP0003,2022-02-28,
LVE0178,EMP0137,Annual Leave,2023-01-26,2023-02-10,15,Approved,EMP0013,2023-01-02,Medical appointment
LVE0179,EMP0105,Maternity Leave,2022-01-22,2022-02-11,20,Approved,EMP0019,2022-01-08,Planned vacation
LVE0180,EMP0094,Annual Leave,2024-01-12,2024-01-23,11,Pending,EMP0019,2023-12-30,Annual family trip
LVE0181,EMP0136,Sick Leave,2022-01-16,2022-01-18,2,Rejected,EMP0005,2021-12-31,Medical appointment
LVE0182,EMP0011,Unpaid Leave,2022-09-06,2022-09-14,8,Pending,EMP0004,2022-08-30,Planned vacation
LVE0183,EMP0125,Annual Leave,2024-01-30,2024-02-10,11,Pending,EMP0004,2024-01-05,Annual family trip
LVE0184,EMP0001,Paternity Leave,2024-04-14,2024-04-23,9,Pending,EMP0004,2024-03-27,
LVE0185,EMP0035,Sick Leave,2022-09-11,2022-09-28,17,Approved,EMP0010,2022-09-01,Annual family trip
LVE0186,EMP0148,Maternity Leave,2022-12-05,2022-12-29,24,Approved,EMP0003,2022-11-28,Annual family trip
LVE0187,EMP0050,Unpaid Leave,2023-05-17,2023-05-23,6,Approved,EMP0004,2023-05-04,Planned vacation
LVE0188,EMP0139,Maternity Leave,2022-10-06,2022-10-29,23,Rejected,EMP0004,2022-09-20,Annual family trip
LVE0189,EMP0082,Annual Leave,2024-10-10,2024-10-18,8,Approved,EMP0005,2024-09-30,
LVE0190,EMP0022,Paternity Leave,2023-07-05,2023-07-25,20,Approved,EMP0002,2023-06-06,
LVE0191,EMP0037,Annual Leave,2023-11-27,2023-12-05,8,Approved,EMP0011,2023-11-01,Personal reasons
LVE0192,EMP0077,Unpaid Leave,2024-10-25,2024-11-15,21,Approved,EMP0018,2024-10-16,Medical appointment
LVE0193,EMP0083,Annual Leave,2023-05-21,2023-06-11,21,Rejected,EMP0020,2023-04-24,Medical appointment
LVE0194,EMP0147,Paternity Leave,2022-09-08,2022-09-28,20,Rejected,EMP0018,2022-08-30,Personal reasons
LVE0195,EMP0006,Unpaid Leave,2024-04-12,2024-04-20,8,Approved,EMP0020,2024-03-16,
LVE0196,EMP0090,Maternity Leave,2022-07-30,2022-08-03,4,Approved,EMP0004,2022-07-10,
LVE0197,EMP0021,Unpaid Leave,2024-07-02,2024-07-04,2,Pending,EMP0004,2024-06-25,Medical appointment
LVE0198,EMP0008,Paternity Leave,2024-12-04,2024-12-09,5,Pending,EMP0012,2024-11-15,Annual family trip
LVE0199,EMP0007,Training Leave,2022-03-02,2022-03-23,21,Rejected,EMP0007,2022-02-03,Annual family trip
LVE0200,EMP0111,Maternity Leave,2024-10-10,2024-10-17,7,Approved,EMP0019,2024-09-27,Planned vacation
