"  erp_sales_orders  ·  1,000 lignes  ·  9 colonnes",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
SO00052,CUS0082,2024-08-26,2024-09-20,331144.73,Delivered,EMP0037,TND,Pre-payment required,Late
SO00053,CUS0038,2024-12-17,2025-01-01,118268.14,Pending,EMP0109,TND,Pre-payment required,Pending
SO00054,CUS0191,2022-09-16,2022-09-27,399314.27,Delivered,EMP0131,TND,Pre-payment required,On Time
SO00055,CUS0015,2024-03-30,2024-04-20,261667.12,Cancelled,EMP0090,TND,Standard delivery,Cancelled
SO00056,CUS0158,2023-11-24,2023-12-10,122842.65,Delivered,EMP0101,TND,Pre-payment required,On Time
SO00057,CUS0017,2022-10-28,2022-12-22,250147.04,Delivered,EMP0066,TND,Pre-payment required,On Time
SO00058,CUS0195,2023-01-21,2023-02-11,53782.01,Delivered,EMP0070,TND,,On Time
SO00059,CUS0003,2023-10-07,2023-11-10,21697.7,Shipped,EMP0074,TND,Standard delivery,On Time
SO00060,CUS0177,2022-07-16,2022-08-05,240523.51,Pending,EMP0058,TND,Pre-payment required,Pending
SO00061,CUS0191,2024-05-20,2024-07-16,124839.27,Pending,EMP0004,TND,Frame agreement order,Pending
SO00062,CUS0164,2022-04-04,2022-05-11,270086.71,Cancelled,EMP0083,TND,Frame agreement order,Cancelled
SO00063,CUS0014,2024-02-09,2024-02-23,280926.93,Cancelled,EMP0059,TND,Standard delivery,Cancelled
SO00064,CUS0028,2023-07-16,2023-09-05,338471.52,Shipped,EMP0073,TND,Frame agreement order,At Risk
SO00065,CUS0128,2023-09-20,2023-10-12,122868.37,Confirmed,EMP0096,TND,,Pending
SO00066,CUS0064,2024-08-18,2024-09-21,380732.94,Delivered,EMP0009,TND,Standard delivery,Late
SO00067,CUS0129,2024-05-23,2024-07-18,183324.18,Shipped,EMP0062,TND,Standard delivery,On Time
SO00068,CUS0082,2024-09-17,2024-09-27,130785.98,Pending,EMP0145,TND,Expedited shipping,Pending
SO00069,CUS0005,2024-08-28,2024-09-09,456408.64,Pending,EMP0133,TND,Pre-payment required,Pending
SO00070,CUS0143,2024-03-25,2024-05-07,349782.99,Shipped,EMP0005,TND,,On Time
SO00071,CUS0044,2024-01-05,2024-02-17,15516.83,Shipped,EMP0009,TND,,On Time
SO00072,CUS0124,2023-12-19,2024-01-31,80814.75,Pending,EMP0136,TND,Pre-payment required,Pending
SO00073,CUS0187,2024-07-04,2024-07-20,198332.78,Cancelled,EMP0013,TND,Frame agreement order,Cancelled
SO00074,CUS0190,2023-02-25,2023-04-11,304773.74,Confirmed,EMP0074,TND,Standard delivery,Pending
SO00075,CUS0163,2024-05-22,2024-06-04,49740.75,Shipped,EMP0069,TND,Standard delivery,On Time
SO00076,CUS0046,2024-02-20,2024-04-14,246544.03,Cancelled,EMP0007,TND,,Cancelled
SO00077,CUS0189,2024-12-27,2025-02-19,329783.87,Delivered,EMP0129,TND,Expedited shipping,On Time
SO00078,CUS0196,2022-07-02,2022-07-16,79296.06,Pending,EMP0118,TND,,Pending
SO00079,CUS0155,2023-11-12,2023-11-27,439707.5,Confirmed,EMP0042,TND,Expedited shipping,Pending
SO00080,CUS0021,2023-05-10,2023-05-28,168015.22,Delivered,EMP0128,TND,Expedited shipping,On Time
SO00081,CUS0001,2023-12-11,2024-02-08,346614.95,Confirmed,EMP0133,TND,Pre-payment required,Pending
SO00082,CUS0032,2024-05-28,2024-07-01,91557.26,Delivered,EMP0030,TND,Pre-payment required,Late
SO00083,CUS0049,2022-07-08,2022-08-01,396622.9,Delivered,EMP0127,TND,Expedited shipping,Late
SO00084,CUS0052,2022-10-22,2022-11-18,327026.26,Confirmed,EMP0126,TND,Pre-payment required,Pending
SO00085,CUS0026,2023-01-04,2023-02-23,448466.18,Confirmed,EMP0004,TND,,Pending
SO00086,CUS0048,2023-06-02,2023-06-11,222447.09,Confirmed,EMP0124,TND,Pre-payment required,Pending
SO00087,CUS0095,2022-08-18,2022-10-05,256551.55,Pending,EMP0074,TND,Expedited shipping,Pending
SO00088,CUS0013,2023-12-03,2024-01-21,167996.78,Cancelled,EMP0035,TND,Pre-payment required,Cancelled
SO00089,CUS0165,2023-04-09,2023-06-06,453955.14,Cancelled,EMP0094,TND,Pre-payment required,Cancelled
SO00090,CUS0127,2024-10-03,2024-11-17,401359.68,Cancelled,EMP0058,TND,Frame agreement order,Cancelled
SO00091,CUS0172,2023-08-28,2023-10-24,95156.81,Confirmed,EMP0118,TND,,Pending
SO00092,CUS0117,2023-12-15,2023-12-31,115150.88,Pending,EMP0109,TND,Standard delivery,Pending
SO00093,CUS0150,2022-09-19,2022-10-05,47108.3,Shipped,EMP0027,TND,Standard delivery,On Time
SO00094,CUS0062,2022-05-31,2022-07-18,107701.22,Pending,EMP0008,TND,Frame agreement order,Pending
SO00095,CUS0049,2023-11-04,2023-12-04,473041.87,Pending,EMP0046,TND,Pre-payment required,Pending
SO00096,CUS0148,2024-04-09,2024-05-03,477565.95,Shipped,EMP0027,TND,Expedited shipping,At Risk
SO00097,CUS0036,2023-03-09,2023-05-07,365995.97,Confirmed,EMP0059,TND,Expedited shipping,Pending
SO00098,CUS0143,2022-03-10,2022-04-16,393749.31,Cancelled,EMP0083,TND,Frame agreement order,Cancelled
SO00099,CUS0197,2022-05-02,2022-06-26,383244.16,Cancelled,EMP0078,TND,Expedited shipping,Cancelled
SO00100,CUS0064,2022-08-03,2022-09-09,10909.04,Cancelled,EMP0091,TND,,Cancelled
SO00101,CUS0133,2024-06-19,2024-07-09,242463.85,Confirmed,EMP0032,TND,Expedited shipping,Pending
SO00102,CUS0109,2022-08-17,2022-10-15,473430.88,Cancelled,EMP0048,TND,Expedited shipping,Cancelled
SO00103,CUS0167,2024-02-09,2024-02-19,260352.87,Cancelled,EMP0054,TND,Frame agreement order,Cancelled
SO00104,CUS0096,2022-05-19,2022-06-01,314174.53,Pending,EMP0115,TND,,Pending
SO00105,CUS0070,2023-09-10,2023-11-01,301291.15,Cancelled,EMP0064,TND,,Cancelled
SO00106,CUS0051,2022-01-07,2022-02-11,320784.95,Delivered,EMP0060,TND,,Late
SO00107,CUS0025,2022-09-10,2022-10-01,397520.52,Delivered,EMP0016,TND,Pre-payment required,On Time
SO00108,CUS0102,2023-06-30,2023-07-17,156568.5,Shipped,EMP0081,TND,Pre-payment required,On Time
SO00109,CUS0113,2022-03-05,2022-04-12,441754.31,Pending,EMP0004,TND,Pre-payment required,Pending
SO00110,CUS0092,2023-04-22,2023-05-19,326755.84,Cancelled,EMP0133,TND,Expedited shipping,Cancelled
SO00111,CUS0068,2023-02-23,2023-04-06,363153.82,Pending,EMP0131,TND,Standard delivery,Pending
SO00112,CUS0145,2023-01-02,2023-02-19,374285.73,Cancelled,EMP0083,TND,Standard delivery,Cancelled
SO00113,CUS0187,2022-10-07,2022-11-17,143764.57,Delivered,EMP0142,TND,Expedited shipping,On Time
SO00114,CUS0132,2023-11-29,2024-01-06,369478.95,Confirmed,EMP0119,TND,Standard delivery,Pending
SO00115,CUS0110,2024-01-31,2024-03-27,150919.59,Shipped,EMP0061,TND,Expedited shipping,On Time
SO00116,CUS0115,2022-03-10,2022-05-05,12987.78,Delivered,EMP0107,TND,Frame agreement order,On Time
SO00117,CUS0166,2022-05-05,2022-06-23,350561.84,Confirmed,EMP0060,TND,Standard delivery,Pending
SO00118,CUS0147,2022-07-24,2022-09-19,493523.61,Delivered,EMP0024,TND,Standard delivery,On Time
SO00119,CUS0087,2023-11-12,2024-01-05,114008.2,Cancelled,EMP0063,TND,Frame agreement order,Cancelled
SO00120,CUS0186,2023-02-25,2023-03-11,421306.64,Shipped,EMP0015,TND,Expedited shipping,At Risk
SO00121,CUS0127,2024-09-25,2024-11-10,43201.17,Delivered,EMP0003,TND,Expedited shipping,On Time
SO00122,CUS0147,2024-09-21,2024-11-07,327804.59,Pending,EMP0107,TND,Standard delivery,Pending
SO00123,CUS0014,2022-10-08,2022-10-15,146963.88,Shipped,EMP0133,TND,Expedited shipping,At Risk
SO00124,CUS0123,2022-04-03,2022-04-19,404193.22,Delivered,EMP0047,TND,Pre-payment required,On Time
SO00125,CUS0178,2024-07-08,2024-08-03,67854.52,Delivered,EMP0144,TND,Pre-payment required,On Time
SO00126,CUS0063,2024-09-06,2024-09-22,183291.93,Shipped,EMP0016,TND,Frame agreement order,At Risk
SO00127,CUS0035,2023-11-04,2023-12-17,331982.28,Pending,EMP0086,TND,Expedited shipping,Pending
SO00128,CUS0113,2024-02-27,2024-04-13,319689.2,Confirmed,EMP0007,TND,Frame agreement order,Pending
SO00129,CUS0192,2022-11-22,2023-01-14,21931.98,Shipped,EMP0123,TND,,On Time
SO00130,CUS0060,2022-02-16,2022-03-15,349185.08,Shipped,EMP0003,TND,,On Time
SO00131,CUS0146,2022-07-22,2022-09-05,377997.06,Delivered,EMP0139,TND,Pre-payment required,On Time
SO00132,CUS0083,2023-07-23,2023-08-26,166687.77,Delivered,EMP0138,TND,Standard delivery,On Time
SO00133,CUS0068,2024-07-04,2024-07-29,498046.36,Pending,EMP0081,TND,Pre-payment required,Pending
SO00134,CUS0163,2022-04-24,2022-05-24,452571.11,Shipped,EMP0084,TND,Frame agreement order,On Time
SO00135,CUS0072,2024-09-18,2024-09-25,284168.39,Confirmed,EMP0013,TND,Standard delivery,Pending
SO00136,CUS0166,2024-03-17,2024-04-24,400451.72,Cancelled,EMP0063,TND,Standard delivery,Cancelled
SO00137,CUS0019,2022-02-19,2022-03-12,442710.62,Pending,EMP0078,TND,Standard delivery,Pending
SO00138,CUS0189,2023-12-16,2024-02-01,271727.88,Delivered,EMP0123,TND,Standard delivery,On Time
SO00139,CUS0066,2022-05-28,2022-07-24,393672.57,Delivered,EMP0092,TND,Pre-payment required,Late
SO00140,CUS0066,2024-11-29,2024-12-06,488255.22,Pending,EMP0011,TND,Pre-payment required,Pending
SO00141,CUS0006,2022-03-18,2022-04-12,358039.17,Shipped,EMP0092,TND,Pre-payment required,On Time
SO00142,CUS0099,2024-08-04,2024-09-13,397007.74,Shipped,EMP0138,TND,Frame agreement order,On Time
SO00143,CUS0044,2023-12-20,2024-01-19,206112.62,Shipped,EMP0142,TND,,On Time
SO00144,CUS0073,2022-10-18,2022-11-19,215374.48,Shipped,EMP0114,TND,Frame agreement order,At Risk
SO00145,CUS0022,2022-05-04,2022-05-23,267520.42,Delivered,EMP0085,TND,Standard delivery,On Time
SO00146,CUS0130,2022-07-02,2022-07-16,89465.96,Pending,EMP0099,TND,Pre-payment required,Pending
SO00147,CUS0175,2022-12-29,2023-02-16,189568.49,Cancelled,EMP0031,TND,Pre-payment required,Cancelled
SO00148,CUS0155,2023-11-07,2023-11-15,157596.39,Pending,EMP0087,TND,Standard delivery,Pending
SO00149,CUS0019,2024-06-18,2024-08-13,251143.25,Pending,EMP0111,TND,Pre-payment required,Pending
SO00150,CUS0124,2024-09-12,2024-11-07,485465,Delivered,EMP0049,TND,Standard delivery,On Time
SO00151,CUS0177,2022-03-23,2022-04-13,389562.26,Confirmed,EMP0064,TND,Standard delivery,Pending
SO00152,CUS0103,2024-07-28,2024-09-03,33665.82,Shipped,EMP0079,TND,Frame agreement order,On Time
SO00153,CUS0106,2022-07-24,2022-09-01,130719.83,Shipped,EMP0072,TND,Frame agreement order,On Time
SO00154,CUS0073,2024-05-08,2024-06-07,381734.61,Cancelled,EMP0047,TND,Pre-payment required,Cancelled
SO00155,CUS0022,2023-09-24,2023-11-12,273409.97,Confirmed,EMP0131,TND,Standard delivery,Pending
SO00156,CUS0062,2022-06-30,2022-08-04,318193.98,Shipped,EMP0072,TND,Frame agreement order,At Risk
SO00157,CUS0200,2022-11-18,2023-01-01,231491.45,Shipped,EMP0148,TND,Standard delivery,On Time
SO00158,CUS0077,2023-06-30,2023-08-09,455197.01,Cancelled,EMP0079,TND,Standard delivery,Cancelled
SO00159,CUS0148,2022-01-11,2022-03-01,158220.37,Shipped,EMP0140,TND,Pre-payment required,On Time
SO00160,CUS0061,2024-04-09,2024-06-05,292119.52,Shipped,EMP0144,TND,,On Time
SO00161,CUS0144,2024-10-09,2024-10-17,323789.8,Delivered,EMP0063,TND,Frame agreement order,Late
SO00162,CUS0171,2024-03-24,2024-05-10,338418.79,Delivered,EMP0108,TND,Pre-payment required,On Time
SO00163,CUS0053,2024-08-20,2024-09-24,267909.8,Shipped,EMP0064,TND,Pre-payment required,At Risk
SO00164,CUS0090,2022-10-31,2022-11-14,283636.89,Cancelled,EMP0117,TND,Standard delivery,Cancelled
SO00165,CUS0033,2024-05-17,2024-06-27,287966.66,Shipped,EMP0114,TND,Frame agreement order,On Time
SO00166,CUS0111,2024-07-26,2024-08-29,348628.99,Delivered,EMP0015,TND,,On Time
SO00167,CUS0151,2022-06-17,2022-07-01,302687.2,Shipped,EMP0042,TND,Frame agreement order,At Risk
SO00168,CUS0033,2023-06-03,2023-07-01,290548.58,Cancelled,EMP0054,TND,Standard delivery,Cancelled
SO00169,CUS0112,2024-07-07,2024-08-20,250627.6,Pending,EMP0136,TND,Pre-payment required,Pending
SO00170,CUS0193,2024-05-11,2024-06-15,162686.65,Pending,EMP0007,TND,Pre-payment required,Pending
SO00171,CUS0188,2024-06-12,2024-08-08,110215.76,Cancelled,EMP0107,TND,Frame agreement order,Cancelled
SO00172,CUS0170,2022-04-06,2022-05-02,428582.02,Delivered,EMP0123,TND,Frame agreement order,On Time
SO00173,CUS0070,2022-08-16,2022-08-25,180941.59,Delivered,EMP0120,TND,Standard delivery,Late
SO00174,CUS0094,2022-10-04,2022-11-27,14044.5,Pending,EMP0093,TND,Pre-payment required,Pending
SO00175,CUS0066,2023-08-01,2023-09-16,144676.27,Cancelled,EMP0138,TND,Pre-payment required,Cancelled
SO00176,CUS0083,2024-07-27,2024-08-11,188250.09,Confirmed,EMP0126,TND,Pre-payment required,Pending
SO00177,CUS0192,2023-07-02,2023-08-13,138197.95,Shipped,EMP0087,TND,Frame agreement order,At Risk
SO00178,CUS0193,2024-03-10,2024-04-29,207950.23,Confirmed,EMP0087,TND,Pre-payment required,Pending
SO00179,CUS0001,2023-01-12,2023-03-05,452817.7,Shipped,EMP0007,TND,,At Risk
SO00180,CUS0056,2023-12-01,2024-01-26,9882.86,Delivered,EMP0042,TND,Frame agreement order,On Time
SO00181,CUS0034,2024-08-20,2024-09-29,314388.63,Confirmed,EMP0122,TND,Frame agreement order,Pending
SO00182,CUS0173,2023-11-01,2023-12-10,440962.83,Delivered,EMP0016,TND,,On Time
SO00183,CUS0041,2023-07-13,2023-09-05,441294.19,Delivered,EMP0104,TND,Standard delivery,On Time
SO00184,CUS0105,2023-04-26,2023-05-30,406423.45,Cancelled,EMP0008,TND,Expedited shipping,Cancelled
SO00185,CUS0112,2024-08-09,2024-09-28,438194.44,Shipped,EMP0139,TND,Expedited shipping,On Time
SO00186,CUS0051,2023-08-08,2023-09-28,183377.57,Pending,EMP0124,TND,,Pending
SO00187,CUS0027,2024-03-26,2024-04-29,180669.12,Delivered,EMP0127,TND,Frame agreement order,On Time
SO00188,CUS0066,2024-12-12,2024-12-27,142705.78,Pending,EMP0108,TND,Pre-payment required,Pending
SO00189,CUS0151,2022-05-13,2022-05-27,197847.63,Delivered,EMP0149,TND,Pre-payment required,Late
SO00190,CUS0176,2022-02-14,2022-03-23,402394.5,Shipped,EMP0046,TND,Pre-payment required,On Time
SO00191,CUS0026,2022-03-15,2022-04-15,305186.81,Shipped,EMP0110,TND,,On Time
SO00192,CUS0136,2024-09-02,2024-09-12,242777.34,Cancelled,EMP0037,TND,Expedited shipping,Cancelled
SO00193,CUS0123,2022-04-20,2022-06-08,27810.12,Cancelled,EMP0017,TND,Expedited shipping,Cancelled
SO00194,CUS0194,2023-03-18,2023-05-11,157397.58,Cancelled,EMP0005,TND,Expedited shipping,Cancelled
SO00195,CUS0198,2023-03-04,2023-04-10,153327.6,Confirmed,EMP0111,TND,,Pending
SO00196,CUS0195,2022-12-26,2023-02-20,142960.57,Shipped,EMP0026,TND,,On Time
SO00197,CUS0024,2022-01-08,2022-02-28,192770.71,Cancelled,EMP0091,TND,,Cancelled
SO00198,CUS0031,2022-08-30,2022-10-17,348661.33,Cancelled,EMP0077,TND,Frame agreement order,Cancelled
SO00199,CUS0011,2023-06-23,2023-07-15,38744.8,Pending,EMP0139,TND,Expedited shipping,Pending
SO00200,CUS0154,2024-08-04,2024-08-17,135267.99,Shipped,EMP0090,TND,Standard delivery,On Time
SO00201,CUS0168,2022-06-18,2022-07-04,18609.83,Confirmed,EMP0060,TND,,Pending
SO00202,CUS0095,2022-05-02,2022-06-16,476265.02,Delivered,EMP0111,TND,,On Time
SO00203,CUS0040,2023-06-04,2023-06-24,289109.32,Shipped,EMP0049,TND,,At Risk
SO00204,CUS0185,2023-03-02,2023-04-08,181837.16,Shipped,EMP0041,TND,,On Time
SO00205,CUS0077,2024-10-22,2024-11-22,124956.56,Delivered,EMP0062,TND,Pre-payment required,On Time
SO00206,CUS0014,2023-10-27,2023-12-20,125601.98,Confirmed,EMP0115,TND,Frame agreement order,Pending
SO00207,CUS0176,2022-10-07,2022-12-03,44263.96,Delivered,EMP0148,TND,Expedited shipping,On Time
SO00208,CUS0103,2022-06-02,2022-06-19,182086.25,Shipped,EMP0091,TND,Expedited shipping,On Time
SO00209,CUS0109,2022-11-20,2022-12-25,310607.66,Confirmed,EMP0072,TND,Pre-payment required,Pending
SO00210,CUS0063,2024-11-12,2025-01-02,235597.15,Delivered,EMP0143,TND,Frame agreement order,Late
SO00211,CUS0151,2024-09-25,2024-10-17,368231.9,Cancelled,EMP0146,TND,Pre-payment required,Cancelled
SO00212,CUS0044,2022-06-12,2022-07-22,483923.88,Delivered,EMP0043,TND,,On Time
SO00213,CUS0123,2024-09-25,2024-10-18,251442.4,Cancelled,EMP0099,TND,,Cancelled
SO00214,CUS0014,2022-06-20,2022-07-15,13915.94,Delivered,EMP0043,TND,,Late
SO00215,CUS0159,2024-02-12,2024-04-09,193544.73,Confirmed,EMP0073,TND,Standard delivery,Pending
SO00216,CUS0125,2023-10-11,2023-11-01,41782.77,Cancelled,EMP0013,TND,Expedited shipping,Cancelled
SO00217,CUS0074,2022-02-07,2022-02-15,135616.89,Pending,EMP0118,TND,Standard delivery,Pending
SO00218,CUS0035,2022-05-22,2022-07-06,388917.92,Shipped,EMP0064,TND,Expedited shipping,On Time
SO00219,CUS0015,2024-07-23,2024-08-10,214054.95,Delivered,EMP0136,TND,Standard delivery,On Time
SO00220,CUS0159,2023-08-20,2023-09-21,114898.67,Shipped,EMP0082,TND,Standard delivery,On Time
SO00221,CUS0150,2022-06-11,2022-07-01,188165.62,Pending,EMP0021,TND,Standard delivery,Pending
SO00222,CUS0185,2022-08-22,2022-09-18,258022.88,Shipped,EMP0102,TND,Frame agreement order,At Risk
SO00223,CUS0024,2023-04-07,2023-06-05,113355.05,Pending,EMP0012,TND,Standard delivery,Pending
SO00224,CUS0071,2024-08-02,2024-09-14,99326.24,Delivered,EMP0093,TND,Frame agreement order,On Time
SO00225,CUS0128,2022-02-26,2022-03-19,8371.81,Pending,EMP0114,TND,Expedited shipping,Pending
SO00226,CUS0055,2024-07-17,2024-08-08,417739.88,Delivered,EMP0012,TND,Standard delivery,On Time
SO00227,CUS0026,2022-01-12,2022-03-02,441161.89,Shipped,EMP0145,TND,Expedited shipping,On Time
SO00228,CUS0041,2024-04-27,2024-05-08,414407.61,Cancelled,EMP0041,TND,Expedited shipping,Cancelled
SO00229,CUS0004,2023-06-19,2023-06-26,210884.58,Confirmed,EMP0135,TND,Frame agreement order,Pending
SO00230,CUS0070,2023-11-17,2024-01-07,298812.95,Delivered,EMP0014,TND,Expedited shipping,Late
SO00231,CUS0022,2023-10-04,2023-10-28,128527.86,Cancelled,EMP0011,TND,Pre-payment required,Cancelled
SO00232,CUS0022,2024-08-22,2024-09-02,415874.9,Pending,EMP0009,TND,Pre-payment required,Pending
SO00233,CUS0014,2023-11-26,2023-12-08,447621.59,Confirmed,EMP0018,TND,Standard delivery,Pending
SO00234,CUS0157,2023-11-03,2024-01-01,315433.3,Pending,EMP0039,TND,Frame agreement order,Pending
SO00235,CUS0154,2024-04-11,2024-06-06,99317.69,Shipped,EMP0127,TND,Frame agreement order,At Risk
SO00236,CUS0107,2024-06-14,2024-06-24,424436.45,Shipped,EMP0129,TND,Pre-payment required,On Time
SO00237,CUS0039,2024-02-10,2024-03-08,238736.58,Pending,EMP0070,TND,Expedited shipping,Pending
SO00238,CUS0080,2023-01-03,2023-02-04,433132.52,Pending,EMP0100,TND,,Pending
SO00239,CUS0170,2023-06-24,2023-08-17,347663.08,Delivered,EMP0029,TND,Frame agreement order,On Time
SO00240,CUS0067,2023-11-23,2023-12-06,370671.4,Confirmed,EMP0128,TND,Frame agreement order,Pending
SO00241,CUS0030,2022-08-12,2022-09-07,283069.68,Pending,EMP0098,TND,Standard delivery,Pending
SO00242,CUS0143,2024-01-26,2024-02-03,473888.88,Cancelled,EMP0128,TND,Pre-payment required,Cancelled
SO00243,CUS0126,2023-12-27,2024-01-05,280545.62,Delivered,EMP0126,TND,,On Time
SO00244,CUS0084,2024-02-21,2024-03-01,135013.33,Shipped,EMP0024,TND,Pre-payment required,At Risk
SO00245,CUS0192,2023-07-26,2023-08-10,313944.94,Shipped,EMP0038,TND,Frame agreement order,At Risk
SO00246,CUS0162,2024-10-08,2024-10-16,267367.23,Pending,EMP0089,TND,Standard delivery,Pending
SO00247,CUS0085,2022-05-13,2022-07-11,66310.2,Delivered,EMP0132,TND,Frame agreement order,On Time
SO00248,CUS0106,2022-12-29,2023-02-06,129772.89,Cancelled,EMP0114,TND,Standard delivery,Cancelled
SO00249,CUS0037,2023-08-24,2023-09-16,36070.38,Cancelled,EMP0130,TND,Standard delivery,Cancelled
