  crm_opportunities  ·  500 lignes  ·  10 colonnes,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
OPP0037,ACC0045,Deploiement Cloud Leoni,Closed Won,708610.55,100,2024-02-03,TND,EMP0058,2023-08-26,708610.55,
OPP0038,ACC0104,Data Platform Attijari,Qualification,1886615.47,25,2025-05-30,TND,EMP0006,2024-08-26,471653.87,
OPP0039,ACC0164,Migration SAP BIAT,Qualification,825825.64,25,2025-03-26,TND,EMP0008,2024-06-24,206456.41,
OPP0040,ACC0080,Migration SAP Sfax,Qualification,270381.72,25,2024-03-18,TND,EMP0093,2023-05-15,67595.43,
OPP0041,ACC0169,Refonte Architecture SI SNCFT,Closed Won,1579107.37,100,2023-10-11,TND,EMP0089,2024-04-14,1579107.37,
OPP0042,ACC0037,Implementation CRM BH,Closed Lost,2018016,0,2023-08-30,TND,EMP0038,2024-04-11,0,Price too high
OPP0043,ACC0140,Integration ERP SPS,Closed Won,1648116.76,100,2025-01-04,TND,EMP0024,2024-02-23,1648116.76,
OPP0044,ACC0089,Cybersecurite Delice,Closed Won,1498162.52,100,2025-02-13,TND,EMP0056,2022-01-31,1498162.52,
OPP0045,ACC0110,Migration SAP Tunisie,Closed Won,463959.24,100,2025-09-13,TND,EMP0136,2023-10-05,463959.24,
OPP0046,ACC0193,Cybersecurite Tunisie,Closed Won,2320158.73,100,2024-11-20,TND,EMP0069,2024-03-27,2320158.73,
OPP0047,ACC0062,Cybersecurite Ooredoo,Closed Won,406500.08,100,2023-11-02,TND,EMP0011,2022-03-02,406500.08,
OPP0048,ACC0193,Integration ERP Yazaki,Qualification,2139268.69,25,2025-09-06,TND,EMP0132,2024-06-08,534817.17,
OPP0049,ACC0100,Implementation CRM STB,Closed Won,523003.23,100,2025-03-11,TND,EMP0100,2024-10-28,523003.23,
OPP0050,ACC0021,Data Platform BH,Qualification,1417891.38,25,2023-06-03,TND,EMP0007,2022-04-09,354472.84,
OPP0051,ACC0136,Deploiement Cloud SPS,Prospecting,165737.01,10,2025-02-07,TND,EMP0019,2023-10-21,16573.7,
OPP0052,ACC0105,Digital Twin Ooredoo,Prospecting,1913327.23,10,2025-07-17,TND,EMP0114,2024-04-22,191332.72,
OPP0053,ACC0013,Cybersecurite SPS,Closed Lost,489536.63,0,2023-10-22,TND,EMP0070,2022-02-04,0,No decision
OPP0054,ACC0114,Audit Urbanisation SI VERMEG,Negotiation,1170528.06,75,2025-06-21,TND,EMP0115,2022-10-14,877896.05,
OPP0055,ACC0196,Data Platform BIAT,Closed Lost,309744.65,0,2025-04-05,TND,EMP0089,2022-02-09,0,No budget
OPP0056,ACC0191,Accompagnement Agile SPS,Closed Won,2311061.24,100,2023-07-08,TND,EMP0013,2022-11-26,2311061.24,
OPP0057,ACC0197,Assistant IA BH,Closed Won,150638.83,100,2023-05-17,TND,EMP0135,2024-12-28,150638.83,
OPP0058,ACC0050,Integration ERP SNCFT,Proposal,1843403.34,50,2023-05-18,TND,EMP0023,2022-09-29,921701.67,
OPP0059,ACC0184,Digital Twin CNAM,Proposal,834542.95,50,2025-01-02,TND,EMP0103,2022-08-11,417271.47,
OPP0060,ACC0119,Deploiement Cloud Ministere,Negotiation,1538601.81,75,2023-06-12,TND,EMP0043,2022-07-28,1153951.36,
OPP0061,ACC0001,Deploiement Cloud CNSS,Prospecting,913856.35,10,2023-12-01,TND,EMP0109,2023-05-03,91385.63,
OPP0062,ACC0034,Data Platform Sfax,Closed Won,462623.09,100,2024-10-12,TND,EMP0089,2024-02-10,462623.09,
OPP0063,ACC0056,Cybersecurite BIAT,Prospecting,2177804.75,10,2024-01-25,TND,EMP0140,2023-08-31,217780.48,
OPP0064,ACC0152,Deploiement Cloud CIH,Proposal,678840.33,50,2024-06-25,TND,EMP0083,2022-04-08,339420.16,
OPP0065,ACC0076,Data Platform IBM,Qualification,304685.64,25,2025-03-21,TND,EMP0073,2022-04-19,76171.41,
OPP0066,ACC0053,Digital Twin Star,Qualification,1004939.95,25,2025-07-14,TND,EMP0137,2022-08-10,251234.99,
OPP0067,ACC0190,Migration SAP BIAT,Qualification,2115395.8,25,2025-08-06,TND,EMP0020,2022-01-29,528848.95,
OPP0068,ACC0126,Transformation Digitale Star,Qualification,195280.33,25,2023-07-08,TND,EMP0067,2024-11-29,48820.08,
OPP0069,ACC0147,Cybersecurite Microsoft,Negotiation,1517242.37,75,2023-12-18,TND,EMP0113,2023-04-24,1137931.78,
OPP0070,ACC0139,Accompagnement Agile Poulina,Negotiation,1656999.36,75,2024-04-19,TND,EMP0046,2023-10-15,1242749.52,
OPP0071,ACC0087,Data Platform CIH,Negotiation,2130909.38,75,2023-03-01,TND,EMP0006,2024-10-06,1598182.03,
OPP0072,ACC0104,Assistant IA BNA,Closed Lost,775274.86,0,2025-05-27,TND,EMP0016,2024-04-04,0,Price too high
OPP0073,ACC0104,Implementation CRM VERMEG,Negotiation,1919877.86,75,2024-04-28,TND,EMP0001,2024-02-10,1439908.4,
OPP0074,ACC0022,Transformation Digitale SNCFT,Closed Won,773742.09,100,2023-10-22,TND,EMP0090,2023-11-03,773742.09,
OPP0075,ACC0023,Transformation Digitale SNCFT,Closed Lost,1141734.84,0,2023-11-23,TND,EMP0086,2024-07-05,0,Price too high
OPP0076,ACC0104,Integration ERP IBM,Prospecting,559226.47,10,2024-06-26,TND,EMP0045,2022-05-29,55922.65,
OPP0077,ACC0084,Refonte Architecture SI Tunisie,Closed Won,1919671.56,100,2023-10-12,TND,EMP0011,2024-12-30,1919671.56,
OPP0078,ACC0061,Assistant IA BIAT,Closed Lost,1474081.93,0,2024-07-03,TND,EMP0005,2022-11-21,0,Project cancelled
OPP0079,ACC0085,Migration SAP OCP,Qualification,1189041.07,25,2023-03-19,TND,EMP0139,2024-06-06,297260.27,
OPP0080,ACC0130,Transformation Digitale Carthage,Closed Lost,1242358.38,0,2024-05-28,TND,EMP0087,2024-11-14,0,No budget
OPP0081,ACC0166,Refonte Architecture SI BIAT,Closed Won,155100.57,100,2023-05-16,TND,EMP0140,2024-11-05,155100.57,
OPP0082,ACC0178,Migration SAP Talan,Negotiation,493982.14,75,2023-03-15,TND,EMP0046,2023-04-27,370486.6,
OPP0083,ACC0115,Refonte Architecture SI BIAT,Closed Won,666707.61,100,2025-04-02,TND,EMP0048,2022-02-23,666707.61,
OPP0084,ACC0071,Implementation CRM Poulina,Closed Won,816188.69,100,2025-07-14,TND,EMP0017,2024-08-02,816188.69,
OPP0085,ACC0127,Refonte Architecture SI VERMEG,Negotiation,2074431.12,75,2025-12-25,TND,EMP0148,2024-06-12,1555823.34,
OPP0086,ACC0184,Digital Twin Ministere,Closed Won,2051958.83,100,2025-10-15,TND,EMP0148,2023-02-06,2051958.83,
OPP0087,ACC0165,Assistant IA SOMOCER,Negotiation,1757328.87,75,2023-03-20,TND,EMP0048,2023-05-02,1317996.65,
OPP0088,ACC0179,Accompagnement Agile IBM,Proposal,1791839.66,50,2023-04-17,TND,EMP0093,2024-03-10,895919.83,
OPP0089,ACC0176,Digital Twin BIAT,Negotiation,2324919.56,75,2024-11-10,TND,EMP0032,2022-12-10,1743689.67,
OPP0090,ACC0200,Transformation Digitale Ministere,Proposal,2147698.5,50,2023-12-27,TND,EMP0047,2024-12-08,1073849.25,
OPP0091,ACC0152,Accompagnement Agile IBM,Negotiation,1217186.9,75,2025-08-01,TND,EMP0076,2023-01-16,912890.18,
OPP0092,ACC0163,Deploiement Cloud Ooredoo,Closed Lost,1593380.15,0,2024-05-20,TND,EMP0057,2023-02-03,0,Project cancelled
OPP0093,ACC0088,Implementation CRM STB,Closed Won,1324340.07,100,2023-07-31,TND,EMP0084,2023-01-18,1324340.07,
OPP0094,ACC0185,Refonte Architecture SI Attijari,Closed Won,1463759.96,100,2024-11-22,TND,EMP0088,2024-03-07,1463759.96,
OPP0095,ACC0104,Implementation CRM SOMOCER,Qualification,2493572.5,25,2023-12-18,TND,EMP0095,2022-07-29,623393.12,
OPP0096,ACC0028,Accompagnement Agile STB,Qualification,2466076.18,25,2025-10-30,TND,EMP0126,2024-11-28,616519.05,
OPP0097,ACC0144,Accompagnement Agile Ooredoo,Proposal,704139.42,50,2025-03-02,TND,EMP0125,2023-08-12,352069.71,
OPP0098,ACC0002,Accompagnement Agile GCT,Proposal,1813722.06,50,2024-04-04,TND,EMP0031,2024-11-15,906861.03,
OPP0099,ACC0029,Digital Twin Orange,Closed Won,1340583.83,100,2023-06-02,TND,EMP0051,2024-12-04,1340583.83,
OPP0100,ACC0149,Data Platform Amen,Closed Lost,306068.64,0,2024-11-14,TND,EMP0023,2024-01-16,0,No decision
OPP0101,ACC0079,Audit Urbanisation SI TTS,Qualification,2278802.89,25,2025-03-18,TND,EMP0028,2023-11-01,569700.72,
OPP0102,ACC0028,Cybersecurite Talan,Proposal,771226.69,50,2024-02-19,TND,EMP0055,2024-05-09,385613.34,
OPP0103,ACC0025,Accompagnement Agile Orange,Negotiation,824191.39,75,2025-12-10,TND,EMP0082,2022-04-04,618143.54,
OPP0104,ACC0039,Cybersecurite IBM,Prospecting,436579.67,10,2024-06-28,TND,EMP0023,2022-03-14,43657.97,
OPP0105,ACC0117,Deploiement Cloud Leoni,Proposal,2499569.04,50,2023-12-30,TND,EMP0135,2024-08-26,1249784.52,
OPP0106,ACC0155,Deploiement Cloud Leoni,Closed Won,901571.78,100,2023-05-04,TND,EMP0093,2022-09-23,901571.78,
OPP0107,ACC0135,Implementation CRM Banque,Qualification,221487.49,25,2025-11-19,TND,EMP0036,2023-11-09,55371.87,
OPP0108,ACC0107,Refonte Architecture SI STB,Closed Won,667963.79,100,2025-05-26,TND,EMP0150,2024-11-03,667963.79,
OPP0109,ACC0138,Audit Urbanisation SI IBM,Negotiation,1217996.52,75,2025-07-10,TND,EMP0043,2022-10-11,913497.39,
OPP0110,ACC0131,Migration SAP Delice,Negotiation,939197.91,75,2024-11-22,TND,EMP0087,2024-05-14,704398.43,
OPP0111,ACC0183,Integration ERP TTS,Proposal,1129365.86,50,2024-10-11,TND,EMP0078,2022-09-01,564682.93,
OPP0112,ACC0086,Implementation CRM CNAM,Prospecting,647561.83,10,2025-05-26,TND,EMP0002,2022-03-22,64756.18,
OPP0113,ACC0079,Cybersecurite Sfax,Prospecting,1292427.51,10,2023-11-16,TND,EMP0060,2022-05-29,129242.75,
OPP0114,ACC0165,Cybersecurite Poulina,Qualification,1163608.11,25,2023-09-26,TND,EMP0018,2023-03-03,290902.03,
OPP0115,ACC0088,Digital Twin Delice,Prospecting,764712.53,10,2024-10-25,TND,EMP0109,2023-01-09,76471.25,
OPP0116,ACC0073,Data Platform Talan,Closed Lost,1139743.24,0,2023-07-25,TND,EMP0135,2024-02-24,0,Price too high
OPP0117,ACC0037,Assistant IA STB,Negotiation,2286218.41,75,2025-10-01,TND,EMP0113,2023-08-23,1714663.81,
OPP0118,ACC0039,Transformation Digitale OCP,Closed Lost,1457135.15,0,2025-04-26,TND,EMP0132,2022-12-10,0,No budget
OPP0119,ACC0054,Transformation Digitale Tunisair,Proposal,815355.93,50,2024-08-12,TND,EMP0045,2022-08-05,407677.97,
OPP0120,ACC0049,Accompagnement Agile Tunisair,Closed Lost,2407478.09,0,2023-10-01,TND,EMP0037,2022-01-15,0,No budget
OPP0121,ACC0160,Refonte Architecture SI SOMOCER,Closed Lost,1925168.65,0,2024-09-16,TND,EMP0003,2022-07-04,0,Competitor selected
OPP0122,ACC0107,Digital Twin BNA,Closed Won,1357493.91,100,2024-05-16,TND,EMP0142,2024-08-06,1357493.91,
OPP0123,ACC0137,Data Platform Delice,Proposal,413680.35,50,2023-02-19,TND,EMP0023,2024-07-22,206840.17,
OPP0124,ACC0090,Accompagnement Agile CNSS,Qualification,1592949.19,25,2024-01-06,TND,EMP0093,2023-06-29,398237.3,
OPP0125,ACC0098,Audit Urbanisation SI Sfax,Negotiation,718735.9,75,2023-10-05,TND,EMP0024,2024-11-12,539051.93,
OPP0126,ACC0098,Integration ERP Poulina,Closed Lost,2012739.01,0,2025-07-17,TND,EMP0141,2023-01-08,0,No decision
OPP0127,ACC0031,Assistant IA TTS,Closed Lost,1905543.26,0,2025-06-19,TND,EMP0056,2023-02-11,0,Price too high
OPP0128,ACC0145,Deploiement Cloud Tunisie,Negotiation,563852.87,75,2024-03-20,TND,EMP0045,2022-11-14,422889.65,
OPP0129,ACC0190,Deploiement Cloud Carthage,Closed Won,285825.31,100,2024-03-14,TND,EMP0110,2023-11-01,285825.31,
OPP0130,ACC0164,Refonte Architecture SI Microsoft,Closed Lost,455873.69,0,2023-06-04,TND,EMP0037,2023-04-30,0,No decision
OPP0131,ACC0168,Migration SAP UIB,Qualification,1838671.54,25,2024-10-27,TND,EMP0139,2023-02-21,459667.89,
OPP0132,ACC0069,Accompagnement Agile Ooredoo,Proposal,2450143.91,50,2024-09-22,TND,EMP0119,2024-10-06,1225071.96,
OPP0133,ACC0101,Audit Urbanisation SI Microsoft,Qualification,2349423.21,25,2023-11-27,TND,EMP0147,2023-11-13,587355.8,
OPP0134,ACC0148,Transformation Digitale Total,Proposal,846903.28,50,2024-06-03,TND,EMP0115,2024-06-17,423451.64,
OPP0135,ACC0147,Integration ERP Leoni,Prospecting,1146188.72,10,2024-01-18,TND,EMP0015,2023-11-10,114618.87,
OPP0136,ACC0195,Refonte Architecture SI Talan,Qualification,344304.45,25,2025-08-17,TND,EMP0084,2022-10-11,86076.11,
OPP0137,ACC0063,Migration SAP BH,Closed Won,1750530.71,100,2025-11-28,TND,EMP0026,2022-10-03,1750530.71,
OPP0138,ACC0187,Transformation Digitale Yazaki,Proposal,2338447.39,50,2025-03-24,TND,EMP0012,2023-06-28,1169223.7,
OPP0139,ACC0156,Migration SAP Sfax,Closed Won,1301951.5,100,2025-09-28,TND,EMP0054,2024-02-02,1301951.5,
OPP0140,ACC0092,Migration SAP SOMOCER,Closed Lost,325053.22,0,2025-11-19,TND,EMP0101,2022-05-05,0,Competitor selected
OPP0141,ACC0005,Assistant IA Amen,Prospecting,2195727.33,10,2024-02-18,TND,EMP0100,2022-06-17,219572.73,
OPP0142,ACC0029,Integration ERP Attijari,Closed Won,1238395.02,100,2024-10-18,TND,EMP0042,2023-03-07,1238395.02,
OPP0143,ACC0006,Data Platform SNCFT,Closed Lost,388566.7,0,2023-07-11,TND,EMP0090,2022-02-19,0,Competitor selected
OPP0144,ACC0051,Refonte Architecture SI Talan,Prospecting,1229027.78,10,2024-09-12,TND,EMP0131,2023-01-30,122902.78,
OPP0145,ACC0002,Audit Urbanisation SI BNA,Prospecting,387266.51,10,2024-02-07,TND,EMP0128,2022-07-10,38726.65,
OPP0146,ACC0038,Accompagnement Agile Tunisie,Closed Won,378215.38,100,2023-08-24,TND,EMP0039,2022-08-25,378215.38,
OPP0147,ACC0031,Audit Urbanisation SI CIH,Qualification,1903810.43,25,2023-11-19,TND,EMP0036,2022-04-20,475952.61,
OPP0148,ACC0030,Cybersecurite BIAT,Prospecting,1315941.38,10,2023-07-02,TND,EMP0034,2023-01-06,131594.14,
OPP0149,ACC0159,Implementation CRM Ministere,Prospecting,1251527.89,10,2023-09-05,TND,EMP0088,2024-12-19,125152.79,
OPP0150,ACC0051,Audit Urbanisation SI Sfax,Negotiation,601614.4,75,2024-05-24,TND,EMP0050,2024-06-02,451210.8,
OPP0151,ACC0054,Accompagnement Agile OCP,Negotiation,1812393,75,2024-11-21,TND,EMP0078,2024-12-02,1359294.75,
OPP0152,ACC0196,Refonte Architecture SI Ministere,Prospecting,1074629.63,10,2023-11-03,TND,EMP0073,2022-02-16,107462.96,
OPP0153,ACC0161,Integration ERP SOMOCER,Closed Won,2118138.27,100,2025-03-19,TND,EMP0148,2023-10-31,2118138.27,
OPP0154,ACC0153,Data Platform Tunisie,Qualification,1784087.59,25,2023-11-04,TND,EMP0050,2024-01-22,446021.9,
OPP0155,ACC0017,Refonte Architecture SI STB,Proposal,1542309.21,50,2025-02-18,TND,EMP0146,2023-12-09,771154.6,
OPP0156,ACC0005,Accompagnement Agile CNAM,Qualification,2061880.69,25,2025-10-13,TND,EMP0031,2022-10-18,515470.17,
OPP0157,ACC0109,Digital Twin Carthage,Proposal,325327.2,50,2024-01-26,TND,EMP0100,2023-09-21,162663.6,
OPP0158,ACC0007,Cybersecurite Ministere,Qualification,144214.8,25,2024-03-10,TND,EMP0040,2022-02-22,36053.7,
OPP0159,ACC0014,Migration SAP Sfax,Qualification,422499.99,25,2025-09-13,TND,EMP0042,2024-09-08,105625,
OPP0160,ACC0072,Implementation CRM Total,Qualification,1303169.86,25,2025-10-10,TND,EMP0016,2024-06-26,325792.47,
OPP0161,ACC0111,Accompagnement Agile GCT,Closed Lost,1581095.4,0,2023-06-24,TND,EMP0034,2022-09-17,0,No budget
OPP0162,ACC0167,Deploiement Cloud Ministere,Proposal,1769926.21,50,2025-12-23,TND,EMP0041,2022-01-16,884963.1,
OPP0163,ACC0009,Digital Twin Ministere,Qualification,1008416.65,25,2024-08-07,TND,EMP0093,2024-04-10,252104.16,
OPP0164,ACC0095,Transformation Digitale CIH,Negotiation,526687.78,75,2025-07-13,TND,EMP0095,2024-06-25,395015.84,
OPP0165,ACC0096,Transformation Digitale Leoni,Closed Won,102534.71,100,2024-12-13,TND,EMP0064,2023-05-30,102534.71,
OPP0166,ACC0036,Digital Twin Banque,Negotiation,196255.84,75,2023-08-06,TND,EMP0029,2022-04-01,147191.88,
OPP0167,ACC0197,Migration SAP Amen,Closed Won,2283202.71,100,2023-05-02,TND,EMP0007,2024-04-24,2283202.71,
OPP0168,ACC0026,Implementation CRM Ooredoo,Closed Won,2370031.39,100,2024-04-15,TND,EMP0024,2024-09-28,2370031.39,
OPP0169,ACC0133,Integration ERP BH,Qualification,2011113.65,25,2025-05-17,TND,EMP0094,2024-07-06,502778.41,
OPP0170,ACC0152,Data Platform Carthage,Prospecting,1338743.75,10,2023-10-31,TND,EMP0016,2024-08-07,133874.38,
OPP0171,ACC0131,Migration SAP GCT,Prospecting,2468046.95,10,2024-02-05,TND,EMP0064,2022-04-21,246804.7,
OPP0172,ACC0086,Data Platform CNSS,Negotiation,1054664.58,75,2024-04-14,TND,EMP0074,2024-01-10,790998.44,
OPP0173,ACC0126,Refonte Architecture SI CNSS,Closed Won,1451019.44,100,2024-07-18,TND,EMP0045,2022-08-22,1451019.44,
OPP0174,ACC0007,Audit Urbanisation SI STIIP,Closed Lost,2343982.55,0,2024-02-07,TND,EMP0137,2024-12-17,0,Competitor selected
OPP0175,ACC0115,Integration ERP TTS,Closed Lost,915130.33,0,2024-12-28,TND,EMP0128,2022-03-02,0,No decision
OPP0176,ACC0144,Deploiement Cloud SONEDE,Qualification,2027285.93,25,2023-09-04,TND,EMP0052,2024-04-04,506821.48,
OPP0177,ACC0066,Deploiement Cloud BIAT,Qualification,2388443.95,25,2025-06-19,TND,EMP0039,2022-06-11,597110.99,
OPP0178,ACC0135,Digital Twin CNSS,Proposal,650720.49,50,2023-05-12,TND,EMP0122,2022-02-08,325360.24,
OPP0179,ACC0069,Refonte Architecture SI STB,Prospecting,1692555.06,10,2023-04-28,TND,EMP0080,2023-11-08,169255.51,
OPP0180,ACC0194,Migration SAP Yazaki,Closed Lost,171111.78,0,2023-02-21,TND,EMP0125,2024-08-15,0,Price too high
OPP0181,ACC0010,Audit Urbanisation SI SPS,Prospecting,1696712.54,10,2024-05-31,TND,EMP0140,2022-05-20,169671.25,
OPP0182,ACC0147,Deploiement Cloud GCT,Closed Lost,345530.08,0,2024-07-06,TND,EMP0017,2023-10-11,0,Project cancelled
OPP0183,ACC0066,Accompagnement Agile UIB,Qualification,2133847.85,25,2023-03-28,TND,EMP0128,2024-03-19,533461.96,
OPP0184,ACC0127,Migration SAP Ministere,Closed Won,1784959.18,100,2025-12-19,TND,EMP0113,2022-09-04,1784959.18,
OPP0185,ACC0155,Data Platform Ooredoo,Negotiation,2003116.83,75,2025-02-21,TND,EMP0098,2022-07-23,1502337.62,
OPP0186,ACC0125,Assistant IA SNCFT,Qualification,2098682.54,25,2024-03-18,TND,EMP0147,2023-06-30,524670.64,
OPP0187,ACC0045,Deploiement Cloud BIAT,Qualification,2348779.51,25,2024-04-22,TND,EMP0132,2023-08-16,587194.88,
OPP0188,ACC0157,Refonte Architecture SI SPS,Closed Won,343042.19,100,2023-08-22,TND,EMP0068,2022-12-05,343042.19,
OPP0189,ACC0007,Accompagnement Agile Amen,Negotiation,783380.85,75,2023-10-13,TND,EMP0118,2022-12-18,587535.64,
OPP0190,ACC0106,Cybersecurite Carthage,Prospecting,736038.28,10,2023-07-02,TND,EMP0008,2023-06-16,73603.83,
OPP0191,ACC0061,Transformation Digitale Delice,Prospecting,1074229.94,10,2023-06-21,TND,EMP0029,2022-06-21,107422.99,
OPP0192,ACC0188,Implementation CRM Banque,Negotiation,184987.31,75,2023-02-15,TND,EMP0019,2024-03-28,138740.48,
OPP0193,ACC0137,Accompagnement Agile STEG,Proposal,773028.36,50,2024-09-14,TND,EMP0116,2023-12-31,386514.18,
OPP0194,ACC0189,Assistant IA Yazaki,Closed Won,730216.28,100,2025-11-16,TND,EMP0096,2024-06-15,730216.28,
OPP0195,ACC0016,Data Platform Orange,Prospecting,2427699.82,10,2023-12-20,TND,EMP0108,2024-08-29,242769.98,
OPP0196,ACC0171,Migration SAP STEG,Proposal,1085492.13,50,2025-08-27,TND,EMP0098,2022-06-24,542746.06,
OPP0197,ACC0024,Digital Twin Banque,Proposal,495213.63,50,2025-04-05,TND,EMP0128,2023-07-08,247606.82,
OPP0198,ACC0144,Cybersecurite Star,Qualification,902272.77,25,2025-05-17,TND,EMP0101,2024-09-04,225568.19,
OPP0199,ACC0069,Cybersecurite Delice,Closed Lost,2065047.46,0,2023-04-13,TND,EMP0031,2023-06-14,0,No decision
OPP0200,ACC0029,Deploiement Cloud Sfax,Prospecting,907813.35,10,2025-05-17,TND,EMP0142,2023-05-24,90781.34,
OPP0201,ACC0073,Audit Urbanisation SI IBM,Qualification,2387260.47,25,2025-09-25,TND,EMP0091,2022-08-08,596815.12,
OPP0202,ACC0047,Cybersecurite CNAM,Negotiation,1162559.78,75,2025-03-26,TND,EMP0108,2023-08-03,871919.83,
OPP0203,ACC0099,Implementation CRM STB,Closed Won,1508216,100,2025-02-09,TND,EMP0110,2022-02-22,1508216,
OPP0204,ACC0131,Assistant IA SONEDE,Proposal,2366826.85,50,2025-07-16,TND,EMP0003,2022-11-10,1183413.43,
