  hr_project_milestones  ·  480 lignes  ·  10 colonnes,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
MS00028,PRJ0004,Development Phase 2,2023-03-07,100,Completed,EMP0029,356441.79,328656.16,Client approval pending
MS00029,PRJ0004,Testing & QA,2023-03-23,100,Completed,EMP0054,267331.34,292996.54,
MS00030,PRJ0004,UAT & Client Review,2023-04-03,100,Completed,EMP0134,178220.89,196068.3,Resource bottleneck
MS00031,PRJ0004,Go-Live & Deployment,2023-04-08,100,Completed,EMP0037,89110.45,96063.6,
MS00032,PRJ0004,Project Closure,2023-04-14,100,Completed,EMP0150,89110.45,103583.42,Resource bottleneck
MS00033,PRJ0005,Kickoff & Requirements,2023-03-26,100,Completed,EMP0044,62444.35,51456.89,
MS00034,PRJ0005,Design & Architecture,2023-04-26,59,Delayed,EMP0070,187333.04,,
MS00035,PRJ0005,Development Phase 1,2023-06-05,100,Completed,EMP0003,249777.38,206475.75,
MS00036,PRJ0005,Development Phase 2,2023-07-16,100,Completed,EMP0093,249777.38,286173.17,
MS00037,PRJ0005,Testing & QA,2023-08-16,100,Completed,EMP0099,187333.04,167188.64,Client approval pending
MS00038,PRJ0005,UAT & Client Review,2023-09-05,100,Completed,EMP0026,124888.69,145064.31,Client approval pending
MS00039,PRJ0005,Go-Live & Deployment,2023-09-15,54,Delayed,EMP0023,62444.35,,
MS00040,PRJ0005,Project Closure,2023-09-26,100,Completed,EMP0118,62444.35,63960.18,
MS00041,PRJ0006,Kickoff & Requirements,2023-06-14,100,Completed,EMP0064,131040.97,153174.84,Dependency on external vendor
MS00042,PRJ0006,Design & Architecture,2023-07-29,100,Completed,EMP0101,393122.9,431553.14,
MS00043,PRJ0006,Development Phase 1,2023-09-27,100,Completed,EMP0091,524163.87,493841.65,Dependency on external vendor
MS00044,PRJ0006,Development Phase 2,2023-11-25,100,Completed,EMP0129,524163.87,477173.26,
MS00045,PRJ0006,Testing & QA,2024-01-09,100,Completed,EMP0100,393122.9,454513.3,
MS00046,PRJ0006,UAT & Client Review,2024-02-08,80,In Progress,EMP0072,262081.93,,
MS00047,PRJ0006,Go-Live & Deployment,2024-02-23,100,Completed,EMP0101,131040.97,139266.76,
MS00048,PRJ0006,Project Closure,2024-03-09,100,Completed,EMP0134,131040.97,155184.25,Resource bottleneck
MS00049,PRJ0007,Kickoff & Requirements,2024-08-22,100,Completed,EMP0059,143781.82,139027.44,Resource bottleneck
MS00050,PRJ0007,Design & Architecture,2024-10-18,0,Cancelled,EMP0080,431345.46,,Resource bottleneck
MS00051,PRJ0007,Development Phase 1,2025-01-03,0,Cancelled,EMP0139,575127.28,,
MS00052,PRJ0007,Development Phase 2,2025-03-20,0,Cancelled,EMP0036,575127.28,,Resource bottleneck
MS00053,PRJ0007,Testing & QA,2025-05-17,0,Cancelled,EMP0052,431345.46,,
MS00054,PRJ0007,UAT & Client Review,2025-06-24,0,Cancelled,EMP0135,287563.64,,
MS00055,PRJ0007,Go-Live & Deployment,2025-07-13,0,Cancelled,EMP0038,143781.82,,
MS00056,PRJ0007,Project Closure,2025-08-02,100,Completed,EMP0041,143781.82,133285.53,Resource bottleneck
MS00057,PRJ0008,Kickoff & Requirements,2022-06-02,100,Completed,EMP0031,15166.98,13250.69,
MS00058,PRJ0008,Design & Architecture,2022-06-18,100,Completed,EMP0082,45500.94,52419.49,Client approval pending
MS00059,PRJ0008,Development Phase 1,2022-07-08,39,In Progress,EMP0114,60667.92,,
MS00060,PRJ0008,Development Phase 2,2022-07-29,77,In Progress,EMP0071,60667.92,,
MS00061,PRJ0008,Testing & QA,2022-08-14,26,Delayed,EMP0034,45500.94,,
MS00062,PRJ0008,UAT & Client Review,2022-08-24,100,Completed,EMP0069,30333.96,31615.32,Resource bottleneck
MS00063,PRJ0008,Go-Live & Deployment,2022-08-29,100,Completed,EMP0060,15166.98,13534.48,
MS00064,PRJ0008,Project Closure,2022-09-04,100,Completed,EMP0123,15166.98,12947.06,Resource bottleneck
MS00065,PRJ0009,Kickoff & Requirements,2024-09-09,100,Completed,EMP0096,64398.56,56257.97,Client approval pending
MS00066,PRJ0009,Design & Architecture,2024-11-02,100,Completed,EMP0036,193195.67,167213.67,
MS00067,PRJ0009,Development Phase 1,2025-01-12,100,Completed,EMP0004,257594.23,301430.08,Client approval pending
MS00068,PRJ0009,Development Phase 2,2025-03-24,62,In Progress,EMP0052,257594.23,,
MS00069,PRJ0009,Testing & QA,2025-05-16,0,Not Started,EMP0017,193195.67,,
MS00070,PRJ0009,UAT & Client Review,2025-06-21,0,Not Started,EMP0113,128797.11,,Resource bottleneck
MS00071,PRJ0009,Go-Live & Deployment,2025-07-09,0,Not Started,EMP0126,64398.56,,
MS00072,PRJ0009,Project Closure,2025-07-27,0,Not Started,EMP0084,64398.56,,Client approval pending
MS00073,PRJ0010,Kickoff & Requirements,2023-02-28,100,Completed,EMP0064,70158.29,68125.27,
MS00074,PRJ0010,Design & Architecture,2023-03-24,100,Completed,EMP0098,210474.88,229013.58,Client approval pending
MS00075,PRJ0010,Development Phase 1,2023-04-25,100,Completed,EMP0147,280633.17,291163.18,Resource bottleneck
MS00076,PRJ0010,Development Phase 2,2023-05-27,100,Completed,EMP0010,280633.17,282951.1,Client approval pending
MS00077,PRJ0010,Testing & QA,2023-06-20,100,Completed,EMP0117,210474.88,238005.85,
MS00078,PRJ0010,UAT & Client Review,2023-07-06,100,Completed,EMP0063,140316.59,141366.3,Client approval pending
MS00079,PRJ0010,Go-Live & Deployment,2023-07-14,100,Completed,EMP0011,70158.29,71777.57,Resource bottleneck
MS00080,PRJ0010,Project Closure,2023-07-23,100,Completed,EMP0013,70158.29,61454.47,Client approval pending
MS00081,PRJ0011,Kickoff & Requirements,2023-12-27,100,Completed,EMP0078,120300.84,133470.27,Dependency on external vendor
MS00082,PRJ0011,Design & Architecture,2024-02-19,100,Completed,EMP0109,360902.51,331224.74,
MS00083,PRJ0011,Development Phase 1,2024-05-01,100,Completed,EMP0037,481203.35,474192.98,
MS00084,PRJ0011,Development Phase 2,2024-07-12,100,Completed,EMP0129,481203.35,406746.1,Resource bottleneck
MS00085,PRJ0011,Testing & QA,2024-09-04,64,In Progress,EMP0140,360902.51,,
MS00086,PRJ0011,UAT & Client Review,2024-10-10,100,Completed,EMP0083,240601.67,235874.9,
MS00087,PRJ0011,Go-Live & Deployment,2024-10-28,100,Completed,EMP0052,120300.84,138709.2,
MS00088,PRJ0011,Project Closure,2024-11-15,100,Completed,EMP0042,120300.84,130809.1,
MS00089,PRJ0012,Kickoff & Requirements,2023-11-19,100,Completed,EMP0116,33144.99,34922.52,
MS00090,PRJ0012,Design & Architecture,2023-12-15,100,Completed,EMP0099,99434.97,108458.64,Resource bottleneck
MS00091,PRJ0012,Development Phase 1,2024-01-18,100,Completed,EMP0041,132579.96,126146.04,Client approval pending
MS00092,PRJ0012,Development Phase 2,2024-02-20,100,Completed,EMP0044,132579.96,154442.54,Resource bottleneck
MS00093,PRJ0012,Testing & QA,2024-03-17,75,Delayed,EMP0039,99434.97,,
MS00094,PRJ0012,UAT & Client Review,2024-04-03,31,Delayed,EMP0014,66289.98,,Client approval pending
MS00095,PRJ0012,Go-Live & Deployment,2024-04-11,100,Completed,EMP0115,33144.99,30344.64,
MS00096,PRJ0012,Project Closure,2024-04-20,100,Completed,EMP0034,33144.99,39249.42,
MS00097,PRJ0013,Kickoff & Requirements,2021-04-16,100,Completed,EMP0065,100973.33,81271.73,Client approval pending
MS00098,PRJ0013,Design & Architecture,2021-05-17,54,Delayed,EMP0002,302919.99,,Resource bottleneck
MS00099,PRJ0013,Development Phase 1,2021-06-26,35,Delayed,EMP0056,403893.32,,Resource bottleneck
MS00100,PRJ0013,Development Phase 2,2021-08-06,100,Completed,EMP0117,403893.32,389377.61,
MS00101,PRJ0013,Testing & QA,2021-09-06,100,Completed,EMP0002,302919.99,271987.4,Resource bottleneck
MS00102,PRJ0013,UAT & Client Review,2021-09-26,100,Completed,EMP0143,201946.66,227805.64,
MS00103,PRJ0013,Go-Live & Deployment,2021-10-06,100,Completed,EMP0038,100973.33,83002.66,Dependency on external vendor
MS00104,PRJ0013,Project Closure,2021-10-17,100,Completed,EMP0009,100973.33,107718.21,Resource bottleneck
MS00105,PRJ0014,Kickoff & Requirements,2022-09-17,100,Completed,EMP0023,147312.55,120739.21,Client approval pending
MS00106,PRJ0014,Design & Architecture,2022-11-19,30,In Progress,EMP0073,441937.65,,Resource bottleneck
MS00107,PRJ0014,Development Phase 1,2023-02-12,100,Completed,EMP0147,589250.2,656968.62,
MS00108,PRJ0014,Development Phase 2,2023-05-07,67,In Progress,EMP0149,589250.2,,Dependency on external vendor
MS00109,PRJ0014,Testing & QA,2023-07-10,25,In Progress,EMP0077,441937.65,,Dependency on external vendor
MS00110,PRJ0014,UAT & Client Review,2023-08-21,100,Completed,EMP0098,294625.1,332368.31,Client approval pending
MS00111,PRJ0014,Go-Live & Deployment,2023-09-11,24,Delayed,EMP0075,147312.55,,Client approval pending
MS00112,PRJ0014,Project Closure,2023-10-03,100,Completed,EMP0071,147312.55,137248.66,Client approval pending
MS00113,PRJ0015,Kickoff & Requirements,2024-08-31,100,Completed,EMP0054,18520.12,19350.22,
MS00114,PRJ0015,Design & Architecture,2024-11-14,100,Completed,EMP0136,55560.35,66387.72,Client approval pending
MS00115,PRJ0015,Development Phase 1,2025-02-22,100,Completed,EMP0074,74080.47,71918.91,Dependency on external vendor
MS00116,PRJ0015,Development Phase 2,2025-06-02,0,Not Started,EMP0067,74080.47,,Resource bottleneck
MS00117,PRJ0015,Testing & QA,2025-08-16,0,Not Started,EMP0148,55560.35,,Resource bottleneck
MS00118,PRJ0015,UAT & Client Review,2025-10-05,0,Not Started,EMP0091,37040.23,,
MS00119,PRJ0015,Go-Live & Deployment,2025-10-30,0,Not Started,EMP0145,18520.12,,Client approval pending
MS00120,PRJ0015,Project Closure,2025-11-25,0,Not Started,EMP0134,18520.12,,
MS00121,PRJ0016,Kickoff & Requirements,2021-10-13,100,Completed,EMP0127,110733.15,124374.61,Resource bottleneck
MS00122,PRJ0016,Design & Architecture,2021-10-31,100,Completed,EMP0075,332199.46,395883.11,
MS00123,PRJ0016,Development Phase 1,2021-11-23,100,Completed,EMP0120,442932.61,465160.88,
MS00124,PRJ0016,Development Phase 2,2021-12-16,100,Completed,EMP0054,442932.61,496007.34,Client approval pending
MS00125,PRJ0016,Testing & QA,2022-01-02,100,Completed,EMP0086,332199.46,312220.99,
MS00126,PRJ0016,UAT & Client Review,2022-01-14,100,Completed,EMP0052,221466.31,238299.26,Dependency on external vendor
MS00127,PRJ0016,Go-Live & Deployment,2022-01-20,39,Delayed,EMP0077,110733.15,,Resource bottleneck
MS00128,PRJ0016,Project Closure,2022-01-26,100,Completed,EMP0002,110733.15,93628.72,Dependency on external vendor
MS00129,PRJ0017,Kickoff & Requirements,2022-10-12,100,Completed,EMP0088,68961.08,66093.66,Resource bottleneck
MS00130,PRJ0017,Design & Architecture,2022-11-24,100,Completed,EMP0008,206883.25,234360.88,
MS00131,PRJ0017,Development Phase 1,2023-01-21,100,Completed,EMP0085,275844.33,312677.85,
MS00132,PRJ0017,Development Phase 2,2023-03-19,100,Completed,EMP0123,275844.33,321762.82,
MS00133,PRJ0017,Testing & QA,2023-05-01,100,Completed,EMP0035,206883.25,205351.94,
MS00134,PRJ0017,UAT & Client Review,2023-05-30,100,Completed,EMP0118,137922.16,159551.58,Resource bottleneck
MS00135,PRJ0017,Go-Live & Deployment,2023-06-13,100,Completed,EMP0086,68961.08,67925.84,Client approval pending
MS00136,PRJ0017,Project Closure,2023-06-28,100,Completed,EMP0015,68961.08,78204.78,Dependency on external vendor
MS00137,PRJ0018,Kickoff & Requirements,2024-08-08,100,Completed,EMP0081,106320.34,108666.92,
MS00138,PRJ0018,Design & Architecture,2024-09-10,100,Completed,EMP0085,318961.02,357177.05,Dependency on external vendor
MS00139,PRJ0018,Development Phase 1,2024-10-25,100,Completed,EMP0039,425281.35,387934.85,
MS00140,PRJ0018,Development Phase 2,2024-12-08,100,Completed,EMP0097,425281.35,446802.44,
MS00141,PRJ0018,Testing & QA,2025-01-11,100,Completed,EMP0100,318961.02,279075.44,
MS00142,PRJ0018,UAT & Client Review,2025-02-02,68,Delayed,EMP0079,212640.68,,
MS00143,PRJ0018,Go-Live & Deployment,2025-02-13,65,Delayed,EMP0009,106320.34,,Dependency on external vendor
MS00144,PRJ0018,Project Closure,2025-02-25,100,Completed,EMP0128,106320.34,122355.52,Dependency on external vendor
MS00145,PRJ0019,Kickoff & Requirements,2022-05-27,100,Completed,EMP0078,65632.2,58180.05,Dependency on external vendor
MS00146,PRJ0019,Design & Architecture,2022-07-08,100,Completed,EMP0096,196896.6,219338.4,
MS00147,PRJ0019,Development Phase 1,2022-09-02,48,In Progress,EMP0130,262528.8,,
MS00148,PRJ0019,Development Phase 2,2022-10-28,77,Delayed,EMP0129,262528.8,,
MS00149,PRJ0019,Testing & QA,2022-12-09,100,Completed,EMP0124,196896.6,215203.34,Resource bottleneck
MS00150,PRJ0019,UAT & Client Review,2023-01-06,100,Completed,EMP0084,131264.4,112535.33,
MS00151,PRJ0019,Go-Live & Deployment,2023-01-20,80,Delayed,EMP0133,65632.2,,
MS00152,PRJ0019,Project Closure,2023-02-04,33,In Progress,EMP0010,65632.2,,Client approval pending
MS00153,PRJ0020,Kickoff & Requirements,2021-12-22,100,Completed,EMP0100,10817.91,11742.52,Resource bottleneck
MS00154,PRJ0020,Design & Architecture,2022-02-26,100,Completed,EMP0030,32453.72,26016.33,
MS00155,PRJ0020,Development Phase 1,2022-05-25,100,Completed,EMP0023,43271.63,40386.1,
MS00156,PRJ0020,Development Phase 2,2022-08-20,100,Completed,EMP0027,43271.63,43627.8,
MS00157,PRJ0020,Testing & QA,2022-10-25,100,Completed,EMP0080,32453.72,26254.8,Dependency on external vendor
MS00158,PRJ0020,UAT & Client Review,2022-12-08,100,Completed,EMP0054,21635.81,20085.65,
MS00159,PRJ0020,Go-Live & Deployment,2022-12-30,100,Completed,EMP0074,10817.91,9851.43,Dependency on external vendor
MS00160,PRJ0020,Project Closure,2023-01-21,100,Completed,EMP0113,10817.91,11558.39,Dependency on external vendor
MS00161,PRJ0021,Kickoff & Requirements,2024-04-06,0,Cancelled,EMP0071,35899.39,,
MS00162,PRJ0021,Design & Architecture,2024-04-19,0,Cancelled,EMP0144,107698.17,,Resource bottleneck
MS00163,PRJ0021,Development Phase 1,2024-05-07,0,Cancelled,EMP0139,143597.56,,Dependency on external vendor
MS00164,PRJ0021,Development Phase 2,2024-05-25,0,Cancelled,EMP0070,143597.56,,
MS00165,PRJ0021,Testing & QA,2024-06-08,100,Completed,EMP0073,107698.17,110889.61,
MS00166,PRJ0021,UAT & Client Review,2024-06-17,0,Cancelled,EMP0087,71798.78,,Resource bottleneck
MS00167,PRJ0021,Go-Live & Deployment,2024-06-21,0,Cancelled,EMP0034,35899.39,,
MS00168,PRJ0021,Project Closure,2024-06-26,0,Cancelled,EMP0013,35899.39,,
MS00169,PRJ0022,Kickoff & Requirements,2023-02-09,100,Completed,EMP0023,124183.76,120531.05,
MS00170,PRJ0022,Design & Architecture,2023-03-02,100,Completed,EMP0115,372551.27,389884.64,Dependency on external vendor
MS00171,PRJ0022,Development Phase 1,2023-03-30,100,Completed,EMP0051,496735.02,539036.72,
MS00172,PRJ0022,Development Phase 2,2023-04-27,25,Delayed,EMP0120,496735.02,,Resource bottleneck
MS00173,PRJ0022,Testing & QA,2023-05-18,100,Completed,EMP0120,372551.27,312535.2,Dependency on external vendor
MS00174,PRJ0022,UAT & Client Review,2023-06-01,100,Completed,EMP0120,248367.51,245441.33,
MS00175,PRJ0022,Go-Live & Deployment,2023-06-08,100,Completed,EMP0067,124183.76,144692.04,Client approval pending
MS00176,PRJ0022,Project Closure,2023-06-16,100,Completed,EMP0085,124183.76,138528.41,Dependency on external vendor
MS00177,PRJ0023,Kickoff & Requirements,2021-05-23,0,Cancelled,EMP0008,39377.96,,
MS00178,PRJ0023,Design & Architecture,2021-06-30,0,Cancelled,EMP0090,118133.87,,Client approval pending
MS00179,PRJ0023,Development Phase 1,2021-08-19,0,Cancelled,EMP0044,157511.83,,Dependency on external vendor
MS00180,PRJ0023,Development Phase 2,2021-10-07,100,Completed,EMP0148,157511.83,134035.89,
MS00181,PRJ0023,Testing & QA,2021-11-14,0,Cancelled,EMP0028,118133.87,,Dependency on external vendor
MS00182,PRJ0023,UAT & Client Review,2021-12-09,0,Cancelled,EMP0019,78755.91,,Dependency on external vendor
MS00183,PRJ0023,Go-Live & Deployment,2021-12-21,0,Cancelled,EMP0103,39377.96,,Resource bottleneck
MS00184,PRJ0023,Project Closure,2022-01-03,0,Cancelled,EMP0063,39377.96,,Resource bottleneck
MS00185,PRJ0024,Kickoff & Requirements,2022-08-21,100,Completed,EMP0041,124114.75,147641.53,Client approval pending
MS00186,PRJ0024,Design & Architecture,2022-10-25,100,Completed,EMP0017,372344.24,348620.57,
MS00187,PRJ0024,Development Phase 1,2023-01-19,100,Completed,EMP0111,496458.99,552919.08,Client approval pending
MS00188,PRJ0024,Development Phase 2,2023-04-16,100,Completed,EMP0146,496458.99,553517.37,Resource bottleneck
MS00189,PRJ0024,Testing & QA,2023-06-20,100,Completed,EMP0061,372344.24,323654.34,
MS00190,PRJ0024,UAT & Client Review,2023-08-02,100,Completed,EMP0020,248229.49,271996.68,
MS00191,PRJ0024,Go-Live & Deployment,2023-08-24,100,Completed,EMP0147,124114.75,140832.91,
MS00192,PRJ0024,Project Closure,2023-09-15,100,Completed,EMP0119,124114.75,115445.49,
MS00193,PRJ0025,Kickoff & Requirements,2023-02-24,31,Delayed,EMP0079,9196.48,,Client approval pending
MS00194,PRJ0025,Design & Architecture,2023-04-12,100,Completed,EMP0028,27589.44,29636.68,Resource bottleneck
MS00195,PRJ0025,Development Phase 1,2023-06-13,44,Delayed,EMP0084,36785.93,,Client approval pending
MS00196,PRJ0025,Development Phase 2,2023-08-13,100,Completed,EMP0016,36785.93,30760.88,
MS00197,PRJ0025,Testing & QA,2023-09-29,77,Delayed,EMP0001,27589.44,,
MS00198,PRJ0025,UAT & Client Review,2023-10-30,100,Completed,EMP0116,18392.96,18622.92,Client approval pending
MS00199,PRJ0025,Go-Live & Deployment,2023-11-14,100,Completed,EMP0115,9196.48,8076.96,
MS00200,PRJ0025,Project Closure,2023-11-30,39,Delayed,EMP0146,9196.48,,
MS00201,PRJ0026,Kickoff & Requirements,2021-10-19,100,Completed,EMP0078,55203.94,64445.11,Client approval pending
MS00202,PRJ0026,Design & Architecture,2021-11-15,100,Completed,EMP0089,165611.81,198090.89,Resource bottleneck
MS00203,PRJ0026,Development Phase 1,2021-12-21,100,Completed,EMP0003,220815.75,230663.31,Resource bottleneck
MS00204,PRJ0026,Development Phase 2,2022-01-26,100,Completed,EMP0104,220815.75,251521.21,Dependency on external vendor
MS00205,PRJ0026,Testing & QA,2022-02-22,100,Completed,EMP0016,165611.81,156948.52,Resource bottleneck
MS00206,PRJ0026,UAT & Client Review,2022-03-12,100,Completed,EMP0014,110407.87,88363.54,Resource bottleneck
MS00207,PRJ0026,Go-Live & Deployment,2022-03-21,100,Completed,EMP0092,55203.94,46585.46,Dependency on external vendor
MS00208,PRJ0026,Project Closure,2022-03-31,100,Completed,EMP0008,55203.94,49357.64,
MS00209,PRJ0027,Kickoff & Requirements,2022-01-12,100,Completed,EMP0101,112454.51,118086.88,
MS00210,PRJ0027,Design & Architecture,2022-03-12,100,Completed,EMP0098,337363.53,324683.07,Client approval pending
MS00211,PRJ0027,Development Phase 1,2022-05-29,100,Completed,EMP0140,449818.04,397857.95,
MS00212,PRJ0027,Development Phase 2,2022-08-16,100,Completed,EMP0122,449818.04,384876.71,Resource bottleneck
MS00213,PRJ0027,Testing & QA,2022-10-14,100,Completed,EMP0099,337363.53,383694.02,Dependency on external vendor
MS00214,PRJ0027,UAT & Client Review,2022-11-22,100,Completed,EMP0107,224909.02,193805.66,
MS00215,PRJ0027,Go-Live & Deployment,2022-12-12,100,Completed,EMP0033,112454.51,96003.65,
MS00216,PRJ0027,Project Closure,2023-01-01,100,Completed,EMP0005,112454.51,96440.8,Client approval pending
MS00217,PRJ0028,Kickoff & Requirements,2022-01-26,100,Completed,EMP0035,6105.67,5091.31,
MS00218,PRJ0028,Design & Architecture,2022-02-11,75,Delayed,EMP0117,18317.01,,
MS00219,PRJ0028,Development Phase 1,2022-03-05,100,Completed,EMP0109,24422.68,25626.7,Client approval pending
MS00220,PRJ0028,Development Phase 2,2022-03-28,100,Completed,EMP0142,24422.68,27549.48,Client approval pending
MS00221,PRJ0028,Testing & QA,2022-04-13,100,Completed,EMP0048,18317.01,17765.83,
MS00222,PRJ0028,UAT & Client Review,2022-04-24,100,Completed,EMP0061,12211.34,13247.5,Dependency on external vendor
MS00223,PRJ0028,Go-Live & Deployment,2022-04-30,100,Completed,EMP0140,6105.67,6292.14,
MS00224,PRJ0028,Project Closure,2022-05-06,56,In Progress,EMP0124,6105.67,,
MS00225,PRJ0029,Kickoff & Requirements,2021-08-05,100,Completed,EMP0149,72508.54,71972.93,
MS00226,PRJ0029,Design & Architecture,2021-10-09,100,Completed,EMP0135,217525.62,259601.96,Dependency on external vendor
MS00227,PRJ0029,Development Phase 1,2022-01-04,100,Completed,EMP0021,290034.17,292743.87,Resource bottleneck
MS00228,PRJ0029,Development Phase 2,2022-04-01,100,Completed,EMP0121,290034.17,305192.84,
MS00229,PRJ0029,Testing & QA,2022-06-05,24,In Progress,EMP0139,217525.62,,Resource bottleneck
MS00230,PRJ0029,UAT & Client Review,2022-07-18,100,Completed,EMP0014,145017.08,168427.79,Resource bottleneck
MS00231,PRJ0029,Go-Live & Deployment,2022-08-09,50,Delayed,EMP0117,72508.54,,Resource bottleneck
MS00232,PRJ0029,Project Closure,2022-08-31,56,In Progress,EMP0085,72508.54,,Client approval pending
MS00233,PRJ0030,Kickoff & Requirements,2024-11-16,100,Completed,EMP0091,108332.73,128291.14,Dependency on external vendor
MS00234,PRJ0030,Design & Architecture,2025-01-24,100,Completed,EMP0075,324998.19,281774.49,
MS00235,PRJ0030,Development Phase 1,2025-04-25,100,Completed,EMP0078,433330.92,472672.46,Resource bottleneck
MS00236,PRJ0030,Development Phase 2,2025-07-25,100,Completed,EMP0067,433330.92,357310.42,Client approval pending
MS00237,PRJ0030,Testing & QA,2025-10-01,100,Completed,EMP0149,324998.19,281978.73,
MS00238,PRJ0030,UAT & Client Review,2025-11-16,100,Completed,EMP0075,216665.46,243436.28,Resource bottleneck
MS00239,PRJ0030,Go-Live & Deployment,2025-12-09,100,Completed,EMP0007,108332.73,99094.79,
MS00240,PRJ0030,Project Closure,2026-01-01,100,Completed,EMP0033,108332.73,108575.23,Dependency on external vendor
MS00241,PRJ0031,Kickoff & Requirements,2022-11-11,100,Completed,EMP0065,76417.76,65185.53,Dependency on external vendor
MS00242,PRJ0031,Design & Architecture,2023-01-01,100,Completed,EMP0071,229253.28,262069.36,
MS00243,PRJ0031,Development Phase 1,2023-03-10,100,Completed,EMP0029,305671.04,318365.14,Resource bottleneck
MS00244,PRJ0031,Development Phase 2,2023-05-18,100,Completed,EMP0039,305671.04,325130.75,Dependency on external vendor
MS00245,PRJ0031,Testing & QA,2023-07-08,100,Completed,EMP0045,229253.28,207359.83,
MS00246,PRJ0031,UAT & Client Review,2023-08-11,100,Completed,EMP0061,152835.52,151913.53,Resource bottleneck
MS00247,PRJ0031,Go-Live & Deployment,2023-08-28,100,Completed,EMP0009,76417.76,71614.08,
MS00248,PRJ0031,Project Closure,2023-09-15,100,Completed,EMP0038,76417.76,79338.27,
MS00249,PRJ0032,Kickoff & Requirements,2024-05-02,68,Delayed,EMP0106,136388.06,,Client approval pending
MS00250,PRJ0032,Design & Architecture,2024-06-23,100,Completed,EMP0113,409164.17,446152.46,
MS00251,PRJ0032,Development Phase 1,2024-08-30,100,Completed,EMP0089,545552.22,448296.8,Dependency on external vendor
MS00252,PRJ0032,Development Phase 2,2024-11-07,27,Delayed,EMP0014,545552.22,,
MS00253,PRJ0032,Testing & QA,2024-12-29,100,Completed,EMP0122,409164.17,376654.79,
MS00254,PRJ0032,UAT & Client Review,2025-02-01,79,In Progress,EMP0137,272776.11,,
MS00255,PRJ0032,Go-Live & Deployment,2025-02-18,100,Completed,EMP0100,136388.06,135001.78,
