  erp_order_lines  ·  2522 lignes  ·  9 colonnes,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
OL000026,SO00010,PRD0433,10,28517.51,5,270916.34,TND,Shipped
OL000027,SO00011,PRD0183,7,1325.75,15,7888.21,TND,Delivered
OL000028,SO00011,PRD0244,3,34941.5,10,94342.05,TND,Delivered
OL000029,SO00011,PRD0342,5,10482.86,0,52414.3,TND,Delivered
OL000030,SO00011,PRD0309,3,40155.93,0,120467.79,TND,Pending
OL000031,SO00012,PRD0256,1,17252.33,15,14664.48,TND,Delivered
OL000032,SO00013,PRD0079,10,10735.71,0,107357.1,TND,Delivered
OL000033,SO00013,PRD0156,9,264,10,2138.4,TND,Shipped
OL000034,SO00013,PRD0319,4,43704.14,0,174816.56,TND,Delivered
OL000035,SO00014,PRD0278,9,4393.67,5,37565.88,TND,Cancelled
OL000036,SO00014,PRD0176,1,42490.18,15,36116.65,TND,Shipped
OL000037,SO00014,PRD0415,2,37405.21,0,74810.42,TND,Delivered
OL000038,SO00015,PRD0227,3,5508.55,5,15699.37,TND,Shipped
OL000039,SO00015,PRD0236,5,13975.09,10,62887.9,TND,Delivered
OL000040,SO00015,PRD0019,7,18137.39,0,126961.73,TND,Pending
OL000041,SO00015,PRD0017,8,29959.35,10,215707.32,TND,Pending
OL000042,SO00016,PRD0338,10,19477.55,0,194775.5,TND,Pending
OL000043,SO00016,PRD0284,3,47957.09,5,136677.71,TND,Delivered
OL000044,SO00016,PRD0351,8,30856.18,5,234506.97,TND,Delivered
OL000045,SO00016,PRD0277,6,23948.72,10,129323.09,TND,Delivered
OL000046,SO00017,PRD0015,10,10822.97,0,108229.7,TND,Shipped
OL000047,SO00018,PRD0415,1,37405.21,10,33664.69,TND,Pending
OL000048,SO00018,PRD0380,7,37396.3,0,261774.1,TND,Delivered
OL000049,SO00018,PRD0299,6,26617.86,0,159707.16,TND,Delivered
OL000050,SO00019,PRD0127,5,34345.59,5,163141.55,TND,Shipped
OL000051,SO00019,PRD0121,2,22420.63,10,40357.13,TND,Delivered
OL000052,SO00020,PRD0011,6,6654.23,0,39925.38,TND,Pending
OL000053,SO00020,PRD0276,7,18116.79,5,120476.65,TND,Shipped
OL000054,SO00021,PRD0011,10,6654.23,0,66542.3,TND,Delivered
OL000055,SO00021,PRD0357,10,20052.03,0,200520.3,TND,Pending
OL000056,SO00021,PRD0241,8,20973.33,0,167786.64,TND,Pending
OL000057,SO00022,PRD0255,6,16563.05,0,99378.3,TND,Delivered
OL000058,SO00022,PRD0258,7,5244.75,0,36713.25,TND,Pending
OL000059,SO00022,PRD0416,2,16589.38,10,29860.88,TND,Delivered
OL000060,SO00023,PRD0136,10,43611.8,0,436118,TND,Delivered
OL000061,SO00023,PRD0025,2,9775.17,5,18572.82,TND,Pending
OL000062,SO00023,PRD0153,10,40353.59,0,403535.9,TND,Delivered
OL000063,SO00024,PRD0219,2,23062.58,5,43818.9,TND,Delivered
OL000064,SO00024,PRD0108,5,12360.5,0,61802.5,TND,Delivered
OL000065,SO00024,PRD0178,4,38570.69,0,154282.76,TND,Delivered
OL000066,SO00024,PRD0408,9,12147.91,0,109331.19,TND,Shipped
OL000067,SO00025,PRD0452,9,47091.11,10,381437.99,TND,Pending
OL000068,SO00025,PRD0010,4,17476.3,5,66409.94,TND,Shipped
OL000069,SO00026,PRD0138,10,8386.63,10,75479.67,TND,Shipped
OL000070,SO00026,PRD0480,10,32936.9,5,312900.55,TND,Delivered
OL000071,SO00026,PRD0327,4,2872.48,0,11489.92,TND,Delivered
OL000072,SO00026,PRD0273,3,23188.31,5,66086.68,TND,Shipped
OL000073,SO00027,PRD0211,2,29152.53,5,55389.81,TND,Shipped
OL000074,SO00027,PRD0164,5,37973.65,10,170881.43,TND,Pending
OL000075,SO00027,PRD0441,5,27243.78,5,129407.95,TND,Delivered
OL000076,SO00027,PRD0426,4,7714.65,0,30858.6,TND,Delivered
OL000077,SO00028,PRD0409,5,11349.73,0,56748.65,TND,Pending
OL000078,SO00028,PRD0424,7,15111.32,0,105779.24,TND,Shipped
OL000079,SO00029,PRD0082,3,29513.21,0,88539.63,TND,Shipped
OL000080,SO00029,PRD0140,5,9553.58,5,45379.5,TND,Delivered
OL000081,SO00030,PRD0494,8,28742.47,10,206945.78,TND,Delivered
OL000082,SO00031,PRD0161,10,8759.12,0,87591.2,TND,Delivered
OL000083,SO00032,PRD0460,2,15182.05,0,30364.1,TND,Shipped
OL000084,SO00032,PRD0187,3,21222.85,0,63668.55,TND,Pending
OL000085,SO00032,PRD0344,9,40505.16,15,309864.47,TND,Delivered
OL000086,SO00032,PRD0337,10,37752.06,15,320892.51,TND,Shipped
OL000087,SO00033,PRD0255,4,16563.05,5,62939.59,TND,Shipped
OL000088,SO00033,PRD0453,6,9767.64,0,58605.84,TND,Pending
OL000089,SO00033,PRD0047,7,21084.15,10,132830.15,TND,Pending
OL000090,SO00034,PRD0112,4,33115.87,15,112593.96,TND,Delivered
OL000091,SO00034,PRD0074,5,2533.36,10,11400.12,TND,Delivered
OL000092,SO00034,PRD0055,9,17370.64,0,156335.76,TND,Shipped
OL000093,SO00034,PRD0090,6,13806.78,5,78698.65,TND,Delivered
OL000094,SO00035,PRD0494,3,28742.47,0,86227.41,TND,Pending
OL000095,SO00035,PRD0143,5,22829.68,0,114148.4,TND,Cancelled
OL000096,SO00036,PRD0431,1,39382.81,5,37413.67,TND,Shipped
OL000097,SO00037,PRD0130,7,49203.26,0,344422.82,TND,Cancelled
OL000098,SO00037,PRD0283,6,43449.54,15,221592.65,TND,Pending
OL000099,SO00038,PRD0440,7,10470.5,0,73293.5,TND,Cancelled
OL000100,SO00038,PRD0227,5,5508.55,0,27542.75,TND,Shipped
OL000101,SO00039,PRD0153,3,40353.59,15,102901.65,TND,Pending
OL000102,SO00039,PRD0108,7,12360.5,10,77871.15,TND,Delivered
OL000103,SO00040,PRD0422,8,29778.2,0,238225.6,TND,Delivered
OL000104,SO00041,PRD0368,2,45923.62,10,82662.52,TND,Pending
OL000105,SO00041,PRD0217,9,1452.45,0,13072.05,TND,Delivered
OL000106,SO00041,PRD0449,9,22224.37,5,190018.36,TND,Delivered
OL000107,SO00042,PRD0391,1,34391.82,5,32672.23,TND,Delivered
OL000108,SO00043,PRD0406,7,3172.82,0,22209.74,TND,Delivered
OL000109,SO00043,PRD0329,10,20323.02,0,203230.2,TND,Delivered
OL000110,SO00043,PRD0070,9,5738.39,5,49063.23,TND,Shipped
OL000111,SO00043,PRD0002,3,20215.41,10,54581.61,TND,Pending
OL000112,SO00044,PRD0232,3,42700.57,0,128101.71,TND,Pending
OL000113,SO00044,PRD0245,6,44106.12,10,238173.05,TND,Delivered
OL000114,SO00044,PRD0448,7,21969.64,0,153787.48,TND,Delivered
OL000115,SO00045,PRD0484,4,43730.59,0,174922.36,TND,Delivered
OL000116,SO00045,PRD0428,9,21976.65,5,187900.36,TND,Pending
OL000117,SO00045,PRD0453,2,9767.64,15,16604.99,TND,Delivered
OL000118,SO00045,PRD0293,3,39078.48,0,117235.44,TND,Pending
OL000119,SO00046,PRD0077,6,17587.16,0,105522.96,TND,Pending
OL000120,SO00046,PRD0046,1,12124.25,5,11518.04,TND,Delivered
OL000121,SO00046,PRD0491,8,6854.7,10,49353.84,TND,Delivered
OL000122,SO00047,PRD0366,4,35802.83,15,121729.62,TND,Shipped
OL000123,SO00047,PRD0105,5,12109.72,0,60548.6,TND,Delivered
OL000124,SO00048,PRD0221,4,4214.86,5,16016.47,TND,Cancelled
OL000125,SO00048,PRD0439,5,24852.41,5,118048.95,TND,Delivered
OL000126,SO00049,PRD0210,3,10103.18,0,30309.54,TND,Cancelled
OL000127,SO00049,PRD0406,4,3172.82,5,12056.72,TND,Shipped
OL000128,SO00050,PRD0299,8,26617.86,0,212942.88,TND,Delivered
OL000129,SO00050,PRD0351,6,30856.18,15,157366.52,TND,Delivered
OL000130,SO00050,PRD0332,4,37603.12,5,142891.86,TND,Pending
OL000131,SO00051,PRD0038,1,6557.79,0,6557.79,TND,Shipped
OL000132,SO00051,PRD0049,8,34235.37,15,232800.52,TND,Cancelled
OL000133,SO00051,PRD0286,10,40666.37,5,386330.52,TND,Shipped
OL000134,SO00052,PRD0130,9,49203.26,5,420687.87,TND,Delivered
OL000135,SO00053,PRD0344,9,40505.16,0,364546.44,TND,Delivered
OL000136,SO00053,PRD0190,3,16280.14,5,46398.4,TND,Shipped
OL000137,SO00053,PRD0068,8,3978.43,0,31827.44,TND,Delivered
OL000138,SO00053,PRD0496,9,36873.72,0,331863.48,TND,Delivered
OL000139,SO00054,PRD0023,5,38847.97,5,184527.86,TND,Shipped
OL000140,SO00054,PRD0066,5,7734.44,15,32871.37,TND,Delivered
OL000141,SO00054,PRD0256,5,17252.33,5,81948.57,TND,Delivered
OL000142,SO00055,PRD0162,8,40862.71,10,294211.51,TND,Delivered
OL000143,SO00055,PRD0378,8,15816.89,0,126535.12,TND,Delivered
OL000144,SO00056,PRD0094,8,46008.33,0,368066.64,TND,Pending
OL000145,SO00056,PRD0019,7,18137.39,0,126961.73,TND,Shipped
OL000146,SO00057,PRD0021,9,2150.06,0,19350.54,TND,Delivered
OL000147,SO00057,PRD0227,3,5508.55,0,16525.65,TND,Delivered
OL000148,SO00057,PRD0183,5,1325.75,0,6628.75,TND,Delivered
OL000149,SO00057,PRD0364,9,25729.2,10,208406.52,TND,Pending
OL000150,SO00058,PRD0299,1,26617.86,5,25286.97,TND,Pending
OL000151,SO00058,PRD0498,7,36725.17,15,218514.76,TND,Delivered
OL000152,SO00059,PRD0347,1,31315.55,0,31315.55,TND,Cancelled
OL000153,SO00059,PRD0049,2,34235.37,0,68470.74,TND,Pending
OL000154,SO00059,PRD0455,2,19392.94,10,34907.29,TND,Delivered
OL000155,SO00059,PRD0169,2,48214.82,0,96429.64,TND,Pending
OL000156,SO00060,PRD0233,10,29214.54,5,277538.13,TND,Delivered
OL000157,SO00060,PRD0322,1,22844.42,5,21702.2,TND,Cancelled
OL000158,SO00060,PRD0490,6,16962.28,15,86507.63,TND,Cancelled
OL000159,SO00060,PRD0138,10,8386.63,0,83866.3,TND,Shipped
OL000160,SO00061,PRD0166,2,17663.59,5,33560.82,TND,Pending
OL000161,SO00061,PRD0409,2,11349.73,0,22699.46,TND,Delivered
OL000162,SO00061,PRD0029,7,34043.27,0,238302.89,TND,Shipped
OL000163,SO00062,PRD0199,7,18927.33,0,132491.31,TND,Shipped
OL000164,SO00062,PRD0400,3,20072.67,0,60218.01,TND,Delivered
OL000165,SO00063,PRD0377,10,30128.78,0,301287.8,TND,Pending
OL000166,SO00063,PRD0413,6,37753.29,5,215193.75,TND,Delivered
OL000167,SO00063,PRD0472,7,46761.95,0,327333.65,TND,Pending
OL000168,SO00063,PRD0159,7,8163.31,0,57143.17,TND,Delivered
OL000169,SO00064,PRD0315,7,25049.46,0,175346.22,TND,Delivered
OL000170,SO00064,PRD0096,8,47822.83,5,363453.51,TND,Pending
OL000171,SO00064,PRD0223,3,26701.98,15,68090.05,TND,Delivered
OL000172,SO00065,PRD0149,8,21522.6,0,172180.8,TND,Shipped
OL000173,SO00066,PRD0154,5,11094.62,10,49925.79,TND,Delivered
OL000174,SO00066,PRD0077,5,17587.16,5,83539.01,TND,Pending
OL000175,SO00066,PRD0066,1,7734.44,5,7347.72,TND,Delivered
OL000176,SO00066,PRD0351,7,30856.18,0,215993.26,TND,Pending
OL000177,SO00067,PRD0182,2,47764.49,10,85976.08,TND,Delivered
OL000178,SO00067,PRD0131,8,13126.83,0,105014.64,TND,Delivered
OL000179,SO00067,PRD0300,7,36915.81,0,258410.67,TND,Delivered
OL000180,SO00068,PRD0161,8,8759.12,10,63065.66,TND,Delivered
OL000181,SO00068,PRD0301,5,16679.17,0,83395.85,TND,Shipped
OL000182,SO00068,PRD0371,3,19527.23,0,58581.69,TND,Delivered
OL000183,SO00069,PRD0447,7,40058.13,5,266386.56,TND,Delivered
OL000184,SO00069,PRD0345,2,44810.95,0,89621.9,TND,Pending
OL000185,SO00069,PRD0055,8,17370.64,5,132016.86,TND,Shipped
OL000186,SO00070,PRD0156,10,264,0,2640,TND,Pending
OL000187,SO00070,PRD0317,7,8157.19,10,51390.3,TND,Delivered
OL000188,SO00070,PRD0417,3,22096.97,0,66290.91,TND,Delivered
OL000189,SO00070,PRD0499,1,9907.35,5,9411.98,TND,Delivered
OL000190,SO00071,PRD0108,8,12360.5,5,93939.8,TND,Pending
OL000191,SO00072,PRD0432,9,13116.38,0,118047.42,TND,Delivered
OL000192,SO00072,PRD0321,8,42979.29,0,343834.32,TND,Delivered
OL000193,SO00072,PRD0440,2,10470.5,0,20941,TND,Delivered
OL000194,SO00072,PRD0405,8,17111.48,15,116358.06,TND,Delivered
OL000195,SO00073,PRD0300,10,36915.81,10,332242.29,TND,Delivered
OL000196,SO00073,PRD0125,6,12933.26,0,77599.56,TND,Pending
OL000197,SO00073,PRD0104,7,8433.09,15,50176.89,TND,Shipped
OL000198,SO00073,PRD0151,10,6484.62,5,61603.89,TND,Pending
OL000199,SO00074,PRD0019,8,18137.39,5,137844.16,TND,Pending
OL000200,SO00074,PRD0250,8,10438.86,0,83510.88,TND,Delivered
OL000201,SO00074,PRD0205,1,49966.22,0,49966.22,TND,Delivered
OL000202,SO00075,PRD0138,7,8386.63,10,52835.77,TND,Delivered
OL000203,SO00076,PRD0230,1,2042.17,0,2042.17,TND,Pending
OL000204,SO00076,PRD0358,8,45851.84,0,366814.72,TND,Delivered
OL000205,SO00076,PRD0224,4,2369,5,9002.2,TND,Pending
OL000206,SO00077,PRD0068,7,3978.43,15,23671.66,TND,Shipped
OL000207,SO00077,PRD0453,6,9767.64,10,52745.26,TND,Shipped
OL000208,SO00077,PRD0151,3,6484.62,5,18481.17,TND,Delivered
OL000209,SO00077,PRD0371,2,19527.23,5,37101.74,TND,Delivered
OL000210,SO00078,PRD0081,8,7221.69,0,57773.52,TND,Delivered
OL000211,SO00078,PRD0311,8,20622.57,0,164980.56,TND,Delivered
OL000212,SO00079,PRD0010,6,17476.3,10,94372.02,TND,Delivered
OL000213,SO00080,PRD0090,9,13806.78,0,124261.02,TND,Delivered
OL000214,SO00080,PRD0424,7,15111.32,0,105779.24,TND,Delivered
OL000215,SO00081,PRD0250,6,10438.86,10,56369.84,TND,Shipped
OL000216,SO00081,PRD0133,9,32946.53,0,296518.77,TND,Delivered
OL000217,SO00082,PRD0362,1,1717.59,15,1459.95,TND,Delivered
OL000218,SO00083,PRD0493,2,6748.51,10,12147.32,TND,Pending
OL000219,SO00083,PRD0431,2,39382.81,10,70889.06,TND,Delivered
OL000220,SO00083,PRD0387,2,39460.21,0,78920.42,TND,Delivered
OL000221,SO00083,PRD0057,4,37919.74,15,128927.12,TND,Delivered
OL000222,SO00084,PRD0363,9,7754.88,0,69793.92,TND,Shipped
OL000223,SO00084,PRD0227,3,5508.55,5,15699.37,TND,Delivered
OL000224,SO00084,PRD0391,3,34391.82,0,103175.46,TND,Delivered
OL000225,SO00085,PRD0394,8,40373.29,0,322986.32,TND,Delivered
OL000226,SO00085,PRD0004,2,29028.2,0,58056.4,TND,Pending
OL000227,SO00085,PRD0126,7,27824.26,0,194769.82,TND,Pending
OL000228,SO00085,PRD0428,3,21976.65,10,59336.96,TND,Delivered
OL000229,SO00086,PRD0071,7,2335.01,0,16345.07,TND,Delivered
OL000230,SO00086,PRD0411,8,7471.95,15,50809.26,TND,Delivered
OL000231,SO00087,PRD0484,3,43730.59,10,118072.59,TND,Pending
OL000232,SO00087,PRD0016,9,35400.51,15,270813.9,TND,Delivered
OL000233,SO00087,PRD0227,6,5508.55,0,33051.3,TND,Shipped
OL000234,SO00088,PRD0032,3,3820.09,15,9741.23,TND,Delivered
OL000235,SO00088,PRD0202,9,9716.11,15,74328.24,TND,Delivered
OL000236,SO00088,PRD0389,9,35537.26,10,287851.81,TND,Pending
OL000237,SO00088,PRD0019,6,18137.39,15,92500.69,TND,Delivered
OL000238,SO00089,PRD0461,3,13778.08,5,39267.53,TND,Delivered
OL000239,SO00089,PRD0271,4,37977.41,10,136718.68,TND,Pending
OL000240,SO00089,PRD0313,10,35505.71,5,337304.24,TND,Pending
OL000241,SO00090,PRD0398,2,14553.28,0,29106.56,TND,Delivered
OL000242,SO00090,PRD0102,3,42899.68,5,122264.09,TND,Delivered
OL000243,SO00090,PRD0452,4,47091.11,0,188364.44,TND,Pending
OL000244,SO00090,PRD0155,9,10356.75,0,93210.75,TND,Pending
OL000245,SO00091,PRD0015,9,10822.97,5,92536.39,TND,Delivered
OL000246,SO00092,PRD0372,2,29763.49,5,56550.63,TND,Shipped
OL000247,SO00092,PRD0217,5,1452.45,5,6899.14,TND,Delivered
OL000248,SO00092,PRD0259,1,19579.16,10,17621.24,TND,Shipped
OL000249,SO00093,PRD0153,8,40353.59,0,322828.72,TND,Delivered
OL000250,SO00093,PRD0294,10,10813.85,5,102731.57,TND,Shipped
OL000251,SO00093,PRD0378,9,15816.89,10,128116.81,TND,Delivered
OL000252,SO00093,PRD0003,5,22779.57,0,113897.85,TND,Shipped
OL000253,SO00094,PRD0366,9,35802.83,5,306114.2,TND,Delivered
OL000254,SO00094,PRD0194,9,8938.26,5,76422.12,TND,Shipped
OL000255,SO00095,PRD0233,7,29214.54,10,184051.6,TND,Delivered
OL000256,SO00095,PRD0051,1,7205.31,0,7205.31,TND,Delivered
OL000257,SO00095,PRD0076,4,36174.73,0,144698.92,TND,Delivered
OL000258,SO00096,PRD0302,7,5589.86,10,35216.12,TND,Pending
OL000259,SO00096,PRD0287,7,21521.37,15,128052.15,TND,Pending
OL000260,SO00096,PRD0266,8,41893.37,5,318389.61,TND,Delivered
OL000261,SO00096,PRD0399,3,20341.51,0,61024.53,TND,Delivered
OL000262,SO00097,PRD0067,9,3913.46,0,35221.14,TND,Delivered
OL000263,SO00097,PRD0496,8,36873.72,0,294989.76,TND,Delivered
OL000264,SO00097,PRD0361,9,10265.03,0,92385.27,TND,Cancelled
OL000265,SO00097,PRD0263,10,10356.13,10,93205.17,TND,Delivered
OL000266,SO00098,PRD0293,9,39078.48,0,351706.32,TND,Delivered
OL000267,SO00098,PRD0149,6,21522.6,0,129135.6,TND,Delivered
OL000268,SO00098,PRD0021,3,2150.06,0,6450.18,TND,Pending
OL000269,SO00099,PRD0480,5,32936.9,10,148216.05,TND,Delivered
OL000270,SO00100,PRD0002,2,20215.41,10,36387.74,TND,Delivered
OL000271,SO00100,PRD0063,10,24885.76,0,248857.6,TND,Delivered
OL000272,SO00100,PRD0281,6,49696.91,10,268363.31,TND,Delivered
OL000273,SO00100,PRD0179,10,40026.59,0,400265.9,TND,Delivered
OL000274,SO00101,PRD0390,3,45768,10,123573.6,TND,Delivered
OL000275,SO00101,PRD0231,10,16627.52,5,157961.44,TND,Delivered
OL000276,SO00101,PRD0342,4,10482.86,15,35641.72,TND,Delivered
OL000277,SO00101,PRD0230,1,2042.17,15,1735.84,TND,Shipped
OL000278,SO00102,PRD0331,3,23645.71,5,67390.27,TND,Pending
OL000279,SO00102,PRD0046,5,12124.25,5,57590.19,TND,Delivered
OL000280,SO00102,PRD0444,9,43207.14,0,388864.26,TND,Cancelled
OL000281,SO00103,PRD0491,10,6854.7,5,65119.65,TND,Shipped
OL000282,SO00104,PRD0062,9,11199.53,0,100795.77,TND,Delivered
OL000283,SO00105,PRD0126,10,27824.26,0,278242.6,TND,Shipped
OL000284,SO00105,PRD0425,10,26198.47,0,261984.7,TND,Pending
OL000285,SO00106,PRD0442,7,5793.33,0,40553.31,TND,Delivered
OL000286,SO00106,PRD0479,9,42244.85,0,380203.65,TND,Delivered
OL000287,SO00106,PRD0012,2,23445.95,15,39858.11,TND,Delivered
OL000288,SO00106,PRD0175,5,34849,0,174245,TND,Delivered
OL000289,SO00107,PRD0079,5,10735.71,15,45626.77,TND,Pending
OL000290,SO00108,PRD0315,6,25049.46,0,150296.76,TND,Pending
OL000291,SO00109,PRD0200,3,2154.08,0,6462.24,TND,Delivered
OL000292,SO00109,PRD0051,7,7205.31,15,42871.59,TND,Shipped
OL000293,SO00109,PRD0164,1,37973.65,0,37973.65,TND,Shipped
OL000294,SO00110,PRD0253,9,26870.35,0,241833.15,TND,Delivered
OL000295,SO00110,PRD0261,1,17644.85,0,17644.85,TND,Pending
OL000296,SO00111,PRD0248,1,44533.54,0,44533.54,TND,Delivered
OL000297,SO00112,PRD0138,9,8386.63,15,64157.72,TND,Pending
OL000298,SO00113,PRD0391,3,34391.82,0,103175.46,TND,Delivered
OL000299,SO00113,PRD0285,2,4299.55,10,7739.19,TND,Delivered
OL000300,SO00114,PRD0192,3,2600.2,10,7020.54,TND,Delivered
OL000301,SO00114,PRD0277,7,23948.72,15,142494.88,TND,Pending
OL000302,SO00115,PRD0001,8,38050.27,15,258741.84,TND,Pending
OL000303,SO00116,PRD0001,8,38050.27,0,304402.16,TND,Delivered
OL000304,SO00116,PRD0031,7,26768.69,15,159273.71,TND,Shipped
OL000305,SO00117,PRD0300,9,36915.81,0,332242.29,TND,Delivered
OL000306,SO00117,PRD0431,9,39382.81,5,336723.03,TND,Delivered
OL000307,SO00118,PRD0358,9,45851.84,15,350766.58,TND,Shipped
OL000308,SO00118,PRD0063,4,24885.76,5,94565.89,TND,Cancelled
OL000309,SO00118,PRD0426,6,7714.65,10,41659.11,TND,Shipped
OL000310,SO00118,PRD0072,5,26224.07,15,111452.3,TND,Pending
OL000311,SO00119,PRD0126,6,27824.26,0,166945.56,TND,Cancelled
OL000312,SO00119,PRD0340,6,17174.34,0,103046.04,TND,Pending
OL000313,SO00119,PRD0165,1,11048.26,5,10495.85,TND,Delivered
OL000314,SO00120,PRD0345,3,44810.95,0,134432.85,TND,Shipped
OL000315,SO00121,PRD0391,2,34391.82,5,65344.46,TND,Shipped
OL000316,SO00121,PRD0202,8,9716.11,5,73842.44,TND,Delivered
OL000317,SO00121,PRD0276,7,18116.79,10,114135.78,TND,Delivered
OL000318,SO00121,PRD0042,3,2391.42,10,6456.83,TND,Shipped
OL000319,SO00122,PRD0064,8,6616.47,0,52931.76,TND,Delivered
OL000320,SO00123,PRD0114,1,29304.05,10,26373.65,TND,Pending
OL000321,SO00124,PRD0099,10,22549.28,5,214218.16,TND,Shipped
OL000322,SO00124,PRD0047,4,21084.15,0,84336.6,TND,Delivered
OL000323,SO00124,PRD0418,6,34830.02,0,208980.12,TND,Delivered
OL000324,SO00125,PRD0004,7,29028.2,0,203197.4,TND,Delivered
OL000325,SO00125,PRD0101,9,6300.91,0,56708.19,TND,Pending
OL000326,SO00126,PRD0034,3,6001.95,5,17105.56,TND,Delivered
OL000327,SO00126,PRD0302,10,5589.86,10,50308.74,TND,Shipped
OL000328,SO00127,PRD0099,1,22549.28,15,19166.89,TND,Pending
OL000329,SO00127,PRD0435,9,48331,5,413230.05,TND,Pending
OL000330,SO00127,PRD0348,8,34369.81,0,274958.48,TND,Delivered
OL000331,SO00128,PRD0438,6,12937.55,0,77625.3,TND,Cancelled
OL000332,SO00129,PRD0063,8,24885.76,0,199086.08,TND,Delivered
OL000333,SO00129,PRD0349,1,35315.73,10,31784.16,TND,Delivered
OL000334,SO00129,PRD0266,5,41893.37,15,178046.82,TND,Delivered
OL000335,SO00130,PRD0003,6,22779.57,0,136677.42,TND,Pending
OL000336,SO00130,PRD0201,1,2754.35,15,2341.2,TND,Delivered
OL000337,SO00130,PRD0100,7,40885.53,15,243268.9,TND,Shipped
OL000338,SO00131,PRD0085,5,34597.51,0,172987.55,TND,Pending
OL000339,SO00131,PRD0169,1,48214.82,0,48214.82,TND,Shipped
OL000340,SO00132,PRD0431,2,39382.81,0,78765.62,TND,Cancelled
OL000341,SO00132,PRD0129,1,6968.22,10,6271.4,TND,Delivered
OL000342,SO00132,PRD0127,4,34345.59,15,116775.01,TND,Shipped
OL000343,SO00133,PRD0392,10,20257.84,0,202578.4,TND,Cancelled
OL000344,SO00133,PRD0049,1,34235.37,0,34235.37,TND,Shipped
OL000345,SO00133,PRD0321,2,42979.29,10,77362.72,TND,Delivered
OL000346,SO00133,PRD0229,8,25029,0,200232,TND,Pending
OL000347,SO00134,PRD0034,9,6001.95,0,54017.55,TND,Shipped
OL000348,SO00134,PRD0053,7,6290.8,0,44035.6,TND,Shipped
OL000349,SO00134,PRD0347,4,31315.55,10,112735.98,TND,Shipped
OL000350,SO00134,PRD0029,10,34043.27,0,340432.7,TND,Delivered
OL000351,SO00135,PRD0451,1,25443.89,0,25443.89,TND,Delivered
OL000352,SO00135,PRD0318,4,23282.91,0,93131.64,TND,Delivered
OL000353,SO00135,PRD0052,2,22607.92,5,42955.05,TND,Shipped
OL000354,SO00135,PRD0174,10,7319.41,0,73194.1,TND,Delivered
OL000355,SO00136,PRD0216,10,2732.74,0,27327.4,TND,Delivered
OL000356,SO00136,PRD0247,1,29220.78,0,29220.78,TND,Delivered
OL000357,SO00136,PRD0372,7,29763.49,5,197927.21,TND,Pending
OL000358,SO00137,PRD0160,9,27434.99,10,222223.42,TND,Delivered
OL000359,SO00137,PRD0299,5,26617.86,5,126434.83,TND,Delivered
OL000360,SO00137,PRD0454,1,44256.79,5,42043.95,TND,Pending
OL000361,SO00138,PRD0030,9,27165.5,10,220040.55,TND,Pending
OL000362,SO00138,PRD0122,1,6659.4,0,6659.4,TND,Delivered
OL000363,SO00139,PRD0328,4,36367.34,10,130922.42,TND,Delivered
OL000364,SO00139,PRD0466,8,21838.72,5,165974.27,TND,Cancelled
