  erp_invoices  ·  900 lignes  ·  9 colonnes,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
SINV00054,CUS0083,SO00725,436776.4,96872.53,2022-12-30,2023-03-02,Partially Paid,TND
SINV00055,CUS0188,SO00171,98466.83,22043.15,2024-06-22,2024-08-26,Overdue,TND
SINV00056,CUS0119,SO00044,190784.91,39308.3,2022-07-08,2022-09-16,Partially Paid,TND
SINV00057,CUS0175,SO00598,70771.91,14954.57,2023-11-02,2023-12-24,Partially Paid,TND
SINV00058,CUS0046,SO00427,120914.45,27007.38,2024-03-08,2024-04-13,Overdue,TND
SINV00059,CUS0054,SO00971,232197.36,56819.15,2023-06-28,2023-09-24,Overdue,TND
SINV00060,CUS0155,SO00148,128190.05,31519.28,2023-11-14,2024-02-07,Unpaid,TND
SINV00061,CUS0081,SO00289,88082.46,19194.65,2023-12-14,2024-03-11,Paid,TND
SINV00062,CUS0114,SO00450,202445.16,43643.43,2024-08-23,2024-10-28,Overdue,TND
SINV00063,CUS0038,SO00053,95105.35,23653.63,2024-12-19,2025-03-14,Paid,TND
SINV00064,CUS0099,SO00272,67346.08,14142.62,2023-02-02,2023-04-15,Partially Paid,TND
SINV00065,CUS0130,SO00483,85585.12,18933.82,2023-12-18,2024-02-13,Overdue,TND
SINV00066,CUS0002,SO00618,274773.69,68390.11,2024-08-25,2024-10-08,Paid,TND
SINV00067,CUS0170,SO00943,70544.84,14282.3,2023-02-08,2023-03-31,Unpaid,TND
SINV00068,CUS0128,SO00655,19517,3906.5,2024-03-11,2024-06-05,Overdue,TND
SINV00069,CUS0197,SO00399,272435.4,63929.06,2023-03-25,2023-04-30,Overdue,TND
SINV00070,CUS0108,SO00695,379011.14,93830.04,2023-02-03,2023-04-02,Partially Paid,TND
SINV00071,CUS0176,SO00190,389832.24,80478.9,2022-02-20,2022-05-12,Paid,TND
SINV00072,CUS0058,SO00851,7351.8,1695.01,2024-04-08,2024-06-30,Overdue,TND
SINV00073,CUS0164,SO00804,189933.38,43427.61,2024-08-20,2024-10-16,Unpaid,TND
SINV00074,CUS0007,SO00623,100329.26,21292.3,2022-12-20,2023-02-28,Partially Paid,TND
SINV00075,CUS0137,SO00913,244474.59,48955.37,2023-08-14,2023-10-17,Overdue,TND
SINV00076,CUS0024,SO00223,94415.39,22671.01,2023-04-17,2023-07-01,Partially Paid,TND
SINV00077,CUS0113,SO00109,379999.13,88350.86,2022-03-06,2022-04-25,Paid,TND
SINV00078,CUS0082,SO00047,293082.42,59126,2023-05-25,2023-07-28,Partially Paid,TND
SINV00079,CUS0086,SO00348,321667.83,79036.59,2023-06-30,2023-09-12,Partially Paid,TND
SINV00080,CUS0155,SO00846,426803.72,95037.16,2022-02-26,2022-04-06,Unpaid,TND
SINV00081,CUS0154,SO00235,86113.83,19863.54,2024-04-15,2024-06-24,Overdue,TND
SINV00082,CUS0115,SO00885,399055.17,84000.68,2022-05-09,2022-06-25,Paid,TND
SINV00083,CUS0075,SO00603,49334.43,11355.74,2024-12-17,2025-01-28,Paid,TND
SINV00084,CUS0051,SO00186,167184.32,36675.51,2023-08-13,2023-11-04,Overdue,TND
SINV00085,CUS0117,SO00092,114687.06,23030.18,2023-12-19,2024-01-22,Paid,TND
SINV00086,CUS0196,SO00773,222348.74,55147.58,2023-12-26,2024-03-14,Overdue,TND
SINV00087,CUS0060,SO00640,236440.02,48031.31,2023-03-03,2023-04-21,Unpaid,TND
SINV00088,CUS0028,SO00949,359822.2,73921.13,2023-09-22,2023-11-08,Unpaid,TND
SINV00089,CUS0143,SO00318,213939.55,53060.24,2022-05-07,2022-07-01,Overdue,TND
SINV00090,CUS0087,SO00812,220877.05,45220.42,2023-12-20,2024-03-10,Partially Paid,TND
SINV00091,CUS0002,SO00256,385274.22,91346.36,2022-01-17,2022-03-01,Overdue,TND
SINV00092,CUS0062,SO00094,92866.91,21540.24,2022-06-03,2022-07-21,Partially Paid,TND
SINV00093,CUS0049,SO00023,8510.66,1772.36,2022-11-18,2023-01-23,Partially Paid,TND
SINV00094,CUS0167,SO00742,76093.14,18280.86,2022-07-17,2022-08-20,Partially Paid,TND
SINV00095,CUS0014,SO00214,12818.09,2783.19,2022-06-28,2022-09-25,Overdue,TND
SINV00096,CUS0060,SO00640,238322.7,48031.31,2023-02-24,2023-05-06,Paid,TND
SINV00097,CUS0068,SO00612,199387.43,49413.71,2022-12-11,2023-01-16,Partially Paid,TND
SINV00098,CUS0164,SO00789,441529.21,98210.8,2022-06-22,2022-08-08,Paid,TND
SINV00099,CUS0026,SO00704,190670.44,40494.63,2023-08-09,2023-11-04,Unpaid,TND
SINV00100,CUS0044,SO00416,254090.12,53306.05,2022-04-07,2022-05-08,Partially Paid,TND
SINV00101,CUS0037,SO00549,73027.54,16515.23,2024-10-21,2024-11-25,Paid,TND
SINV00102,CUS0078,SO00532,221109,51735.21,2022-04-26,2022-05-29,Overdue,TND
SINV00103,CUS0195,SO00512,215898.33,49185.35,2023-02-14,2023-03-21,Partially Paid,TND
SINV00104,CUS0061,SO00339,301445.07,73665.77,2022-07-27,2022-09-20,Partially Paid,TND
SINV00105,CUS0071,SO00719,206956.69,46181.02,2024-09-03,2024-10-20,Overdue,TND
SINV00106,CUS0009,SO00370,167357.64,41307.42,2024-01-11,2024-03-08,Overdue,TND
SINV00107,CUS0052,SO00353,265197.37,54102.73,2022-10-13,2022-12-09,Partially Paid,TND
SINV00108,CUS0138,SO00503,400487.22,82815.58,2023-12-26,2024-03-24,Paid,TND
SINV00109,CUS0028,SO00948,236861.22,52501.43,2023-03-14,2023-05-27,Partially Paid,TND
SINV00110,CUS0128,SO00225,6859.07,1674.36,2022-03-06,2022-05-31,Partially Paid,TND
SINV00111,CUS0029,SO00261,69711.33,16685.59,2022-11-08,2023-01-13,Paid,TND
SINV00112,CUS0174,SO00263,53256.58,11123.55,2024-12-18,2025-02-17,Partially Paid,TND
SINV00113,CUS0166,SO00562,110152.71,27531.01,2023-05-17,2023-08-10,Partially Paid,TND
SINV00114,CUS0004,SO00374,205379.01,51326.22,2024-04-23,2024-06-02,Partially Paid,TND
SINV00115,CUS0147,SO00613,480545.86,98840.98,2022-06-21,2022-09-08,Paid,TND
SINV00116,CUS0185,SO00575,371135.35,86188.6,2022-10-25,2022-12-05,Partially Paid,TND
SINV00117,CUS0149,SO00772,178453.71,35759.25,2022-03-11,2022-04-28,Paid,TND
SINV00118,CUS0110,SO00712,240207.75,51114.61,2024-12-03,2025-01-02,Paid,TND
SINV00119,CUS0077,SO00260,393375.28,86549.34,2023-05-02,2023-07-03,Unpaid,TND
SINV00120,CUS0121,SO00350,138952.28,27859.51,2024-05-17,2024-07-04,Partially Paid,TND
SINV00121,CUS0054,SO00293,361889.63,74871.22,2022-09-14,2022-11-02,Unpaid,TND
SINV00122,CUS0053,SO00163,236543.53,53581.96,2024-08-29,2024-11-08,Overdue,TND
SINV00123,CUS0041,SO00581,153565.14,33016.76,2024-12-12,2025-02-11,Overdue,TND
SINV00124,CUS0163,SO00984,438339.29,93059.37,2022-10-07,2022-12-20,Paid,TND
SINV00125,CUS0116,SO00732,328323.55,77995.48,2024-09-24,2024-11-30,Paid,TND
SINV00126,CUS0123,SO00849,101139.3,23101.25,2024-06-19,2024-09-11,Partially Paid,TND
SINV00127,CUS0123,SO00213,224830.16,50288.48,2024-10-04,2024-12-14,Paid,TND
SINV00128,CUS0144,SO00531,416293.64,95326.07,2023-03-20,2023-06-05,Partially Paid,TND
SINV00129,CUS0190,SO00798,430530.2,98563.72,2024-03-02,2024-05-25,Overdue,TND
SINV00130,CUS0174,SO00327,269412.13,60081.5,2022-06-09,2022-08-22,Partially Paid,TND
SINV00131,CUS0054,SO00516,27946.41,6631.23,2022-09-13,2022-11-19,Paid,TND
SINV00132,CUS0148,SO00586,145349.64,30617.7,2022-03-04,2022-04-29,Overdue,TND
SINV00133,CUS0190,SO00495,318907.95,79368.53,2023-12-21,2024-02-21,Unpaid,TND
SINV00134,CUS0123,SO00672,215476.58,52186.57,2022-09-08,2022-10-19,Overdue,TND
SINV00135,CUS0155,SO00328,8000.11,1830.42,2024-07-31,2024-09-15,Unpaid,TND
SINV00136,CUS0006,SO00807,244520.39,58727.73,2022-06-23,2022-08-17,Overdue,TND
SINV00137,CUS0198,SO00890,351451.3,74900.95,2022-10-20,2022-12-12,Unpaid,TND
SINV00138,CUS0183,SO00454,195993.45,45779.54,2023-10-09,2024-01-04,Overdue,TND
SINV00139,CUS0074,SO00862,473887.8,95393.81,2022-09-23,2022-12-03,Partially Paid,TND
SINV00140,CUS0119,SO00875,106267.14,25931.18,2023-05-21,2023-08-08,Paid,TND
SINV00141,CUS0178,SO00908,250501.98,56650.47,2023-12-04,2024-01-12,Overdue,TND
SINV00142,CUS0163,SO00482,188698.93,42515.15,2023-09-23,2023-10-23,Paid,TND
SINV00143,CUS0173,SO00182,366195.01,88192.57,2023-11-10,2024-01-22,Unpaid,TND
SINV00144,CUS0143,SO00318,263274.24,53060.24,2022-05-07,2022-06-09,Unpaid,TND
SINV00145,CUS0017,SO00057,212878.52,50029.41,2022-10-31,2023-01-02,Partially Paid,TND
SINV00146,CUS0195,SO00512,202309.46,49185.35,2023-02-09,2023-04-09,Paid,TND
SINV00147,CUS0192,SO00334,193727.43,42087.18,2024-05-25,2024-07-18,Partially Paid,TND
SINV00148,CUS0172,SO00006,77637.05,18290.73,2024-07-27,2024-10-20,Paid,TND
SINV00149,CUS0140,SO00859,122589.69,25722.79,2023-04-18,2023-06-02,Paid,TND
SINV00150,CUS0168,SO00964,73440.09,16222.75,2023-08-16,2023-11-06,Partially Paid,TND
SINV00151,CUS0176,SO00523,175750.52,38948.62,2022-03-21,2022-05-25,Partially Paid,TND
SINV00152,CUS0164,SO00778,6188.18,1350.88,2024-02-21,2024-04-24,Paid,TND
SINV00153,CUS0086,SO00887,348031.22,77122.18,2023-03-26,2023-05-23,Paid,TND
SINV00154,CUS0137,SO00262,99513.27,20431.62,2024-09-29,2024-11-25,Unpaid,TND
SINV00155,CUS0113,SO00109,384201.91,88350.86,2022-03-12,2022-05-28,Paid,TND
SINV00156,CUS0108,SO00847,76732,17710.3,2022-08-06,2022-10-06,Paid,TND
SINV00157,CUS0120,SO00896,151963.16,33446.87,2024-06-04,2024-08-04,Paid,TND
SINV00158,CUS0143,SO00903,275007.46,66538.31,2022-05-01,2022-07-07,Unpaid,TND
SINV00159,CUS0009,SO00680,335801.01,67948.49,2023-09-22,2023-11-07,Partially Paid,TND
SINV00160,CUS0113,SO00857,320205.3,68612.08,2023-12-28,2024-03-26,Paid,TND
SINV00161,CUS0164,SO00804,181375.85,43427.61,2024-08-15,2024-11-11,Overdue,TND
SINV00162,CUS0147,SO00413,106918.94,23544.29,2024-07-03,2024-08-31,Paid,TND
SINV00163,CUS0124,SO00072,71251.55,16162.95,2023-12-22,2024-03-01,Partially Paid,TND
SINV00164,CUS0077,SO00714,246609.35,54383.85,2022-06-14,2022-09-09,Unpaid,TND
SINV00165,CUS0148,SO00563,339495.81,77085.27,2023-04-15,2023-06-13,Partially Paid,TND
SINV00166,CUS0143,SO00594,447712.9,92247.76,2022-04-17,2022-06-14,Paid,TND
SINV00167,CUS0164,SO00465,212674.32,47449.17,2024-04-26,2024-06-29,Unpaid,TND
SINV00168,CUS0170,SO00172,346757.73,85716.4,2022-04-16,2022-06-26,Partially Paid,TND
SINV00169,CUS0134,SO00440,303356.88,61816.47,2024-06-11,2024-08-12,Paid,TND
SINV00170,CUS0051,SO00106,258745.21,64156.99,2022-01-11,2022-02-23,Partially Paid,TND
SINV00171,CUS0094,SO00878,221677.38,54831.24,2022-01-22,2022-03-20,Paid,TND
SINV00172,CUS0049,SO00724,272226.91,65750.75,2022-08-11,2022-09-17,Unpaid,TND
SINV00173,CUS0031,SO00729,8588.07,2024.72,2025-01-02,2025-02-18,Partially Paid,TND
SINV00174,CUS0007,SO00623,89168,21292.3,2022-12-24,2023-02-14,Unpaid,TND
SINV00175,CUS0028,SO00792,409232.1,90207.86,2023-06-01,2023-08-19,Unpaid,TND
SINV00176,CUS0122,SO00869,65374.94,14410.81,2024-08-07,2024-10-02,Partially Paid,TND
SINV00177,CUS0143,SO00641,155883.92,37014.09,2022-08-02,2022-10-08,Overdue,TND
SINV00178,CUS0026,SO00191,268577.59,61037.36,2022-03-16,2022-06-14,Overdue,TND
SINV00179,CUS0190,SO00074,254942.47,60954.75,2023-03-05,2023-05-03,Partially Paid,TND
SINV00180,CUS0010,SO00767,350207.07,76141.6,2022-03-01,2022-04-22,Partially Paid,TND
SINV00181,CUS0090,SO00848,255281.47,53095.14,2023-10-05,2023-12-16,Overdue,TND
SINV00182,CUS0199,SO00351,45395.8,11317.13,2023-10-07,2023-11-14,Overdue,TND
SINV00183,CUS0158,SO00056,110757.93,24568.53,2023-11-28,2024-02-11,Overdue,TND
SINV00184,CUS0185,SO00204,173646.46,36367.43,2023-03-11,2023-05-30,Unpaid,TND
SINV00185,CUS0173,SO00182,403828.68,88192.57,2023-11-02,2024-01-22,Partially Paid,TND
SINV00186,CUS0148,SO00563,377669.91,77085.27,2023-04-14,2023-07-12,Paid,TND
SINV00187,CUS0162,SO00246,248377.36,53473.45,2024-10-13,2025-01-07,Overdue,TND
SINV00188,CUS0189,SO00077,325152.15,65956.77,2024-12-28,2025-01-31,Overdue,TND
SINV00189,CUS0030,SO00685,232263.57,57652.19,2023-08-15,2023-10-16,Partially Paid,TND
SINV00190,CUS0020,SO00021,324034.55,74580.87,2023-03-05,2023-05-12,Partially Paid,TND
SINV00191,CUS0081,SO00289,82022.91,19194.65,2023-12-13,2024-03-05,Overdue,TND
SINV00192,CUS0006,SO00807,248703.15,58727.73,2022-06-26,2022-08-19,Overdue,TND
SINV00193,CUS0071,SO00274,25356.14,5554.06,2023-11-10,2023-12-16,Unpaid,TND
SINV00194,CUS0030,SO00966,277473.08,61667.96,2022-06-15,2022-09-11,Partially Paid,TND
SINV00195,CUS0106,SO00622,30954.54,7472.57,2022-10-28,2022-12-07,Paid,TND
SINV00196,CUS0130,SO00483,81556.97,18933.82,2023-12-18,2024-03-15,Partially Paid,TND
SINV00197,CUS0031,SO00711,322632.31,67834.01,2023-07-28,2023-09-16,Paid,TND
SINV00198,CUS0165,SO00832,52774.77,10661.99,2023-12-25,2024-01-24,Paid,TND
SINV00199,CUS0066,SO00657,177751.48,44314.8,2022-01-10,2022-03-10,Overdue,TND
SINV00200,CUS0044,SO00071,15070.15,3103.37,2024-01-06,2024-03-06,Partially Paid,TND
SINV00201,CUS0195,SO00058,48085.1,10756.4,2023-01-31,2023-04-28,Partially Paid,TND
SINV00202,CUS0148,SO00428,352355,83039.19,2022-01-23,2022-03-28,Unpaid,TND
SINV00203,CUS0136,SO00329,111646.28,27175.98,2022-05-14,2022-07-05,Paid,TND
SINV00204,CUS0153,SO00953,227263.1,51918.09,2023-08-12,2023-10-19,Unpaid,TND
SINV00205,CUS0155,SO00388,478230.45,96991.45,2023-12-18,2024-02-19,Unpaid,TND
SINV00206,CUS0125,SO00781,422459.89,88720.89,2022-03-15,2022-06-09,Unpaid,TND
SINV00207,CUS0024,SO00223,98438.45,22671.01,2023-04-15,2023-05-15,Unpaid,TND
SINV00208,CUS0036,SO00710,370716.36,84205.05,2024-12-19,2025-03-13,Unpaid,TND
SINV00209,CUS0196,SO00773,240771.45,55147.58,2023-12-31,2024-03-26,Overdue,TND
SINV00210,CUS0049,SO00724,277405.3,65750.75,2022-08-16,2022-10-22,Paid,TND
SINV00211,CUS0170,SO00893,17752,3647.7,2022-06-20,2022-08-05,Overdue,TND
SINV00212,CUS0039,SO00267,245205.5,49598.03,2022-03-26,2022-05-16,Paid,TND
SINV00213,CUS0044,SO00071,12976.72,3103.37,2024-01-09,2024-02-14,Overdue,TND
SINV00214,CUS0117,SO00092,114819.44,23030.18,2023-12-24,2024-02-11,Overdue,TND
SINV00215,CUS0196,SO00078,66442.74,15859.21,2022-07-04,2022-09-23,Overdue,TND
SINV00216,CUS0176,SO00190,395146.32,80478.9,2022-02-16,2022-04-12,Paid,TND
SINV00217,CUS0087,SO00034,78830.03,15964.72,2024-10-21,2024-12-05,Unpaid,TND
SINV00218,CUS0037,SO00249,31986.87,7214.08,2023-08-30,2023-10-19,Unpaid,TND
SINV00219,CUS0121,SO00707,134505.03,33515.15,2024-05-21,2024-08-06,Partially Paid,TND
SINV00220,CUS0023,SO00028,350323.03,80177.7,2024-02-05,2024-03-10,Unpaid,TND
SINV00221,CUS0187,SO00460,46761.21,9697.03,2022-11-14,2022-12-27,Partially Paid,TND
SINV00222,CUS0111,SO00530,333376.71,71681.74,2022-12-24,2023-01-27,Paid,TND
SINV00223,CUS0147,SO00413,114227.38,23544.29,2024-07-11,2024-08-28,Unpaid,TND
SINV00224,CUS0050,SO00459,373636.62,80384.33,2022-09-03,2022-10-07,Partially Paid,TND
SINV00225,CUS0195,SO00058,53583.04,10756.4,2023-01-25,2023-04-08,Partially Paid,TND
SINV00226,CUS0168,SO00466,294948.68,61514.06,2022-09-09,2022-10-23,Paid,TND
SINV00227,CUS0117,SO00800,229297.04,53631.78,2024-10-05,2024-11-12,Partially Paid,TND
SINV00228,CUS0154,SO00235,91034.72,19863.54,2024-04-20,2024-07-07,Partially Paid,TND
SINV00229,CUS0074,SO00217,122199.33,27123.38,2022-02-10,2022-05-11,Paid,TND
SINV00230,CUS0167,SO00637,6335.72,1325.24,2022-01-15,2022-02-25,Overdue,TND
SINV00231,CUS0095,SO00975,48648.79,11156.4,2024-07-23,2024-08-26,Overdue,TND
SINV00232,CUS0129,SO00802,114336.33,26464.18,2022-02-23,2022-05-19,Unpaid,TND
SINV00233,CUS0018,SO00795,365715.4,74096.21,2023-09-06,2023-11-22,Unpaid,TND
SINV00234,CUS0102,SO00448,26228.9,6403.62,2022-09-17,2022-11-27,Partially Paid,TND
SINV00235,CUS0109,SO00610,136967.87,32131.91,2024-10-12,2024-12-27,Overdue,TND
SINV00236,CUS0095,SO00491,446003.91,97652.46,2024-01-22,2024-03-12,Overdue,TND
SINV00237,CUS0099,SO00414,306064.62,62009.82,2023-11-16,2023-12-20,Overdue,TND
SINV00238,CUS0008,SO00048,284799.75,57403.9,2022-01-31,2022-04-09,Paid,TND
SINV00239,CUS0119,SO00044,194330.92,39308.3,2022-07-11,2022-10-02,Partially Paid,TND
SINV00240,CUS0095,SO00970,279077.21,55926.66,2024-11-14,2025-01-12,Unpaid,TND
SINV00241,CUS0168,SO00638,194562.77,40782.26,2022-08-28,2022-11-23,Partially Paid,TND
SINV00242,CUS0137,SO00913,229470.14,48955.37,2023-08-13,2023-10-05,Overdue,TND
SINV00243,CUS0130,SO00815,44053.88,9883.4,2023-12-25,2024-02-26,Partially Paid,TND
SINV00244,CUS0181,SO00471,423764.37,97725.95,2022-07-11,2022-09-03,Paid,TND
SINV00245,CUS0082,SO00052,266733.69,66228.95,2024-08-30,2024-11-18,Unpaid,TND
SINV00246,CUS0147,SO00595,249993.46,56913.75,2023-05-29,2023-06-28,Overdue,TND
SINV00247,CUS0193,SO00462,190438.84,41165.76,2023-08-30,2023-11-23,Unpaid,TND
SINV00248,CUS0014,SO00063,225332.24,56185.39,2024-02-15,2024-03-22,Paid,TND
SINV00249,CUS0125,SO00216,41088.94,8356.55,2023-10-15,2023-11-17,Partially Paid,TND
SINV00250,CUS0066,SO00371,146724.3,31701.04,2024-05-18,2024-08-11,Partially Paid,TND
SINV00251,CUS0112,SO00676,431891.78,89301.49,2022-11-25,2023-02-17,Overdue,TND
SINV00252,CUS0162,SO00783,412529.99,82762.38,2022-02-13,2022-04-23,Unpaid,TND
SINV00253,CUS0034,SO00382,310529.36,63992.75,2024-07-28,2024-10-07,Overdue,TND
SINV00254,CUS0148,SO00867,363628.18,82116.49,2022-12-21,2023-02-20,Paid,TND
SINV00255,CUS0140,SO00545,12724.09,2782.48,2023-02-12,2023-03-29,Unpaid,TND
SINV00256,CUS0103,SO00378,315050.07,73124.9,2022-08-01,2022-09-17,Paid,TND
SINV00257,CUS0044,SO00004,98039.5,23612.8,2023-04-27,2023-07-02,Unpaid,TND
SINV00258,CUS0101,SO00911,196377.26,45398.78,2022-03-27,2022-05-05,Unpaid,TND
SINV00259,CUS0015,SO00787,96483.89,20389.98,2023-01-16,2023-04-15,Partially Paid,TND
SINV00260,CUS0119,SO00811,5567.6,1212.33,2022-02-24,2022-03-27,Paid,TND
SINV00261,CUS0139,SO00042,212651.32,48083.01,2022-04-28,2022-07-17,Overdue,TND
SINV00262,CUS0134,SO00500,305755.84,75101.29,2023-12-21,2024-03-08,Overdue,TND
SINV00263,CUS0169,SO00830,315522.67,74220.29,2023-05-29,2023-08-08,Paid,TND
SINV00264,CUS0133,SO00101,197882.49,48492.77,2024-06-22,2024-07-26,Unpaid,TND
SINV00265,CUS0097,SO00920,425039.3,95797.43,2024-09-13,2024-11-08,Paid,TND
SINV00266,CUS0173,SO00751,38285.81,8536.49,2023-09-16,2023-10-28,Unpaid,TND
SINV00267,CUS0068,SO00133,492904.21,99609.27,2024-07-08,2024-09-26,Paid,TND
SINV00268,CUS0166,SO00117,323363.25,70112.37,2022-05-06,2022-07-09,Paid,TND
SINV00269,CUS0051,SO00703,350175.49,70081.34,2024-12-17,2025-02-08,Paid,TND
SINV00270,CUS0008,SO00560,250178.22,55709.44,2022-01-28,2022-04-26,Unpaid,TND
SINV00271,CUS0015,SO00219,184459.23,42810.99,2024-07-27,2024-09-08,Paid,TND
SINV00272,CUS0016,SO00979,111378.82,24668.77,2022-02-10,2022-03-28,Paid,TND
SINV00273,CUS0049,SO00615,394802.1,89385.52,2023-09-30,2023-11-24,Partially Paid,TND
SINV00274,CUS0145,SO00319,18683.26,3924.71,2022-04-06,2022-05-08,Overdue,TND
SINV00275,CUS0036,SO00845,215365.11,53298.49,2023-02-25,2023-03-30,Overdue,TND
SINV00276,CUS0153,SO00036,328110.21,71706.04,2024-12-18,2025-02-08,Paid,TND
SINV00277,CUS0135,SO00923,272165.7,66126.42,2024-09-12,2024-11-11,Overdue,TND
SINV00278,CUS0058,SO00833,321299,65399.51,2022-10-17,2023-01-09,Overdue,TND
