  erp_customers  ·  200 lignes  ·  9 colonnes,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
CUS0077,ACC0077,CNSS,Tunisie,Secteur Public,4176452.94,Net 60,TAX446465628,2020-04-16
CUS0078,ACC0078,Talan France,France,Consulting,2810374.76,Net 30,TAX775759721,2021-11-08
CUS0079,ACC0079,Microsoft Tunisie,Tunisie,Technology,3708317.16,Net 90,TAX993429894,2022-08-20
CUS0080,ACC0080,BNA Banque,Tunisie,Finance,2492978.57,Immediate,TAX292741111,2021-11-11
CUS0081,ACC0081,Leoni Tunisie,Tunisie,Industrie,4527788.04,Net 30,TAX979287700,2022-02-13
CUS0082,ACC0082,Tunisie Telecom,Tunisie,Telecom,3530914.38,Net 60,TAX858779439,2021-03-26
CUS0083,ACC0083,STB Banque,Tunisie,Finance,979954.61,Net 30,TAX230474972,2018-07-06
CUS0084,ACC0084,Carthage Cement,Tunisie,Construction,3496256.84,Immediate,TAX350472797,2021-09-18
CUS0085,ACC0085,Carthage Cement,Tunisie,Construction,2878669.2,Net 90,TAX484407626,2022-11-07
CUS0086,ACC0086,Total Energies TN,Tunisie,Energie,1328129.6,Net 60,TAX876667404,2022-04-06
CUS0087,ACC0087,Talan France,France,Consulting,3874173.83,Net 90,TAX441813929,2021-07-14
CUS0088,ACC0088,BH Bank,Tunisie,Finance,1207083.16,Net 90,TAX518342483,2018-08-29
CUS0089,ACC0089,GCT,Tunisie,Chimie,1127258.86,Net 30,TAX747582010,2020-07-24
CUS0090,ACC0090,Yazaki Tunisie,Tunisie,Industrie,1249689.1,Immediate,TAX741899836,2019-11-28
CUS0091,ACC0091,VERMEG,Tunisie,Technology,2029716.95,Net 90,TAX932332520,2020-07-03
CUS0092,ACC0092,OCP Maroc,Maroc,Industrie,4791769.15,Net 30,TAX798589510,2019-04-24
CUS0093,ACC0093,BIAT,Tunisie,Finance,2956359.25,Net 90,TAX489083732,2018-03-17
CUS0094,ACC0094,SNCFT,Tunisie,Transport,4415549.96,Net 45,TAX678080406,2022-01-19
CUS0095,ACC0095,Star Assurance,Tunisie,Assurance,2350828.82,Net 90,TAX883165585,2022-10-11
CUS0096,ACC0096,Attijari Bank,Tunisie,Finance,208946.72,Net 45,TAX749991422,2021-06-18
CUS0097,ACC0097,Tunisair,Tunisie,Transport,4337906.09,Net 30,TAX594890024,2018-12-07
CUS0098,ACC0098,SNCFT,Tunisie,Transport,2443103.06,Net 60,TAX452855224,2019-05-16
CUS0099,ACC0099,SONEDE,Tunisie,Eau et Assainissement,3271709.85,Net 30,TAX549400734,2021-04-09
CUS0100,ACC0100,Banque Centrale Tunisie,Tunisie,Finance,2032277.41,Net 30,TAX171449522,2018-06-01
CUS0101,ACC0101,CNSS,Tunisie,Secteur Public,4392856.81,Net 60,TAX767545345,2022-10-14
CUS0102,ACC0102,Delice Danone,Tunisie,Agroalimentaire,2378819.26,Immediate,TAX586213132,2019-07-17
CUS0103,ACC0103,Leoni Tunisie,Tunisie,Industrie,192475.14,Net 60,TAX229948401,2019-03-25
CUS0104,ACC0104,Carthage Cement,Tunisie,Construction,2420167.89,Net 60,TAX858719317,2021-04-01
CUS0105,ACC0105,Sfax Cables,Tunisie,Industrie,1503984.59,Net 30,TAX858434529,2020-12-23
CUS0106,ACC0106,CIH Bank Maroc,Maroc,Finance,4603414.1,Net 90,TAX242382588,2020-08-17
CUS0107,ACC0107,Talan Maroc,Maroc,Consulting,3269758.41,Net 60,TAX889173702,2019-06-26
CUS0108,ACC0108,STIIP Assurance,Tunisie,Assurance,4262370.69,Net 90,TAX200993598,2018-02-21
CUS0109,ACC0109,STEG,Tunisie,Energie,3457309.91,Net 45,TAX950309725,2018-10-14
CUS0110,ACC0110,Star Assurance,Tunisie,Assurance,4205455.19,Net 60,TAX970545205,2021-10-05
CUS0111,ACC0111,Leoni Tunisie,Tunisie,Industrie,4056421.54,Immediate,TAX823389904,2021-11-14
CUS0112,ACC0112,Tunisair,Tunisie,Transport,4566195.46,Net 60,TAX887610727,2018-05-05
CUS0113,ACC0113,Talan France,France,Consulting,1211707.97,Net 90,TAX431293531,2022-05-31
CUS0114,ACC0114,CNSS,Tunisie,Secteur Public,4513847.71,Net 30,TAX684414201,2019-11-04
CUS0115,ACC0115,Sfax Cables,Tunisie,Industrie,544396.3,Net 90,TAX411588366,2018-08-14
CUS0116,ACC0116,Ministere des Finances,Tunisie,Secteur Public,1378854.61,Net 90,TAX916880487,2022-02-28
CUS0117,ACC0117,Ministere des Finances,Tunisie,Secteur Public,4861518.83,Net 90,TAX266753550,2020-10-28
CUS0118,ACC0118,Amen Bank,Tunisie,Finance,3363540.21,Net 30,TAX268944599,2021-11-06
CUS0119,ACC0119,UIB Banque,Tunisie,Finance,3480979.91,Net 60,TAX968130829,2019-07-18
CUS0120,ACC0120,STB Banque,Tunisie,Finance,4192081,Net 90,TAX107862868,2020-05-30
CUS0121,ACC0121,Orange Tunisie,Tunisie,Telecom,3503647.96,Net 90,TAX571607001,2020-05-24
CUS0122,ACC0122,Yazaki Tunisie,Tunisie,Industrie,2086196.07,Net 30,TAX226717996,2020-06-03
CUS0123,ACC0123,Talan France,France,Consulting,3358122.92,Net 45,TAX557195710,2020-04-21
CUS0124,ACC0124,BH Bank,Tunisie,Finance,3303981.54,Net 90,TAX547243997,2019-03-12
CUS0125,ACC0125,SNCFT,Tunisie,Transport,4948982.28,Net 30,TAX757869371,2022-07-12
CUS0126,ACC0126,SPS Tunisia,Tunisie,Technology,4023397.69,Net 90,TAX210649261,2019-01-05
CUS0127,ACC0127,BNA Banque,Tunisie,Finance,1579200.06,Net 90,TAX306593840,2018-10-18
CUS0128,ACC0128,BH Bank,Tunisie,Finance,3123935.97,Net 45,TAX858793241,2022-01-17
CUS0129,ACC0129,STB Banque,Tunisie,Finance,371520.48,Net 60,TAX601929317,2019-07-12
CUS0130,ACC0130,Poulina Group,Tunisie,Industrie,242710.44,Net 90,TAX992084063,2019-12-08
CUS0131,ACC0131,Poulina Group,Tunisie,Industrie,3199623.07,Net 90,TAX448738390,2018-01-16
CUS0132,ACC0132,Orange Tunisie,Tunisie,Telecom,4951085.49,Net 45,TAX159917524,2018-09-22
CUS0133,ACC0133,STIIP Assurance,Tunisie,Assurance,2567425.81,Net 60,TAX513974177,2022-10-31
CUS0134,ACC0134,Star Assurance,Tunisie,Assurance,4307385.66,Net 30,TAX129164295,2019-08-16
CUS0135,ACC0135,Talan Maroc,Maroc,Consulting,3232871.1,Net 90,TAX511598375,2020-06-13
CUS0136,ACC0136,Carthage Cement,Tunisie,Construction,1631648.64,Net 90,TAX294603463,2019-11-14
CUS0137,ACC0137,Ooredoo Tunisie,Tunisie,Telecom,3759277.23,Net 45,TAX288364801,2018-07-30
CUS0138,ACC0138,Orange Tunisie,Tunisie,Telecom,224401.6,Net 60,TAX359697265,2020-08-08
CUS0139,ACC0139,Delice Danone,Tunisie,Agroalimentaire,2427410.27,Immediate,TAX564696381,2020-08-18
CUS0140,ACC0140,BIAT,Tunisie,Finance,2936275.79,Immediate,TAX744189671,2018-03-19
CUS0141,ACC0141,Ministere des Finances,Tunisie,Secteur Public,907681.85,Net 60,TAX711868984,2020-08-05
CUS0142,ACC0142,Talan Maroc,Maroc,Consulting,1767521.83,Net 60,TAX676877953,2018-07-31
CUS0143,ACC0143,OCP Maroc,Maroc,Industrie,1949430.65,Net 45,TAX368487364,2021-06-02
CUS0144,ACC0144,Ministere de l Education,Tunisie,Secteur Public,509682.54,Net 30,TAX771209441,2018-05-15
CUS0145,ACC0145,VERMEG,Tunisie,Technology,4122464.68,Net 60,TAX753726009,2018-06-16
CUS0146,ACC0146,BNA Banque,Tunisie,Finance,3400196.1,Net 45,TAX951530461,2022-07-24
CUS0147,ACC0147,BNA Banque,Tunisie,Finance,1190951.78,Net 90,TAX236168242,2019-09-25
CUS0148,ACC0148,UIB Banque,Tunisie,Finance,1438191.31,Net 60,TAX415740351,2020-11-05
CUS0149,ACC0149,Microsoft Tunisie,Tunisie,Technology,60893,Immediate,TAX823001425,2022-01-16
CUS0150,ACC0150,STIIP Assurance,Tunisie,Assurance,929489.62,Net 60,TAX390080916,2020-12-29
CUS0151,ACC0151,Talan France,France,Consulting,2080051.98,Net 60,TAX965385900,2020-10-26
CUS0152,ACC0152,Tunisie Telecom,Tunisie,Telecom,1534544.46,Net 45,TAX678529899,2021-02-09
CUS0153,ACC0153,STIIP Assurance,Tunisie,Assurance,3042314.23,Net 60,TAX376332045,2018-10-29
CUS0154,ACC0154,IBM Tunisie,Tunisie,Technology,1083000.41,Net 90,TAX210088188,2020-02-05
CUS0155,ACC0155,Sfax Cables,Tunisie,Industrie,4698400.71,Net 45,TAX509362928,2018-10-09
CUS0156,ACC0156,OCP Maroc,Maroc,Industrie,2209090.97,Net 45,TAX373161867,2018-02-08
CUS0157,ACC0157,Ministere de l Education,Tunisie,Secteur Public,3671690.93,Net 45,TAX566710198,2019-05-02
CUS0158,ACC0158,CNAM,Tunisie,Secteur Public,3891428.17,Net 90,TAX971808980,2021-05-07
CUS0159,ACC0159,SPS Tunisia,Tunisie,Technology,1475452.05,Net 90,TAX367457666,2021-03-14
CUS0160,ACC0160,Banque Centrale Tunisie,Tunisie,Finance,3650919.04,Net 60,TAX512015168,2021-02-08
CUS0161,ACC0161,Ooredoo Tunisie,Tunisie,Telecom,4721694.27,Net 60,TAX695373815,2022-06-03
CUS0162,ACC0162,Ministere de l Education,Tunisie,Secteur Public,1682358.7,Net 30,TAX582933420,2022-07-25
CUS0163,ACC0163,BNA Banque,Tunisie,Finance,1381493.4,Net 90,TAX981748727,2019-08-24
CUS0164,ACC0164,BH Bank,Tunisie,Finance,4172676.03,Net 45,TAX473013747,2019-06-03
CUS0165,ACC0165,STEG,Tunisie,Energie,857291.62,Net 45,TAX780324505,2018-09-12
CUS0166,ACC0166,CNAM,Tunisie,Secteur Public,4521929.56,Net 45,TAX966467402,2020-01-23
CUS0167,ACC0167,Total Energies TN,Tunisie,Energie,3126242,Net 90,TAX753671054,2019-10-20
CUS0168,ACC0168,Microsoft Tunisie,Tunisie,Technology,1396298.02,Immediate,TAX778127307,2020-07-04
CUS0169,ACC0169,SOMOCER,Tunisie,Construction,4334862.6,Net 60,TAX711300786,2021-10-06
CUS0170,ACC0170,Ministere des Finances,Tunisie,Secteur Public,2163254.01,Net 45,TAX553064757,2018-09-16
CUS0171,ACC0171,SONEDE,Tunisie,Eau et Assainissement,1452727.19,Net 60,TAX446513598,2020-01-30
CUS0172,ACC0172,Microsoft Tunisie,Tunisie,Technology,3024651.58,Immediate,TAX534712540,2018-08-21
CUS0173,ACC0173,STB Banque,Tunisie,Finance,1674279.71,Net 90,TAX591673711,2019-03-16
CUS0174,ACC0174,Tunisair,Tunisie,Transport,666773.98,Net 45,TAX661603140,2022-07-18
CUS0175,ACC0175,STB Banque,Tunisie,Finance,1046975.31,Net 30,TAX918215023,2020-11-07
CUS0176,ACC0176,Carthage Cement,Tunisie,Construction,2979993.46,Net 45,TAX465311618,2022-07-04
CUS0177,ACC0177,Delice Danone,Tunisie,Agroalimentaire,1406145.16,Net 45,TAX646168164,2022-04-25
CUS0178,ACC0178,STIIP Assurance,Tunisie,Assurance,4750222.78,Net 60,TAX395033851,2019-12-07
CUS0179,ACC0179,BNA Banque,Tunisie,Finance,4930477.74,Net 45,TAX792623829,2020-11-27
CUS0180,ACC0180,STEG,Tunisie,Energie,2039727.51,Immediate,TAX654421010,2019-05-29
CUS0181,ACC0181,BH Bank,Tunisie,Finance,4816213.83,Immediate,TAX583155775,2021-04-27
CUS0182,ACC0182,Leoni Tunisie,Tunisie,Industrie,2965762.13,Net 45,TAX722116070,2018-04-04
CUS0183,ACC0183,Poulina Group,Tunisie,Industrie,1328159.82,Net 30,TAX538712660,2021-08-07
CUS0184,ACC0184,Orange Tunisie,Tunisie,Telecom,3518941.28,Immediate,TAX851920005,2020-09-18
CUS0185,ACC0185,BH Bank,Tunisie,Finance,4274095.06,Net 30,TAX565177461,2018-09-25
CUS0186,ACC0186,Poulina Group,Tunisie,Industrie,2941998.2,Net 30,TAX380098706,2018-07-18
CUS0187,ACC0187,Ministere des Finances,Tunisie,Secteur Public,3125066.12,Net 30,TAX186751443,2022-04-12
CUS0188,ACC0188,Carthage Cement,Tunisie,Construction,180268.52,Net 60,TAX957297815,2020-07-25
CUS0189,ACC0189,Leoni Tunisie,Tunisie,Industrie,2641817.38,Immediate,TAX210197081,2021-01-04
CUS0190,ACC0190,SNCFT,Tunisie,Transport,1716775.62,Immediate,TAX990421111,2018-04-03
CUS0191,ACC0191,Star Assurance,Tunisie,Assurance,1824558.11,Immediate,TAX881571976,2022-04-15
CUS0192,ACC0192,CNSS,Tunisie,Secteur Public,1662672.24,Net 90,TAX182220259,2022-03-27
CUS0193,ACC0193,IBM Tunisie,Tunisie,Technology,2736956.74,Net 45,TAX553524380,2020-11-29
CUS0194,ACC0194,Star Assurance,Tunisie,Assurance,4721229.81,Net 30,TAX512702814,2021-04-30
CUS0195,ACC0195,BIAT Leasing,Tunisie,Finance,2482404.19,Net 90,TAX379988321,2019-11-10
CUS0196,ACC0196,Delice Danone,Tunisie,Agroalimentaire,2836726.86,Net 60,TAX319483775,2021-04-10
CUS0197,ACC0197,Total Energies TN,Tunisie,Energie,1456228.66,Net 60,TAX495069737,2018-02-08
CUS0198,ACC0198,UIB Banque,Tunisie,Finance,3072946.5,Immediate,TAX717920888,2021-12-16
CUS0199,ACC0199,Microsoft Tunisie,Tunisie,Technology,2609758.41,Net 30,TAX398756682,2020-07-30
CUS0200,ACC0200,GCT,Tunisie,Chimie,1654815.42,Net 30,TAX793329066,2019-09-02
