  erp_products  ·  500 lignes  ·  9 colonnes,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
PRD0031,Licence Microsoft 365 Business Premium,Productivite,2303.83,TND,QL-2440-WI,SUP0077,License,2020-04-14
PRD0032,Forfait Migration Donnees,Data Engineering,31299.71,TND,TN-9194-SQ,SUP0059,Each,2019-07-15
PRD0033,Parefeu Palo Alto PA-3430,Cybersecurite,38704.03,TND,LP-8919-RA,SUP0017,Pack,2019-05-31
PRD0034,Licence SAP S4HANA par utilisateur,ERP et Licences,10265.26,TND,OO-6780-DF,SUP0020,Month,2021-07-10
PRD0035,Licence ServiceNow ITSM annuel,ITSM Platform,26605.28,TND,WT-6578-NP,SUP0014,Pack,2022-01-01
PRD0036,Pentest Application Web,Cybersecurite,10922.86,TND,CV-8268-CP,SUP0003,Hour,2020-11-15
PRD0037,Audit Securite SI standard,Cybersecurite,21513.28,TND,ZZ-4006-HV,SUP0106,License,2022-04-08
PRD0038,Audit Securite SI standard,Cybersecurite,18260.61,TND,PN-9936-GB,SUP0039,Year,2022-03-23
PRD0039,Forfait Migration Donnees,Data Engineering,25620.38,TND,YL-8554-MW,SUP0034,Pack,2020-01-27
PRD0040,Journee Conseil Junior,Conseil et Prestation,731.45,TND,WQ-8576-NE,SUP0111,Hour,2021-01-11
PRD0041,Licence Power BI Premium,Data et Analytics,6150.48,TND,TW-4650-XW,SUP0083,Each,2019-11-17
PRD0042,Serveur Dell PowerEdge R760,Materiel Informatique,18811.46,TND,UH-9748-QQ,SUP0017,Pack,2021-08-22
PRD0043,Licence SAP S4HANA par utilisateur,ERP et Licences,12870.81,TND,QS-5703-AB,SUP0090,Pack,2021-09-16
PRD0044,Licence GitLab Ultimate annuel,Dev Tools,6492.24,TND,WK-3267-DG,SUP0020,Each,2020-03-28
PRD0045,Forfait Architecture Cloud AWS,Cloud Services,35858.32,TND,PC-5397-XQ,SUP0008,Each,2022-10-22
PRD0046,Serveur Dell PowerEdge R760,Materiel Informatique,16755.74,TND,YC-8538-EE,SUP0040,Each,2020-06-13
PRD0047,Journee Conseil Junior,Conseil et Prestation,783.78,TND,ZA-1188-QN,SUP0017,Month,2020-04-01
PRD0048,Journee Conseil Senior,Conseil et Prestation,1124.3,TND,TL-6016-EO,SUP0082,License,2022-08-18
PRD0049,Forfait Architecture Cloud AWS,Cloud Services,41838.02,TND,XM-8809-UC,SUP0046,License,2022-05-03
PRD0050,Forfait Architecture Cloud AWS,Cloud Services,35000.12,TND,TE-5934-MU,SUP0052,Pack,2019-01-22
PRD0051,Parefeu Palo Alto PA-3430,Cybersecurite,39235.96,TND,OO-1910-LV,SUP0053,Each,2022-08-13
PRD0052,Licence Power BI Premium,Data et Analytics,6220.38,TND,MV-6322-IR,SUP0007,Year,2020-08-04
PRD0053,Licence ServiceNow ITSM annuel,ITSM Platform,24099.2,TND,QP-2002-TL,SUP0047,Pack,2022-03-15
PRD0054,Audit Securite SI standard,Cybersecurite,19698.2,TND,GO-1314-HW,SUP0095,Year,2022-04-23
PRD0055,Licence Power BI Premium,Data et Analytics,5441.79,TND,NO-4644-IF,SUP0106,Month,2019-07-21
PRD0056,Licence ServiceNow ITSM annuel,ITSM Platform,25139.68,TND,GI-4411-BZ,SUP0055,Pack,2019-07-27
PRD0057,Serveur Dell PowerEdge R760,Materiel Informatique,17861.23,TND,YA-9826-JS,SUP0059,License,2019-04-23
PRD0058,Parefeu Palo Alto PA-3430,Cybersecurite,38202.2,TND,XK-3056-GD,SUP0013,Each,2021-09-25
PRD0059,Formation Data Science 3 jours,Formation,2548.44,TND,WB-5370-QS,SUP0035,License,2019-11-08
PRD0060,Journee Conseil Senior,Conseil et Prestation,1330.53,TND,CQ-7083-VW,SUP0017,Pack,2020-04-21
PRD0061,Audit Securite SI standard,Cybersecurite,15510.93,TND,MN-2493-VV,SUP0094,Pack,2019-02-13
PRD0062,Abonnement Datadog pro annuel,Monitoring,6241,TND,RP-5160-YZ,SUP0079,Year,2021-08-21
PRD0063,Licence Microsoft 365 Business Premium,Productivite,2582.62,TND,TJ-2986-XK,SUP0103,License,2019-12-22
PRD0064,Forfait Architecture Cloud AWS,Cloud Services,31546.94,TND,HG-8054-DK,SUP0109,Each,2022-10-06
PRD0065,Forfait Migration Donnees,Data Engineering,30258.59,TND,SG-3153-AU,SUP0059,Hour,2019-05-30
PRD0066,Switch Cisco Catalyst 9300,Reseau,8455.91,TND,IO-7314-NJ,SUP0084,Hour,2022-05-04
PRD0067,Licence Salesforce Sales Cloud,CRM et Licences,4804.32,TND,EF-7921-AY,SUP0006,Year,2022-04-29
PRD0068,Journee Conseil Senior,Conseil et Prestation,1266.69,TND,HT-2573-WT,SUP0077,License,2021-09-21
PRD0069,Journee Conseil Junior,Conseil et Prestation,776.03,TND,NF-5604-UX,SUP0085,Each,2021-03-01
PRD0070,Licence Power BI Premium,Data et Analytics,4755.99,TND,ZM-9776-TC,SUP0105,Year,2020-12-24
PRD0071,Journee Conseil Junior,Conseil et Prestation,765.12,TND,JA-7255-IK,SUP0072,Month,2019-11-25
PRD0072,Parefeu Palo Alto PA-3430,Cybersecurite,34048.49,TND,AY-8999-EA,SUP0082,Month,2019-08-18
PRD0073,Parefeu Palo Alto PA-3430,Cybersecurite,35817.57,TND,LJ-5632-AN,SUP0094,Year,2022-12-29
PRD0074,Abonnement Datadog pro annuel,Monitoring,7557.95,TND,KL-9526-TP,SUP0073,Pack,2019-07-31
PRD0075,Formation Data Science 3 jours,Formation,2418.06,TND,FL-2301-GM,SUP0073,Each,2021-06-09
PRD0076,Support et Maintenance Tiers 2 annuel,Maintenance,17984.97,TND,LB-6531-TX,SUP0011,Hour,2020-09-15
PRD0077,Audit Securite SI standard,Cybersecurite,17972.11,TND,PJ-7589-FH,SUP0119,Each,2021-10-28
PRD0078,Audit Securite SI standard,Cybersecurite,21799.47,TND,FY-1266-SD,SUP0068,Pack,2021-05-27
PRD0079,Abonnement Datadog pro annuel,Monitoring,8403.94,TND,US-8898-UA,SUP0026,Each,2021-02-14
PRD0080,Forfait Architecture Cloud AWS,Cloud Services,37854.92,TND,PE-7810-CH,SUP0062,Year,2019-11-11
PRD0081,Serveur Dell PowerEdge R760,Materiel Informatique,19715.58,TND,RD-7143-YH,SUP0042,Each,2022-09-09
PRD0082,Serveur Dell PowerEdge R760,Materiel Informatique,16053.56,TND,AZ-1597-RP,SUP0071,License,2022-03-09
PRD0083,Forfait Migration Donnees,Data Engineering,28449.16,TND,NM-6076-JK,SUP0002,License,2020-07-31
PRD0084,Switch Cisco Catalyst 9300,Reseau,9606.32,TND,BA-2302-HI,SUP0079,Pack,2022-06-20
PRD0085,Switch Cisco Catalyst 9300,Reseau,7291.42,TND,SC-7762-IH,SUP0097,Hour,2019-11-09
PRD0086,Licence Power BI Premium,Data et Analytics,4804.78,TND,JN-7186-EI,SUP0058,Pack,2022-07-18
PRD0087,Pentest Application Web,Cybersecurite,11359.89,TND,GD-5701-BJ,SUP0060,Hour,2019-07-29
PRD0088,Licence ServiceNow ITSM annuel,ITSM Platform,22775.56,TND,NT-5299-CN,SUP0081,License,2021-11-04
PRD0089,Formation Data Science 3 jours,Formation,2904.83,TND,LS-2880-WF,SUP0017,Hour,2021-12-15
PRD0090,Switch Cisco Catalyst 9300,Reseau,10012.41,TND,QA-7252-UK,SUP0042,License,2021-08-28
PRD0091,Licence SAP S4HANA par utilisateur,ERP et Licences,12797.02,TND,VW-5617-HE,SUP0019,License,2020-06-15
PRD0092,Abonnement Datadog pro annuel,Monitoring,6513.97,TND,VE-2155-GL,SUP0060,Each,2020-09-06
PRD0093,Abonnement Datadog pro annuel,Monitoring,6267.84,TND,VW-9732-AD,SUP0087,Hour,2022-07-16
PRD0094,Journee Conseil Senior,Conseil et Prestation,1307.99,TND,UP-5072-RK,SUP0050,Each,2019-02-20
PRD0095,Forfait Architecture Cloud AWS,Cloud Services,43307.13,TND,CN-3033-VV,SUP0103,Month,2019-09-14
PRD0096,Support et Maintenance Tiers 2 annuel,Maintenance,13536.6,TND,RD-5977-SK,SUP0071,Year,2020-03-08
PRD0097,Support et Maintenance Tiers 2 annuel,Maintenance,17279.36,TND,CC-2142-NC,SUP0110,Month,2022-07-21
PRD0098,Licence Microsoft 365 Business Premium,Productivite,2366.18,TND,IC-4792-EQ,SUP0057,Month,2022-10-01
PRD0099,Parefeu Palo Alto PA-3430,Cybersecurite,29791.16,TND,NK-5503-UU,SUP0116,Hour,2021-07-17
PRD0100,Formation Data Science 3 jours,Formation,2461.03,TND,LF-1356-FG,SUP0104,Pack,2021-03-09
PRD0101,Parefeu Palo Alto PA-3430,Cybersecurite,38387.03,TND,TL-8739-PU,SUP0059,Year,2020-07-02
PRD0102,Licence GitLab Ultimate annuel,Dev Tools,7020.61,TND,YG-9605-LP,SUP0030,License,2022-05-31
PRD0103,Formation Data Science 3 jours,Formation,2919.76,TND,ZP-2457-EQ,SUP0039,Each,2019-01-09
PRD0104,Journee Conseil Senior,Conseil et Prestation,1225.15,TND,TL-4829-YS,SUP0072,Each,2020-12-13
PRD0105,Forfait Architecture Cloud AWS,Cloud Services,39092.05,TND,RA-1438-ZP,SUP0083,Pack,2020-08-27
PRD0106,Parefeu Palo Alto PA-3430,Cybersecurite,35757.32,TND,FA-5728-AH,SUP0038,Month,2021-03-30
PRD0107,Formation SAP Certifiante 5 jours,Formation,5414.41,TND,JQ-9500-PN,SUP0067,Each,2021-08-15
PRD0108,Formation Data Science 3 jours,Formation,2484.12,TND,VA-1877-XL,SUP0060,Each,2019-05-28
PRD0109,Licence Microsoft 365 Business Premium,Productivite,2163.98,TND,QI-6078-PV,SUP0105,Each,2021-06-28
PRD0110,Switch Cisco Catalyst 9300,Reseau,7358.26,TND,BC-7932-VZ,SUP0036,Month,2019-02-18
PRD0111,Licence Microsoft 365 Business Premium,Productivite,1933.02,TND,HY-6843-IP,SUP0058,Pack,2020-04-10
PRD0112,Licence ServiceNow ITSM annuel,ITSM Platform,25212.27,TND,HO-7670-ZY,SUP0048,License,2020-04-13
PRD0113,Licence SAP S4HANA par utilisateur,ERP et Licences,13661.34,TND,AF-4836-JX,SUP0113,Each,2020-09-29
PRD0114,Licence Microsoft 365 Business Premium,Productivite,2379.35,TND,EQ-6701-FK,SUP0015,Year,2022-06-10
PRD0115,Abonnement Datadog pro annuel,Monitoring,7030.16,TND,CL-5971-TS,SUP0020,Pack,2021-11-03
PRD0116,Audit Securite SI standard,Cybersecurite,22348.42,TND,XU-6717-VJ,SUP0043,Year,2020-05-13
PRD0117,Support et Maintenance Tiers 2 annuel,Maintenance,12785.41,TND,VO-2515-GC,SUP0119,License,2020-07-14
PRD0118,Serveur Dell PowerEdge R760,Materiel Informatique,17545.65,TND,TX-7398-LA,SUP0001,Pack,2021-01-15
PRD0119,Forfait Architecture Cloud AWS,Cloud Services,39194.26,TND,FI-3052-DS,SUP0050,License,2020-11-25
PRD0120,Serveur Dell PowerEdge R760,Materiel Informatique,14931.39,TND,OE-7078-TK,SUP0052,License,2022-04-28
PRD0121,Licence Power BI Premium,Data et Analytics,5715.69,TND,CH-6368-JA,SUP0112,License,2022-05-12
PRD0122,Licence GitLab Ultimate annuel,Dev Tools,6681.14,TND,SZ-9863-ZK,SUP0096,Month,2019-11-06
PRD0123,Stockage NAS NetApp AFF A400,Stockage,44253.21,TND,WB-1390-QE,SUP0007,Each,2019-04-09
PRD0124,Journee Conseil Junior,Conseil et Prestation,623.2,TND,RT-2362-VL,SUP0054,Each,2022-04-13
PRD0125,Stockage NAS NetApp AFF A400,Stockage,58384.12,TND,GU-9425-CY,SUP0110,License,2019-01-03
PRD0126,Audit Securite SI standard,Cybersecurite,22106.81,TND,DT-9697-WR,SUP0049,Month,2022-07-02
PRD0127,Parefeu Palo Alto PA-3430,Cybersecurite,34152.2,TND,XS-7633-MF,SUP0120,License,2019-05-31
PRD0128,Licence Salesforce Sales Cloud,CRM et Licences,6100.41,TND,DR-8638-YG,SUP0053,Pack,2020-10-11
PRD0129,Licence SAP S4HANA par utilisateur,ERP et Licences,10284.69,TND,ZU-9688-OW,SUP0003,Hour,2020-03-12
PRD0130,Licence Salesforce Sales Cloud,CRM et Licences,6068.85,TND,VD-7298-BQ,SUP0092,License,2019-03-01
PRD0131,Abonnement Datadog pro annuel,Monitoring,7886.28,TND,DQ-4911-LE,SUP0117,Year,2022-06-02
PRD0132,Audit Securite SI standard,Cybersecurite,19059.23,TND,LA-4994-DU,SUP0086,Each,2022-12-31
PRD0133,Formation Data Science 3 jours,Formation,3423.14,TND,ZD-9743-DX,SUP0104,Hour,2021-07-19
PRD0134,Stockage NAS NetApp AFF A400,Stockage,43615.09,TND,GP-6257-VE,SUP0024,Pack,2020-01-14
PRD0135,Abonnement Datadog pro annuel,Monitoring,7495.01,TND,HN-5068-UT,SUP0055,Year,2022-01-15
PRD0136,Support et Maintenance Tiers 2 annuel,Maintenance,15125.52,TND,WB-4646-FL,SUP0004,Month,2022-12-20
PRD0137,Support et Maintenance Tiers 2 annuel,Maintenance,16807.01,TND,MV-6198-SP,SUP0085,Year,2019-04-25
PRD0138,Forfait Architecture Cloud AWS,Cloud Services,42794.75,TND,MM-1854-EJ,SUP0013,Year,2019-11-08
PRD0139,Licence SAP S4HANA par utilisateur,ERP et Licences,12636.16,TND,KG-3757-DE,SUP0093,Hour,2021-03-20
PRD0140,Abonnement Datadog pro annuel,Monitoring,7355.17,TND,NB-1109-EI,SUP0085,Month,2022-04-22
PRD0141,Licence SAP S4HANA par utilisateur,ERP et Licences,14567.55,TND,SZ-4204-PJ,SUP0063,Month,2020-10-08
PRD0142,Abonnement Datadog pro annuel,Monitoring,7494.58,TND,VG-8396-HC,SUP0009,Hour,2022-10-15
PRD0143,Forfait Architecture Cloud AWS,Cloud Services,32604.72,TND,FN-3431-YK,SUP0084,Hour,2021-06-01
PRD0144,Forfait Migration Donnees,Data Engineering,25431.42,TND,OS-3627-FA,SUP0002,Month,2019-03-29
PRD0145,Abonnement Datadog pro annuel,Monitoring,6413.62,TND,YS-3721-QZ,SUP0072,License,2021-11-13
PRD0146,Serveur Dell PowerEdge R760,Materiel Informatique,15043.56,TND,EC-8728-RN,SUP0026,Each,2019-12-18
PRD0147,Abonnement Datadog pro annuel,Monitoring,7033.99,TND,JX-9925-JE,SUP0061,License,2019-01-14
PRD0148,Formation Data Science 3 jours,Formation,3416.36,TND,OD-8699-GR,SUP0056,Year,2019-11-25
PRD0149,Forfait Migration Donnees,Data Engineering,28773.4,TND,XQ-6345-BQ,SUP0094,Pack,2020-12-24
PRD0150,Licence GitLab Ultimate annuel,Dev Tools,6691.37,TND,AJ-2323-AC,SUP0039,Year,2022-01-06
PRD0151,Licence SAP S4HANA par utilisateur,ERP et Licences,12883.66,TND,WF-1780-AK,SUP0058,License,2019-09-22
PRD0152,Licence GitLab Ultimate annuel,Dev Tools,5684.49,TND,RG-4119-RR,SUP0113,Year,2020-07-16
PRD0153,Stockage NAS NetApp AFF A400,Stockage,52240.28,TND,OZ-3319-WO,SUP0111,Month,2019-08-18
PRD0154,Abonnement Datadog pro annuel,Monitoring,7746.77,TND,KX-7984-PV,SUP0061,Year,2022-10-16
PRD0155,Licence GitLab Ultimate annuel,Dev Tools,5523.68,TND,AJ-5140-BA,SUP0013,Hour,2021-03-11
PRD0156,Licence Salesforce Sales Cloud,CRM et Licences,5443.08,TND,RH-6427-OC,SUP0094,Year,2019-07-14
PRD0157,Abonnement Datadog pro annuel,Monitoring,6141.94,TND,YV-3784-NP,SUP0038,Each,2019-09-01
PRD0158,Abonnement Datadog pro annuel,Monitoring,7943.99,TND,RZ-7683-PZ,SUP0054,Each,2020-02-04
PRD0159,Journee Conseil Junior,Conseil et Prestation,706.93,TND,IE-5006-SD,SUP0102,Month,2019-04-09
PRD0160,Audit Securite SI standard,Cybersecurite,20016.12,TND,ZQ-5983-GX,SUP0095,Each,2022-12-03
PRD0161,Formation SAP Certifiante 5 jours,Formation,3833.6,TND,IW-4251-PB,SUP0014,Each,2019-08-26
PRD0162,Formation Data Science 3 jours,Formation,2391.43,TND,IR-3974-MS,SUP0071,Month,2019-12-29
PRD0163,Licence Power BI Premium,Data et Analytics,5785.04,TND,LN-1306-ZA,SUP0117,Pack,2021-12-28
PRD0164,Stockage NAS NetApp AFF A400,Stockage,46552.88,TND,MV-8074-BX,SUP0108,Pack,2019-09-26
PRD0165,Formation Data Science 3 jours,Formation,3462.92,TND,YI-5833-RJ,SUP0113,License,2019-04-03
PRD0166,Forfait Migration Donnees,Data Engineering,30476.01,TND,KI-9125-PZ,SUP0012,Each,2022-10-25
PRD0167,Switch Cisco Catalyst 9300,Reseau,9374.54,TND,UF-6004-TM,SUP0019,Hour,2020-05-27
PRD0168,Forfait Migration Donnees,Data Engineering,24376.31,TND,CK-6843-ZO,SUP0117,Each,2019-08-12
PRD0169,Licence Salesforce Sales Cloud,CRM et Licences,6734.69,TND,EU-4300-JN,SUP0100,Hour,2019-05-05
PRD0170,Licence GitLab Ultimate annuel,Dev Tools,6900.91,TND,LR-2152-DN,SUP0074,Month,2022-04-16
PRD0171,Licence GitLab Ultimate annuel,Dev Tools,5350.3,TND,ZM-7396-XT,SUP0096,License,2022-03-17
PRD0172,Serveur Dell PowerEdge R760,Materiel Informatique,18468.6,TND,WV-3074-MQ,SUP0119,Pack,2022-11-26
PRD0173,Support et Maintenance Tiers 2 annuel,Maintenance,16527.94,TND,WF-9533-RT,SUP0113,Month,2022-10-17
PRD0174,Audit Securite SI standard,Cybersecurite,17209.23,TND,JQ-9390-KQ,SUP0070,Pack,2020-04-25
PRD0175,Formation Data Science 3 jours,Formation,2384.68,TND,BX-1140-QM,SUP0064,Month,2020-08-05
PRD0176,Journee Conseil Junior,Conseil et Prestation,718.94,TND,YQ-5869-UI,SUP0088,Year,2022-09-12
PRD0177,Licence Salesforce Sales Cloud,CRM et Licences,5228.07,TND,CZ-8403-KX,SUP0022,Year,2021-05-22
PRD0178,Formation Data Science 3 jours,Formation,2824.17,TND,IR-5877-TV,SUP0073,Each,2022-11-12
PRD0179,Support et Maintenance Tiers 2 annuel,Maintenance,17580.76,TND,GI-9444-FP,SUP0043,Year,2022-07-28
PRD0180,Abonnement Datadog pro annuel,Monitoring,6568.61,TND,PU-8031-JW,SUP0058,Month,2020-04-01
PRD0181,Licence Salesforce Sales Cloud,CRM et Licences,6538.32,TND,UB-8814-NZ,SUP0028,Pack,2022-10-18
PRD0182,Forfait Architecture Cloud AWS,Cloud Services,35955.79,TND,FZ-2603-UV,SUP0060,Hour,2019-07-12
PRD0183,Licence GitLab Ultimate annuel,Dev Tools,6575.24,TND,QM-9758-FP,SUP0020,License,2020-02-09
PRD0184,Journee Conseil Senior,Conseil et Prestation,1414.77,TND,XK-6571-DO,SUP0088,Each,2020-01-19
PRD0185,Audit Securite SI standard,Cybersecurite,22215.06,TND,DV-7432-IE,SUP0031,Pack,2022-11-23
PRD0186,Licence SAP S4HANA par utilisateur,ERP et Licences,14324.81,TND,LG-1878-EZ,SUP0032,Pack,2021-09-14
PRD0187,Pentest Application Web,Cybersecurite,10653.22,TND,PX-4981-SI,SUP0045,Year,2021-07-13
PRD0188,Formation Data Science 3 jours,Formation,3228.18,TND,KM-2206-FZ,SUP0034,Pack,2022-02-28
PRD0189,Formation SAP Certifiante 5 jours,Formation,5499.08,TND,CE-5084-YP,SUP0082,License,2021-09-05
PRD0190,Journee Conseil Senior,Conseil et Prestation,1374.01,TND,LK-3520-ED,SUP0070,Year,2020-04-30
PRD0191,Formation SAP Certifiante 5 jours,Formation,4112.35,TND,KS-5068-RY,SUP0048,Pack,2020-10-25
PRD0192,Formation SAP Certifiante 5 jours,Formation,5208.94,TND,ZF-6453-LM,SUP0063,Month,2022-05-25
PRD0193,Licence Salesforce Sales Cloud,CRM et Licences,4701.32,TND,QM-4140-OP,SUP0034,Year,2021-04-21
PRD0194,Pentest Application Web,Cybersecurite,8646.74,TND,TG-7177-SZ,SUP0107,License,2021-05-18
PRD0195,Licence SAP S4HANA par utilisateur,ERP et Licences,11282.13,TND,EB-8276-JI,SUP0003,Hour,2019-08-02
PRD0196,Formation Data Science 3 jours,Formation,3230.56,TND,QX-1389-XB,SUP0044,Year,2019-08-09
PRD0197,Forfait Architecture Cloud AWS,Cloud Services,29764.67,TND,WG-1543-LP,SUP0115,License,2019-08-23
PRD0198,Abonnement Datadog pro annuel,Monitoring,6443.12,TND,QR-4788-PQ,SUP0108,Each,2022-05-06
PRD0199,Forfait Architecture Cloud AWS,Cloud Services,34147.46,TND,QD-1040-WF,SUP0062,Each,2019-11-23
PRD0200,Support et Maintenance Tiers 2 annuel,Maintenance,17200.71,TND,BO-3380-NQ,SUP0057,Year,2020-07-26
PRD0201,Support et Maintenance Tiers 2 annuel,Maintenance,15620.64,TND,HO-9044-TN,SUP0057,License,2022-01-26
PRD0202,Licence ServiceNow ITSM annuel,ITSM Platform,22254.14,TND,ER-1422-YZ,SUP0022,Hour,2022-03-27
PRD0203,Journee Conseil Junior,Conseil et Prestation,683.16,TND,KK-9245-PD,SUP0113,Pack,2021-10-02
PRD0204,Licence Power BI Premium,Data et Analytics,5586.12,TND,VV-7989-XY,SUP0057,License,2022-11-23
PRD0205,Licence ServiceNow ITSM annuel,ITSM Platform,23147.48,TND,EL-8422-OS,SUP0061,Hour,2022-01-26
PRD0206,Pentest Application Web,Cybersecurite,9786.33,TND,VS-5466-KM,SUP0059,Each,2021-06-07
PRD0207,Audit Securite SI standard,Cybersecurite,15745.49,TND,NL-3509-OE,SUP0067,Each,2022-05-11
PRD0208,Parefeu Palo Alto PA-3430,Cybersecurite,33470.18,TND,XR-2166-ST,SUP0033,Each,2021-06-15
PRD0209,Support et Maintenance Tiers 2 annuel,Maintenance,15609.6,TND,MQ-7950-AK,SUP0092,Hour,2022-01-16
PRD0210,Formation SAP Certifiante 5 jours,Formation,4565.94,TND,RZ-7576-JZ,SUP0112,Month,2021-01-23
PRD0211,Forfait Architecture Cloud AWS,Cloud Services,33480.89,TND,ED-3854-TZ,SUP0018,Month,2022-11-03
PRD0212,Licence Power BI Premium,Data et Analytics,5892.6,TND,HV-1295-CP,SUP0079,Month,2022-10-26
PRD0213,Formation Data Science 3 jours,Formation,2782.29,TND,AS-8721-AN,SUP0093,Year,2021-03-30
PRD0214,Audit Securite SI standard,Cybersecurite,16389.16,TND,EM-2695-SB,SUP0106,Pack,2019-04-30
PRD0215,Forfait Architecture Cloud AWS,Cloud Services,43638.5,TND,OJ-8252-PL,SUP0020,Year,2020-08-24
PRD0216,Stockage NAS NetApp AFF A400,Stockage,41377.49,TND,ZC-1008-BM,SUP0105,Each,2021-10-13
PRD0217,Journee Conseil Junior,Conseil et Prestation,782.32,TND,EJ-3434-JH,SUP0061,License,2022-11-06
PRD0218,Stockage NAS NetApp AFF A400,Stockage,42467.12,TND,AA-3820-QX,SUP0047,Month,2022-05-20
PRD0219,Forfait Migration Donnees,Data Engineering,28146.99,TND,SR-6468-QW,SUP0055,Pack,2022-05-03
PRD0220,Stockage NAS NetApp AFF A400,Stockage,57968.78,TND,TJ-7284-RR,SUP0098,Year,2020-06-12
PRD0221,Support et Maintenance Tiers 2 annuel,Maintenance,12833.65,TND,HJ-4460-LB,SUP0102,Year,2021-01-20
PRD0222,Audit Securite SI standard,Cybersecurite,20642.72,TND,GY-4764-WU,SUP0102,Hour,2022-03-20
PRD0223,Licence GitLab Ultimate annuel,Dev Tools,6284.87,TND,TX-1078-VI,SUP0064,Each,2021-07-26
PRD0224,Serveur Dell PowerEdge R760,Materiel Informatique,17268.05,TND,JH-7405-NC,SUP0035,Month,2022-06-07
PRD0225,Forfait Architecture Cloud AWS,Cloud Services,43553.48,TND,VI-7566-ET,SUP0087,Pack,2021-06-28
