  erp_po_lines  ·  1210 lignes  ·  10 colonnes,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
POL00183,PO00092,PRD0464,16,30232.19,483715.02,15,TND,2023-08-09,Rush order
POL00184,PO00093,PRD0458,19,962.2,18281.78,10,TND,2022-01-30,Quality check required
POL00185,PO00093,PRD0414,34,22429.9,762616.45,25,TND,2022-01-30,
POL00186,PO00093,PRD0354,7,394.85,2763.98,6,TND,2022-01-30,Rush order
POL00187,PO00094,PRD0193,21,6647.22,139591.55,19,TND,2022-05-10,Quality check required
POL00188,PO00094,PRD0197,33,5786.59,190957.55,32,TND,2022-05-10,Rush order
POL00189,PO00094,PRD0280,33,7054.4,232795.33,0,TND,2022-05-10,
POL00190,PO00095,PRD0174,27,4286.14,115725.68,18,TND,2023-06-27,
POL00191,PO00095,PRD0053,31,4758.23,147505.28,17,TND,2023-06-27,
POL00192,PO00095,PRD0198,5,2568.58,12842.9,4,TND,2023-06-27,
POL00193,PO00096,PRD0137,39,19223.25,749706.81,32,TND,2023-06-01,
POL00194,PO00097,PRD0022,21,26403.46,554472.58,12,TND,2022-05-04,Quality check required
POL00195,PO00097,PRD0451,38,14956.8,568358.43,28,TND,2022-05-04,
POL00196,PO00097,PRD0224,32,1643.94,52606.02,1,TND,2022-05-04,
POL00197,PO00098,PRD0046,18,7577.35,136392.34,3,TND,2022-10-26,
POL00198,PO00099,PRD0128,43,9721.24,418013.24,40,TND,2024-05-14,
POL00199,PO00099,PRD0184,18,585.36,10536.41,13,TND,2024-05-14,
POL00200,PO00099,PRD0339,35,21773.16,762060.69,26,TND,2024-05-14,
POL00201,PO00100,PRD0096,21,26826.11,563348.25,10,TND,2023-07-01,
POL00202,PO00100,PRD0128,30,8917.2,267515.95,10,TND,2023-07-01,
POL00203,PO00101,PRD0185,22,38817.88,853993.26,9,TND,2022-11-21,Quality check required
POL00204,PO00102,PRD0135,11,7496.9,82465.95,6,TND,2022-09-29,Rush order
POL00205,PO00103,PRD0017,22,21698.17,477359.7,0,TND,2022-03-18,
POL00206,PO00103,PRD0447,9,26201.93,235817.38,7,TND,2022-03-18,Quality check required
POL00207,PO00103,PRD0099,9,17456.39,157107.49,8,TND,2022-03-18,
POL00208,PO00104,PRD0133,39,22842.11,890842.45,2,TND,2023-12-12,
POL00209,PO00104,PRD0305,5,13665.41,68327.05,3,TND,2023-12-12,Quality check required
POL00210,PO00104,PRD0276,14,13738.54,192339.58,1,TND,2023-12-12,Rush order
POL00211,PO00105,PRD0227,38,3402.73,129303.66,6,TND,2025-01-08,
POL00212,PO00106,PRD0319,45,34079.58,1533581.03,24,TND,2023-04-27,Rush order
POL00213,PO00106,PRD0095,44,26866.33,1182118.72,42,TND,2023-04-27,
POL00214,PO00107,PRD0413,42,27360.57,1149144,25,TND,2022-05-29,
POL00215,PO00107,PRD0469,24,6411.4,153873.57,16,TND,2022-05-29,Quality check required
POL00216,PO00107,PRD0128,49,9101.98,445996.98,5,TND,2022-05-29,Rush order
POL00217,PO00108,PRD0302,47,4442.4,208792.62,3,TND,2024-07-15,
POL00218,PO00108,PRD0134,13,25802.79,335436.3,11,TND,2024-07-15,
POL00219,PO00109,PRD0093,35,34038.7,1191354.47,23,TND,2023-05-16,
POL00220,PO00109,PRD0030,29,19674.55,570561.99,28,TND,2023-05-16,
POL00221,PO00109,PRD0433,9,18188.9,163700.13,7,TND,2023-05-16,
POL00222,PO00110,PRD0350,43,4472.41,192313.49,34,TND,2022-04-07,
POL00223,PO00110,PRD0373,18,19608.62,352955.11,13,TND,2022-04-07,Rush order
POL00224,PO00111,PRD0211,46,23146.12,1064721.49,8,TND,2024-10-08,
POL00225,PO00112,PRD0297,8,3648.2,29185.6,6,TND,2023-05-08,Quality check required
POL00226,PO00112,PRD0134,6,24510.07,147060.42,4,TND,2023-05-08,
POL00227,PO00112,PRD0168,13,21357.98,277653.73,4,TND,2023-05-08,
POL00228,PO00113,PRD0129,29,4343.5,125961.38,12,TND,2023-02-18,Rush order
POL00229,PO00113,PRD0092,40,20046.05,801841.83,39,TND,2023-02-18,Quality check required
POL00230,PO00113,PRD0025,31,6430.45,199343.92,3,TND,2023-02-18,Rush order
POL00231,PO00114,PRD0135,24,7141.46,171394.94,10,TND,2022-12-27,Quality check required
POL00232,PO00114,PRD0083,36,17578.39,632822.11,28,TND,2022-12-27,Rush order
POL00233,PO00115,PRD0457,24,19909.98,477839.59,24,TND,2023-01-30,Rush order
POL00234,PO00115,PRD0015,17,8563.02,145571.34,16,TND,2023-01-30,
POL00235,PO00115,PRD0293,13,21775.42,283080.48,3,TND,2023-01-30,Rush order
POL00236,PO00116,PRD0410,13,26720.69,347368.94,13,TND,2024-05-12,
POL00237,PO00116,PRD0208,26,36718.72,954686.7,22,TND,2024-05-12,Rush order
POL00238,PO00117,PRD0056,26,30324.4,788434.35,19,TND,2024-08-04,
POL00239,PO00118,PRD0118,49,3528.27,172885.1,43,TND,2024-02-08,Quality check required
POL00240,PO00118,PRD0474,16,8912.63,142602.16,3,TND,2024-02-08,
POL00241,PO00119,PRD0151,33,3860.04,127381.36,27,TND,2023-06-17,Quality check required
POL00242,PO00120,PRD0337,25,24550.51,613762.63,19,TND,2022-03-21,
POL00243,PO00120,PRD0243,11,20595.01,226545.09,1,TND,2022-03-21,
POL00244,PO00120,PRD0160,11,17016.08,187176.84,1,TND,2022-03-21,Rush order
POL00245,PO00121,PRD0418,38,23801.17,904444.52,24,TND,2025-01-23,
POL00246,PO00121,PRD0490,39,9355.2,364852.93,0,TND,2025-01-23,
POL00247,PO00121,PRD0129,38,4659.27,177052.44,25,TND,2025-01-23,Quality check required
POL00248,PO00122,PRD0254,10,26678.67,266786.69,2,TND,2022-03-17,
POL00249,PO00122,PRD0287,27,15040.88,406103.72,14,TND,2022-03-17,
POL00250,PO00122,PRD0066,22,6054.1,133190.3,14,TND,2022-03-17,
POL00251,PO00123,PRD0210,45,7710.6,346977,27,TND,2022-06-04,
POL00252,PO00123,PRD0406,12,1861.87,22342.44,2,TND,2022-06-04,
POL00253,PO00123,PRD0135,21,7752.72,162807.17,7,TND,2022-06-04,Quality check required
POL00254,PO00124,PRD0117,42,15264.23,641097.84,24,TND,2023-04-25,
POL00255,PO00124,PRD0221,40,2368.85,94754,22,TND,2023-04-25,
POL00256,PO00125,PRD0136,24,29591.22,710189.23,4,TND,2022-05-05,
POL00257,PO00125,PRD0486,49,11852.38,580766.44,48,TND,2022-05-05,
POL00258,PO00126,PRD0167,22,31687.48,697124.66,1,TND,2025-03-02,
POL00259,PO00126,PRD0450,32,34693.12,1110179.73,16,TND,2025-03-02,Rush order
POL00260,PO00126,PRD0130,23,35092.03,807116.61,20,TND,2025-03-02,Quality check required
POL00261,PO00127,PRD0379,9,33937.16,305434.4,1,TND,2022-06-19,
POL00262,PO00127,PRD0075,14,23896.25,334547.56,14,TND,2022-06-19,Quality check required
POL00263,PO00128,PRD0395,36,9637.16,346937.83,5,TND,2022-08-14,Quality check required
POL00264,PO00128,PRD0276,30,11949.78,358493.46,24,TND,2022-08-14,
POL00265,PO00129,PRD0341,46,23697.2,1090070.99,43,TND,2022-08-07,
POL00266,PO00130,PRD0087,40,4985.58,199423.04,34,TND,2022-10-25,Quality check required
POL00267,PO00130,PRD0016,9,25533.35,229800.17,7,TND,2022-10-25,Rush order
POL00268,PO00131,PRD0007,9,8466.53,76198.77,9,TND,2022-04-12,Quality check required
POL00269,PO00131,PRD0336,7,17681.37,123769.6,4,TND,2022-04-12,Rush order
POL00270,PO00131,PRD0278,17,3201.62,54427.56,1,TND,2022-04-12,Quality check required
POL00271,PO00132,PRD0406,37,2315.51,85674,9,TND,2024-01-20,Rush order
POL00272,PO00132,PRD0118,19,4421.3,84004.72,10,TND,2024-01-20,
POL00273,PO00132,PRD0167,5,38107.37,190536.86,0,TND,2024-01-20,
POL00274,PO00133,PRD0036,35,26312.07,920922.3,32,TND,2024-08-05,Rush order
POL00275,PO00133,PRD0367,9,18644.89,167803.99,6,TND,2024-08-05,Rush order
POL00276,PO00133,PRD0447,22,31935.33,702577.23,8,TND,2024-08-05,Rush order
POL00277,PO00134,PRD0490,8,10439.81,83518.45,8,TND,2023-12-13,
POL00278,PO00134,PRD0185,28,37730.98,1056467.37,22,TND,2023-12-13,
POL00279,PO00134,PRD0134,44,29699.6,1306782.49,13,TND,2023-12-13,Quality check required
POL00280,PO00135,PRD0402,48,8561.32,410943.41,41,TND,2024-05-24,Rush order
POL00281,PO00135,PRD0283,43,26514.25,1140112.82,7,TND,2024-05-24,
POL00282,PO00135,PRD0055,37,11884.26,439717.52,32,TND,2024-05-24,Rush order
POL00283,PO00136,PRD0377,42,21256.6,892777.17,27,TND,2023-03-21,
POL00284,PO00136,PRD0198,14,2550.8,35711.14,14,TND,2023-03-21,
POL00285,PO00136,PRD0412,25,3107.08,77676.9,15,TND,2023-03-21,
POL00286,PO00137,PRD0069,33,16066.63,530198.83,8,TND,2023-05-28,Rush order
POL00287,PO00137,PRD0429,7,17909.7,125367.88,1,TND,2023-05-28,
POL00288,PO00137,PRD0246,29,31863.25,924034.33,22,TND,2023-05-28,Rush order
POL00289,PO00138,PRD0138,18,4889.83,88016.89,17,TND,2023-01-03,
POL00290,PO00139,PRD0231,41,10123.94,415081.51,6,TND,2024-02-10,
POL00291,PO00139,PRD0084,46,30673.11,1410963.24,42,TND,2024-02-10,
POL00292,PO00139,PRD0267,30,31254.71,937641.45,29,TND,2024-02-10,
POL00293,PO00140,PRD0108,8,9477.21,75817.68,8,TND,2024-09-18,
POL00294,PO00140,PRD0089,12,12235.67,146828.01,0,TND,2024-09-18,
POL00295,PO00140,PRD0265,19,24674.06,468807.07,5,TND,2024-09-18,
POL00296,PO00141,PRD0033,29,3894.73,112947.26,14,TND,2022-05-18,Quality check required
POL00297,PO00142,PRD0059,37,12632.29,467394.57,35,TND,2022-03-15,Quality check required
POL00298,PO00142,PRD0024,12,29054.16,348649.92,0,TND,2022-03-15,
POL00299,PO00143,PRD0419,28,12185.26,341187.38,12,TND,2024-07-12,
POL00300,PO00144,PRD0032,40,2792.97,111718.76,18,TND,2024-08-16,Rush order
POL00301,PO00144,PRD0470,46,32573.66,1498388.28,5,TND,2024-08-16,
POL00302,PO00145,PRD0387,31,26463.87,820379.97,8,TND,2024-11-02,
POL00303,PO00145,PRD0025,31,6145.8,190519.82,20,TND,2024-11-02,
POL00304,PO00145,PRD0403,17,3514.64,59748.87,0,TND,2024-11-02,Quality check required
POL00305,PO00146,PRD0469,22,5138.14,113038.97,10,TND,2024-09-20,
POL00306,PO00146,PRD0094,9,29666.05,266994.44,5,TND,2024-09-20,
POL00307,PO00147,PRD0024,47,31621.59,1486214.75,24,TND,2023-07-27,Quality check required
POL00308,PO00147,PRD0224,9,1462.07,13158.64,0,TND,2023-07-27,Quality check required
POL00309,PO00147,PRD0222,24,38771.41,930513.83,2,TND,2023-07-27,
POL00310,PO00148,PRD0431,23,23873.81,549097.74,0,TND,2024-03-09,Quality check required
POL00311,PO00148,PRD0457,11,20593.77,226531.45,6,TND,2024-03-09,
POL00312,PO00148,PRD0483,42,7593.05,318908.15,17,TND,2024-03-09,
POL00313,PO00149,PRD0022,28,31799.64,890389.88,24,TND,2024-04-10,
POL00314,PO00149,PRD0268,32,12725.8,407225.74,26,TND,2024-04-10,
POL00315,PO00150,PRD0151,29,4464.6,129473.34,17,TND,2024-01-16,
POL00316,PO00151,PRD0319,34,28281.1,961557.57,0,TND,2023-07-31,
POL00317,PO00151,PRD0208,32,30088.73,962839.23,7,TND,2023-07-31,Quality check required
POL00318,PO00151,PRD0082,48,20136.41,966547.7,42,TND,2023-07-31,Quality check required
POL00319,PO00152,PRD0038,42,4215.01,177030.53,27,TND,2024-05-19,
POL00320,PO00152,PRD0187,9,13598.65,122387.89,9,TND,2024-05-19,Quality check required
