  erp_purchase_orders  ·  600 lignes  ·  9 colonnes,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
PO00049,SUP0109,2022-09-06,2022-09-24,100362,Received,EMP0020,TND,London-Heathrow
PO00050,SUP0001,2022-10-26,2023-01-04,30716.25,Draft,EMP0140,TND,Madrid-Central
PO00051,SUP0105,2023-10-20,2023-11-25,61526.94,Draft,EMP0141,TND,Dubai-Jebel Ali
PO00052,SUP0093,2024-06-13,2024-07-01,148458.5,Received,EMP0033,TND,Milan-North
PO00053,SUP0105,2023-04-17,2023-05-31,82686.88,Draft,EMP0004,TND,Zurich-Center
PO00054,SUP0101,2023-05-02,2023-05-25,166963.84,Cancelled,EMP0026,TND,Madrid-Central
PO00055,SUP0004,2022-05-01,2022-07-30,123009.09,Cancelled,EMP0030,TND,London-Heathrow
PO00056,SUP0091,2024-07-14,2024-08-11,198800.22,Cancelled,EMP0035,TND,London-Heathrow
PO00057,SUP0067,2024-11-23,2025-02-02,171808.82,Approved,EMP0020,TND,Milan-North
PO00058,SUP0080,2023-06-11,2023-07-14,160503.35,Approved,EMP0050,TND,Madrid-Central
PO00059,SUP0106,2023-11-09,2023-11-28,31432.54,Received,EMP0067,TND,London-Heathrow
PO00060,SUP0032,2024-09-08,2024-11-29,187495.35,Received,EMP0101,TND,New York-NJ
PO00061,SUP0071,2023-07-25,2023-08-16,175987.87,Draft,EMP0086,TND,Frankfurt-Main
PO00062,SUP0073,2022-12-17,2023-01-17,140370.1,Received,EMP0038,TND,Madrid-Central
PO00063,SUP0003,2023-01-23,2023-04-01,99556.4,Received,EMP0133,TND,Amsterdam-Port
PO00064,SUP0059,2024-02-29,2024-05-11,102504.56,Draft,EMP0127,TND,Paris-CDG
PO00065,SUP0089,2024-11-11,2024-12-12,51785.92,Draft,EMP0129,TND,Zurich-Center
PO00066,SUP0082,2023-04-02,2023-05-31,18482.4,Submitted,EMP0049,TND,Frankfurt-Main
PO00067,SUP0059,2023-12-29,2024-03-25,37326.12,Cancelled,EMP0047,TND,Amsterdam-Port
PO00068,SUP0050,2024-06-04,2024-06-28,166068.49,Received,EMP0042,TND,Paris-CDG
PO00069,SUP0058,2022-06-18,2022-07-21,118746.83,Approved,EMP0030,TND,London-Heathrow
PO00070,SUP0083,2024-02-21,2024-04-26,13473.26,Cancelled,EMP0108,TND,Zurich-Center
PO00071,SUP0100,2024-05-16,2024-06-13,195555.28,Draft,EMP0142,TND,Madrid-Central
PO00072,SUP0087,2022-01-04,2022-02-17,125707.4,Cancelled,EMP0047,TND,Singapore-Hub
PO00073,SUP0115,2024-03-11,2024-05-25,44837.97,Received,EMP0006,TND,Dubai-Jebel Ali
PO00074,SUP0030,2024-05-04,2024-06-13,45271.71,Cancelled,EMP0089,TND,Paris-CDG
PO00075,SUP0051,2024-03-12,2024-05-16,129267.98,Received,EMP0110,TND,Paris-CDG
PO00076,SUP0046,2023-11-29,2023-12-15,106172.94,Draft,EMP0010,TND,Milan-North
PO00077,SUP0087,2022-04-10,2022-04-30,110582.95,Draft,EMP0107,TND,Zurich-Center
PO00078,SUP0047,2023-01-18,2023-02-07,138984.55,Cancelled,EMP0130,TND,Paris-CDG
PO00079,SUP0048,2023-12-21,2024-02-28,185769.08,Approved,EMP0020,TND,Zurich-Center
PO00080,SUP0100,2023-08-13,2023-09-04,169156.21,Approved,EMP0055,TND,New York-NJ
PO00081,SUP0051,2022-05-15,2022-06-04,75616.79,Submitted,EMP0150,TND,Zurich-Center
PO00082,SUP0057,2022-03-28,2022-06-01,20258.02,Draft,EMP0130,TND,Frankfurt-Main
PO00083,SUP0079,2023-09-28,2023-12-19,43677.89,Received,EMP0134,TND,Madrid-Central
PO00084,SUP0031,2022-01-30,2022-03-02,167841.89,Draft,EMP0116,TND,Singapore-Hub
PO00085,SUP0073,2023-07-26,2023-08-20,194868.48,Received,EMP0112,TND,Singapore-Hub
PO00086,SUP0048,2023-11-13,2023-11-29,193870.83,Draft,EMP0072,TND,Amsterdam-Port
PO00087,SUP0044,2024-10-08,2024-11-16,148086.49,Draft,EMP0086,TND,Singapore-Hub
PO00088,SUP0083,2023-12-27,2024-01-26,178840.37,Cancelled,EMP0083,TND,Paris-CDG
PO00089,SUP0106,2023-05-23,2023-08-16,79945.17,Submitted,EMP0150,TND,Paris-CDG
PO00090,SUP0055,2023-03-13,2023-05-29,59645.22,Received,EMP0114,TND,Milan-North
PO00091,SUP0061,2024-03-21,2024-05-21,170978.2,Approved,EMP0020,TND,Milan-North
PO00092,SUP0034,2023-05-24,2023-08-09,58322.01,Cancelled,EMP0035,TND,Singapore-Hub
PO00093,SUP0067,2022-01-03,2022-01-30,35814.5,Received,EMP0140,TND,Paris-CDG
PO00094,SUP0027,2022-02-22,2022-05-10,108875.12,Draft,EMP0030,TND,Paris-CDG
PO00095,SUP0082,2023-05-26,2023-06-27,160836.25,Draft,EMP0129,TND,London-Heathrow
PO00096,SUP0033,2023-05-06,2023-06-01,162922.9,Received,EMP0003,TND,Zurich-Center
PO00097,SUP0074,2022-02-20,2022-05-04,70804.26,Cancelled,EMP0137,TND,Milan-North
PO00098,SUP0114,2022-08-22,2022-10-26,80920.01,Cancelled,EMP0005,TND,Singapore-Hub
PO00099,SUP0034,2024-03-22,2024-05-14,54640.52,Cancelled,EMP0013,TND,Madrid-Central
PO00100,SUP0101,2023-04-03,2023-07-01,59208.06,Received,EMP0020,TND,New York-NJ
PO00101,SUP0017,2022-10-17,2022-11-21,197067.77,Received,EMP0034,TND,New York-NJ
PO00102,SUP0003,2022-08-03,2022-09-29,55176.34,Draft,EMP0044,TND,New York-NJ
PO00103,SUP0096,2022-02-09,2022-03-18,105598.13,Approved,EMP0106,TND,Milan-North
PO00104,SUP0075,2023-11-10,2023-12-12,180761.86,Cancelled,EMP0082,TND,New York-NJ
PO00105,SUP0104,2024-11-04,2025-01-08,180838.73,Cancelled,EMP0148,TND,Amsterdam-Port
PO00106,SUP0086,2023-01-29,2023-04-27,91058.18,Approved,EMP0091,TND,Amsterdam-Port
PO00107,SUP0069,2022-05-10,2022-05-29,36892.62,Cancelled,EMP0076,TND,Dubai-Jebel Ali
PO00108,SUP0053,2024-06-21,2024-07-15,157409.29,Approved,EMP0078,TND,Madrid-Central
PO00109,SUP0094,2023-04-04,2023-05-16,134585.85,Received,EMP0060,TND,New York-NJ
PO00110,SUP0080,2022-03-17,2022-04-07,103393.9,Received,EMP0087,TND,Amsterdam-Port
PO00111,SUP0078,2024-08-16,2024-10-08,89671.86,Submitted,EMP0027,TND,Dubai-Jebel Ali
PO00112,SUP0084,2023-03-23,2023-05-08,37584.87,Cancelled,EMP0005,TND,Paris-CDG
PO00113,SUP0037,2022-11-21,2023-02-18,34856.14,Received,EMP0138,TND,Milan-North
PO00114,SUP0109,2022-11-18,2022-12-27,60489.76,Draft,EMP0082,TND,Frankfurt-Main
PO00115,SUP0015,2022-11-23,2023-01-30,99403.98,Draft,EMP0134,TND,Zurich-Center
PO00116,SUP0006,2024-04-17,2024-05-12,5906.87,Received,EMP0082,TND,Dubai-Jebel Ali
PO00117,SUP0065,2024-07-01,2024-08-04,141724.81,Submitted,EMP0095,TND,New York-NJ
PO00118,SUP0071,2024-01-09,2024-02-08,151581.26,Submitted,EMP0143,TND,Milan-North
PO00119,SUP0090,2023-05-29,2023-06-17,126334.81,Approved,EMP0076,TND,Milan-North
PO00120,SUP0089,2022-02-06,2022-03-21,176491.93,Cancelled,EMP0103,TND,Amsterdam-Port
PO00121,SUP0114,2024-12-15,2025-01-23,149807.63,Received,EMP0100,TND,Zurich-Center
PO00122,SUP0067,2022-02-16,2022-03-17,199792.78,Approved,EMP0136,TND,New York-NJ
PO00123,SUP0018,2022-03-31,2022-06-04,159143.84,Submitted,EMP0047,TND,Dubai-Jebel Ali
PO00124,SUP0111,2023-04-02,2023-04-25,70221.56,Submitted,EMP0006,TND,Singapore-Hub
PO00125,SUP0060,2022-02-04,2022-05-05,159985.73,Draft,EMP0011,TND,Madrid-Central
PO00126,SUP0090,2024-12-15,2025-03-02,104244.39,Draft,EMP0020,TND,Milan-North
PO00127,SUP0066,2022-05-08,2022-06-19,182581.5,Submitted,EMP0071,TND,Milan-North
PO00128,SUP0023,2022-05-25,2022-08-14,31495.59,Approved,EMP0089,TND,Madrid-Central
PO00129,SUP0066,2022-06-28,2022-08-07,41461.73,Received,EMP0144,TND,Dubai-Jebel Ali
PO00130,SUP0039,2022-08-10,2022-10-25,151047.08,Approved,EMP0038,TND,Milan-North
PO00131,SUP0059,2022-02-18,2022-04-12,46029.96,Submitted,EMP0012,TND,Amsterdam-Port
PO00132,SUP0106,2023-12-30,2024-01-20,130772.28,Draft,EMP0114,TND,Dubai-Jebel Ali
PO00133,SUP0058,2024-05-26,2024-08-05,173698.38,Approved,EMP0001,TND,Paris-CDG
PO00134,SUP0025,2023-10-20,2023-12-13,97864.08,Received,EMP0016,TND,Amsterdam-Port
PO00135,SUP0110,2024-03-14,2024-05-24,43377.73,Received,EMP0018,TND,Madrid-Central
PO00136,SUP0033,2023-01-06,2023-03-21,57606.48,Approved,EMP0024,TND,New York-NJ
PO00137,SUP0020,2023-04-04,2023-05-28,88473.74,Draft,EMP0071,TND,Dubai-Jebel Ali
PO00138,SUP0090,2022-11-17,2023-01-03,131211.41,Received,EMP0078,TND,Dubai-Jebel Ali
PO00139,SUP0010,2023-12-02,2024-02-10,106443.89,Received,EMP0093,TND,Singapore-Hub
PO00140,SUP0026,2024-08-28,2024-09-18,152969.59,Draft,EMP0067,TND,New York-NJ
PO00141,SUP0011,2022-03-02,2022-05-18,134600.38,Draft,EMP0097,TND,Madrid-Central
PO00142,SUP0115,2022-02-22,2022-03-15,14157.62,Cancelled,EMP0040,TND,Milan-North
PO00143,SUP0087,2024-04-24,2024-07-12,158434.07,Approved,EMP0110,TND,London-Heathrow
PO00144,SUP0067,2024-07-02,2024-08-16,125922.5,Cancelled,EMP0122,TND,Singapore-Hub
PO00145,SUP0049,2024-09-07,2024-11-02,53620.14,Submitted,EMP0058,TND,Madrid-Central
PO00146,SUP0098,2024-08-22,2024-09-20,58057.76,Draft,EMP0050,TND,Singapore-Hub
PO00147,SUP0085,2023-07-13,2023-07-27,156351.98,Cancelled,EMP0042,TND,New York-NJ
PO00148,SUP0103,2023-12-31,2024-03-09,192894.05,Submitted,EMP0146,TND,Amsterdam-Port
PO00149,SUP0062,2024-02-10,2024-04-10,78921.67,Received,EMP0095,TND,Madrid-Central
PO00150,SUP0087,2023-11-30,2024-01-16,4747.45,Approved,EMP0150,TND,Dubai-Jebel Ali
PO00151,SUP0078,2023-05-21,2023-07-31,73527.25,Approved,EMP0085,TND,Amsterdam-Port
PO00152,SUP0085,2024-03-28,2024-05-19,126419.24,Submitted,EMP0047,TND,Paris-CDG
PO00153,SUP0057,2023-06-21,2023-07-09,67675.3,Approved,EMP0127,TND,New York-NJ
PO00154,SUP0065,2024-01-04,2024-02-12,122846.13,Draft,EMP0018,TND,Dubai-Jebel Ali
PO00155,SUP0050,2024-08-17,2024-09-21,167294.59,Draft,EMP0070,TND,Amsterdam-Port
PO00156,SUP0070,2024-11-13,2025-01-08,181130.68,Submitted,EMP0133,TND,Singapore-Hub
PO00157,SUP0109,2022-05-09,2022-07-07,154323.4,Cancelled,EMP0060,TND,Madrid-Central
PO00158,SUP0029,2023-06-30,2023-07-17,28027.85,Cancelled,EMP0120,TND,Amsterdam-Port
PO00159,SUP0040,2023-10-14,2023-12-01,174824.22,Submitted,EMP0072,TND,Paris-CDG
PO00160,SUP0079,2022-11-16,2023-01-02,164385.82,Cancelled,EMP0002,TND,Madrid-Central
PO00161,SUP0066,2024-05-18,2024-08-07,78276.66,Cancelled,EMP0143,TND,Zurich-Center
PO00162,SUP0070,2022-04-06,2022-06-16,81312.59,Approved,EMP0045,TND,Singapore-Hub
PO00163,SUP0040,2022-12-06,2023-02-14,161432.75,Draft,EMP0029,TND,Milan-North
PO00164,SUP0071,2024-07-01,2024-09-11,40318.7,Cancelled,EMP0022,TND,Milan-North
PO00165,SUP0016,2024-04-12,2024-06-16,33058.24,Received,EMP0055,TND,New York-NJ
PO00166,SUP0109,2024-08-28,2024-09-21,48440.29,Cancelled,EMP0127,TND,Amsterdam-Port
PO00167,SUP0038,2022-05-10,2022-05-26,140342.27,Submitted,EMP0020,TND,Zurich-Center
PO00168,SUP0051,2022-08-29,2022-11-05,84247.48,Draft,EMP0109,TND,London-Heathrow
PO00169,SUP0096,2023-09-29,2023-12-02,124231.12,Cancelled,EMP0134,TND,Zurich-Center
PO00170,SUP0062,2024-06-02,2024-08-05,36113.96,Draft,EMP0129,TND,London-Heathrow
PO00171,SUP0040,2023-01-04,2023-03-18,114760.57,Submitted,EMP0033,TND,Madrid-Central
PO00172,SUP0052,2024-10-08,2024-12-31,85874.35,Draft,EMP0117,TND,Frankfurt-Main
PO00173,SUP0108,2024-03-14,2024-05-23,20216.45,Approved,EMP0133,TND,Zurich-Center
PO00174,SUP0059,2024-01-06,2024-02-07,68128.53,Cancelled,EMP0095,TND,London-Heathrow
PO00175,SUP0041,2023-01-29,2023-03-03,120335.78,Draft,EMP0007,TND,Zurich-Center
PO00176,SUP0038,2023-01-23,2023-02-14,46095.56,Received,EMP0062,TND,Madrid-Central
PO00177,SUP0035,2023-11-30,2023-12-30,199134.19,Received,EMP0025,TND,Frankfurt-Main
PO00178,SUP0113,2023-12-10,2024-02-02,104543.03,Submitted,EMP0047,TND,Frankfurt-Main
PO00179,SUP0106,2022-08-20,2022-11-14,67982.95,Received,EMP0024,TND,Zurich-Center
PO00180,SUP0058,2022-01-04,2022-01-21,88087.39,Received,EMP0110,TND,Zurich-Center
PO00181,SUP0106,2023-02-09,2023-03-09,43487.43,Received,EMP0077,TND,Milan-North
PO00182,SUP0071,2023-05-15,2023-06-23,40246.39,Approved,EMP0042,TND,Milan-North
PO00183,SUP0002,2023-10-23,2023-12-04,192277.47,Submitted,EMP0063,TND,London-Heathrow
PO00184,SUP0005,2022-07-01,2022-07-27,33778.26,Approved,EMP0104,TND,Singapore-Hub
PO00185,SUP0099,2023-11-02,2024-01-31,15663.99,Cancelled,EMP0092,TND,Zurich-Center
PO00186,SUP0061,2024-07-08,2024-07-27,48029.58,Received,EMP0001,TND,Milan-North
PO00187,SUP0069,2024-05-27,2024-06-26,75198.79,Submitted,EMP0048,TND,Paris-CDG
PO00188,SUP0116,2022-05-18,2022-07-05,160719.21,Submitted,EMP0085,TND,Madrid-Central
PO00189,SUP0050,2024-01-30,2024-03-08,157549.3,Received,EMP0131,TND,Dubai-Jebel Ali
PO00190,SUP0056,2023-04-17,2023-07-04,87849.04,Received,EMP0077,TND,Madrid-Central
PO00191,SUP0115,2023-09-26,2023-12-23,102536.29,Draft,EMP0008,TND,New York-NJ
PO00192,SUP0097,2023-02-02,2023-03-04,157229,Received,EMP0050,TND,Zurich-Center
PO00193,SUP0082,2022-10-13,2022-10-30,76647.41,Draft,EMP0071,TND,London-Heathrow
PO00194,SUP0019,2023-08-27,2023-09-27,151756.79,Draft,EMP0045,TND,Madrid-Central
PO00195,SUP0034,2024-07-04,2024-08-14,129174.67,Approved,EMP0013,TND,New York-NJ
PO00196,SUP0070,2024-09-16,2024-10-21,13831.18,Cancelled,EMP0054,TND,Dubai-Jebel Ali
PO00197,SUP0018,2024-09-10,2024-10-09,20691.08,Draft,EMP0056,TND,Dubai-Jebel Ali
PO00198,SUP0093,2022-11-06,2023-02-03,123807.37,Submitted,EMP0011,TND,Frankfurt-Main
PO00199,SUP0114,2024-01-26,2024-02-09,156639.14,Approved,EMP0090,TND,Madrid-Central
PO00200,SUP0055,2024-09-30,2024-10-24,88046.15,Draft,EMP0100,TND,Dubai-Jebel Ali
PO00201,SUP0031,2022-03-12,2022-03-30,63450.96,Draft,EMP0002,TND,Milan-North
PO00202,SUP0112,2023-07-08,2023-09-13,105120.45,Draft,EMP0052,TND,Frankfurt-Main
PO00203,SUP0028,2023-07-16,2023-08-29,84424.86,Approved,EMP0127,TND,Madrid-Central
PO00204,SUP0024,2023-02-06,2023-03-05,147602.7,Draft,EMP0031,TND,Milan-North
PO00205,SUP0074,2023-06-29,2023-08-24,124651.07,Cancelled,EMP0034,TND,Zurich-Center
PO00206,SUP0098,2022-06-17,2022-08-30,119856.51,Draft,EMP0098,TND,Zurich-Center
PO00207,SUP0078,2022-04-07,2022-04-29,48518.78,Approved,EMP0017,TND,Singapore-Hub
PO00208,SUP0041,2024-05-02,2024-07-27,27508.82,Approved,EMP0147,TND,Madrid-Central
PO00209,SUP0101,2023-02-22,2023-04-27,6961.62,Cancelled,EMP0007,TND,Frankfurt-Main
PO00210,SUP0106,2024-05-11,2024-07-30,4691.25,Draft,EMP0088,TND,Amsterdam-Port
PO00211,SUP0003,2024-05-02,2024-07-04,59813.9,Cancelled,EMP0077,TND,Milan-North
PO00212,SUP0084,2023-02-05,2023-03-25,179182.18,Received,EMP0054,TND,London-Heathrow
PO00213,SUP0001,2022-05-01,2022-07-28,83982.52,Draft,EMP0096,TND,Amsterdam-Port
PO00214,SUP0026,2023-11-17,2023-12-04,73044.75,Submitted,EMP0089,TND,New York-NJ
PO00215,SUP0119,2022-12-20,2023-02-11,136077.48,Cancelled,EMP0140,TND,Dubai-Jebel Ali
PO00216,SUP0111,2022-02-05,2022-03-29,198878.67,Received,EMP0012,TND,Madrid-Central
PO00217,SUP0036,2024-04-23,2024-07-16,176927.44,Approved,EMP0083,TND,Milan-North
PO00218,SUP0088,2022-07-19,2022-09-22,114893.81,Submitted,EMP0042,TND,Madrid-Central
PO00219,SUP0108,2022-03-06,2022-05-01,178667.53,Received,EMP0075,TND,Frankfurt-Main
PO00220,SUP0117,2022-06-14,2022-09-08,42560.63,Submitted,EMP0146,TND,Frankfurt-Main
PO00221,SUP0031,2022-01-04,2022-03-24,129501.44,Cancelled,EMP0019,TND,New York-NJ
PO00222,SUP0064,2024-03-30,2024-06-08,138069.88,Cancelled,EMP0093,TND,London-Heathrow
PO00223,SUP0065,2022-05-29,2022-07-24,135937.36,Received,EMP0136,TND,Paris-CDG
PO00224,SUP0089,2023-06-19,2023-07-27,122009.21,Submitted,EMP0004,TND,Paris-CDG
PO00225,SUP0087,2024-11-20,2025-02-09,118220.21,Submitted,EMP0084,TND,Dubai-Jebel Ali
PO00226,SUP0062,2023-10-27,2024-01-14,158571.98,Cancelled,EMP0140,TND,Paris-CDG
PO00227,SUP0062,2023-01-28,2023-02-14,44442.02,Received,EMP0053,TND,Frankfurt-Main
PO00228,SUP0007,2022-11-11,2023-01-11,193498.18,Cancelled,EMP0105,TND,Zurich-Center
PO00229,SUP0067,2023-09-19,2023-11-17,42639.94,Draft,EMP0117,TND,Madrid-Central
PO00230,SUP0059,2024-12-01,2025-02-23,17373.11,Submitted,EMP0066,TND,Paris-CDG
PO00231,SUP0089,2023-12-16,2024-01-14,184991.68,Draft,EMP0082,TND,Paris-CDG
PO00232,SUP0071,2022-05-28,2022-06-23,50065.34,Received,EMP0020,TND,Singapore-Hub
PO00233,SUP0001,2022-03-10,2022-03-28,193731.58,Cancelled,EMP0092,TND,Madrid-Central
PO00234,SUP0093,2022-08-12,2022-09-12,137039.68,Approved,EMP0130,TND,Frankfurt-Main
PO00235,SUP0112,2022-01-18,2022-04-16,58315.7,Approved,EMP0043,TND,Milan-North
PO00236,SUP0114,2023-11-01,2023-12-16,140544.22,Received,EMP0038,TND,Milan-North
PO00237,SUP0056,2024-01-10,2024-02-03,55770.17,Draft,EMP0040,TND,Zurich-Center
PO00238,SUP0008,2024-07-01,2024-07-23,182460.33,Draft,EMP0049,TND,London-Heathrow
PO00239,SUP0043,2022-09-06,2022-10-08,118584.99,Draft,EMP0128,TND,New York-NJ
PO00240,SUP0015,2022-08-13,2022-09-08,177194.65,Approved,EMP0132,TND,Amsterdam-Port
PO00241,SUP0033,2022-11-19,2022-12-07,120584.5,Approved,EMP0035,TND,New York-NJ
PO00242,SUP0017,2022-06-06,2022-07-05,78825.76,Received,EMP0145,TND,Madrid-Central
PO00243,SUP0012,2024-11-23,2024-12-14,2365.53,Draft,EMP0043,TND,Amsterdam-Port
PO00244,SUP0090,2023-03-26,2023-04-11,26267.36,Received,EMP0149,TND,New York-NJ
PO00245,SUP0048,2023-11-22,2024-01-24,130806.62,Submitted,EMP0048,TND,Amsterdam-Port
PO00246,SUP0050,2023-01-29,2023-04-17,62871.34,Approved,EMP0062,TND,Madrid-Central
PO00247,SUP0051,2023-07-31,2023-09-04,36692.74,Cancelled,EMP0006,TND,Singapore-Hub
PO00248,SUP0085,2023-06-25,2023-07-16,64128.84,Submitted,EMP0132,TND,Zurich-Center
PO00249,SUP0044,2022-01-28,2022-03-30,3466.83,Approved,EMP0042,TND,Dubai-Jebel Ali
PO00250,SUP0056,2022-05-21,2022-08-12,47823.79,Submitted,EMP0085,TND,Singapore-Hub
PO00251,SUP0023,2024-10-04,2024-10-28,7203.27,Cancelled,EMP0126,TND,London-Heathrow
PO00252,SUP0037,2024-08-14,2024-09-12,190778.16,Approved,EMP0150,TND,Frankfurt-Main
PO00253,SUP0095,2023-12-18,2024-02-28,181224.25,Cancelled,EMP0131,TND,Frankfurt-Main
PO00254,SUP0044,2024-02-04,2024-04-01,20033.01,Approved,EMP0092,TND,Milan-North
PO00255,SUP0080,2022-12-09,2023-02-15,52685.12,Approved,EMP0036,TND,London-Heathrow
PO00256,SUP0062,2022-07-16,2022-08-24,27386.56,Approved,EMP0037,TND,Madrid-Central
PO00257,SUP0062,2024-12-10,2025-01-14,114171.87,Draft,EMP0042,TND,Paris-CDG
PO00258,SUP0080,2022-11-14,2022-12-07,129423.25,Received,EMP0045,TND,New York-NJ
PO00259,SUP0100,2023-10-06,2023-11-02,131446.72,Submitted,EMP0068,TND,London-Heathrow
PO00260,SUP0040,2022-03-09,2022-05-04,168519.76,Cancelled,EMP0029,TND,Amsterdam-Port
PO00261,SUP0038,2022-08-07,2022-10-06,191843.45,Received,EMP0036,TND,Milan-North
PO00262,SUP0008,2023-04-11,2023-05-22,13971.59,Submitted,EMP0072,TND,Frankfurt-Main
PO00263,SUP0003,2023-03-26,2023-04-10,24882.45,Submitted,EMP0017,TND,Madrid-Central
PO00264,SUP0039,2024-05-18,2024-07-10,38612.91,Approved,EMP0064,TND,Singapore-Hub
PO00265,SUP0065,2024-09-06,2024-09-23,192975.74,Approved,EMP0086,TND,Zurich-Center
