"  erp_inventory  ·  1,500 lignes  ·  7 colonnes",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
INVI00253,PRD0057,Frankfurt-Main,212,202,16440.63,2023-11-13
INVI00254,PRD0176,Frankfurt-Main,1887,300,34425.28,2024-03-15
INVI00255,PRD0118,New York-NJ,2912,237,24224.14,2023-12-10
INVI00256,PRD0376,Paris-CDG,2062,66,19659.63,2024-05-23
INVI00257,PRD0453,London-Heathrow,1152,110,10447.38,2024-03-05
INVI00258,PRD0444,Singapore-Hub,4115,251,32397.44,2023-02-10
INVI00259,PRD0364,Amsterdam-Port,1413,105,25339.37,2024-07-12
INVI00260,PRD0058,London-Heathrow,4226,70,17665.11,2024-06-22
INVI00261,PRD0418,Zurich-Center,4671,242,9217.78,2023-11-11
INVI00262,PRD0346,Singapore-Hub,2622,274,5578.34,2023-05-03
INVI00263,PRD0037,London-Heathrow,3614,241,12700.61,2024-08-18
INVI00264,PRD0217,Amsterdam-Port,4079,278,32673.37,2023-03-14
INVI00265,PRD0045,Madrid-Central,4967,265,38159.78,2023-09-02
INVI00266,PRD0054,Paris-CDG,4383,178,16121.94,2023-09-04
INVI00267,PRD0028,New York-NJ,2738,250,38843.86,2023-09-23
INVI00268,PRD0345,Paris-CDG,219,110,32565.28,2024-06-29
INVI00269,PRD0049,Dubai-Jebel Ali,153,112,28205.27,2023-11-01
INVI00270,PRD0281,Milan-North,759,223,1516.63,2023-02-15
INVI00271,PRD0067,Frankfurt-Main,4102,89,12195.97,2024-12-24
INVI00272,PRD0130,Paris-CDG,4456,72,17920.62,2023-05-18
INVI00273,PRD0266,Madrid-Central,3462,66,16995.98,2024-07-17
INVI00274,PRD0241,Dubai-Jebel Ali,3650,214,31705.77,2023-07-16
INVI00275,PRD0095,Frankfurt-Main,2306,195,24271.16,2024-05-04
INVI00276,PRD0442,Paris-CDG,1717,220,5151.8,2023-01-22
INVI00277,PRD0144,Amsterdam-Port,2550,220,19833.11,2023-08-07
INVI00278,PRD0371,Amsterdam-Port,2513,128,5205.78,2023-02-14
INVI00279,PRD0211,Milan-North,543,272,1818.48,2023-01-22
INVI00280,PRD0151,New York-NJ,15,66,499.24,2023-10-27
INVI00281,PRD0057,Amsterdam-Port,999,110,13462.4,2023-12-08
INVI00282,PRD0492,Singapore-Hub,4679,127,5343.66,2024-04-28
INVI00283,PRD0390,London-Heathrow,1047,223,9296.22,2024-01-01
INVI00284,PRD0217,Singapore-Hub,1068,218,3421.75,2024-01-22
INVI00285,PRD0407,Frankfurt-Main,4282,254,30575.62,2024-07-26
INVI00286,PRD0482,Zurich-Center,4540,177,28618.27,2024-04-09
INVI00287,PRD0252,New York-NJ,3900,238,17529.42,2024-01-15
INVI00288,PRD0443,Frankfurt-Main,1783,178,19225.71,2024-11-03
INVI00289,PRD0040,London-Heathrow,1745,205,21491.05,2024-06-29
INVI00290,PRD0498,Zurich-Center,1828,207,18269.73,2024-10-13
INVI00291,PRD0410,London-Heathrow,341,121,20277.02,2023-08-19
INVI00292,PRD0020,Madrid-Central,2959,79,23485.41,2023-11-23
INVI00293,PRD0175,Dubai-Jebel Ali,3357,287,20402.04,2023-03-28
INVI00294,PRD0331,Singapore-Hub,1829,121,4556.5,2024-07-22
INVI00295,PRD0461,Paris-CDG,4084,296,38979.74,2024-11-04
INVI00296,PRD0207,Madrid-Central,328,113,25062.61,2023-04-20
INVI00297,PRD0179,Singapore-Hub,2613,180,13271.43,2023-07-17
INVI00298,PRD0465,Zurich-Center,868,246,39378.69,2024-10-14
INVI00299,PRD0167,Amsterdam-Port,3205,234,5625.56,2024-01-06
INVI00300,PRD0462,Madrid-Central,2504,203,7664.71,2023-08-30
INVI00301,PRD0299,London-Heathrow,3670,70,26977.4,2023-11-20
INVI00302,PRD0129,Paris-CDG,3363,108,20672.15,2024-03-06
INVI00303,PRD0459,Singapore-Hub,69,85,39085.3,2024-04-24
INVI00304,PRD0494,Frankfurt-Main,2909,100,18356.28,2024-11-03
INVI00305,PRD0143,London-Heathrow,451,225,35815.18,2024-01-03
INVI00306,PRD0350,Milan-North,2757,243,8777.44,2023-11-24
INVI00307,PRD0137,Madrid-Central,295,165,30358.61,2024-06-12
INVI00308,PRD0363,Zurich-Center,3384,166,18730,2024-05-30
INVI00309,PRD0448,Dubai-Jebel Ali,4407,298,32103.7,2023-06-18
INVI00310,PRD0330,London-Heathrow,867,245,37001.08,2023-02-09
INVI00311,PRD0234,London-Heathrow,74,286,11103.73,2024-09-25
INVI00312,PRD0159,Singapore-Hub,557,81,31296,2023-10-30
INVI00313,PRD0207,Frankfurt-Main,3633,143,26753.29,2024-07-04
INVI00314,PRD0355,Paris-CDG,2289,74,37705.58,2023-01-24
INVI00315,PRD0488,Madrid-Central,4521,159,16366.02,2023-03-25
INVI00316,PRD0268,New York-NJ,2106,293,10951.39,2024-03-19
INVI00317,PRD0065,Madrid-Central,2462,260,37889.73,2024-05-24
INVI00318,PRD0031,Madrid-Central,4611,190,16588.83,2023-03-26
INVI00319,PRD0059,Paris-CDG,962,178,18538.17,2023-01-15
INVI00320,PRD0119,Amsterdam-Port,1286,133,18540.49,2023-02-18
INVI00321,PRD0355,Madrid-Central,2406,107,31437.49,2023-01-30
INVI00322,PRD0238,Amsterdam-Port,1102,128,33607.5,2024-11-06
INVI00323,PRD0217,Dubai-Jebel Ali,4639,207,34996.99,2024-11-04
INVI00324,PRD0457,Madrid-Central,4921,257,32438.77,2023-03-03
INVI00325,PRD0387,Amsterdam-Port,467,116,31927.83,2023-08-22
INVI00326,PRD0263,Frankfurt-Main,3801,163,24980.62,2024-05-27
INVI00327,PRD0478,Zurich-Center,4697,86,10459.65,2024-08-10
INVI00328,PRD0083,Madrid-Central,3826,55,11314.75,2024-06-24
INVI00329,PRD0063,Frankfurt-Main,1569,65,3747.92,2024-03-12
INVI00330,PRD0394,Madrid-Central,2007,84,9913.47,2023-09-28
INVI00331,PRD0473,Milan-North,3104,258,14875.99,2024-06-06
INVI00332,PRD0404,Frankfurt-Main,1360,168,14700.81,2023-03-24
INVI00333,PRD0460,Singapore-Hub,465,55,9844.31,2023-09-05
INVI00334,PRD0463,Singapore-Hub,2218,100,29158.91,2023-06-08
INVI00335,PRD0182,New York-NJ,3842,125,1152.81,2024-12-06
INVI00336,PRD0170,Amsterdam-Port,3112,85,12621.79,2024-10-26
INVI00337,PRD0344,London-Heathrow,1683,81,2940.12,2023-12-11
INVI00338,PRD0133,Frankfurt-Main,544,79,23683.07,2023-01-28
INVI00339,PRD0328,London-Heathrow,227,147,482.98,2023-04-15
INVI00340,PRD0127,New York-NJ,4776,102,2129.27,2023-02-03
INVI00341,PRD0185,London-Heathrow,1446,69,39111.28,2023-11-13
INVI00342,PRD0136,London-Heathrow,3472,250,37099.65,2024-10-31
INVI00343,PRD0485,Amsterdam-Port,2994,258,8022.65,2023-09-29
INVI00344,PRD0343,London-Heathrow,2588,248,16988.32,2023-05-07
INVI00345,PRD0427,New York-NJ,890,296,27423.07,2024-11-15
INVI00346,PRD0392,Zurich-Center,4676,233,24452.16,2023-10-04
INVI00347,PRD0377,London-Heathrow,3384,252,28077.02,2024-06-30
INVI00348,PRD0141,Milan-North,2577,103,17554.76,2023-11-21
INVI00349,PRD0275,London-Heathrow,3288,185,5107.55,2024-10-18
INVI00350,PRD0320,Milan-North,491,186,4276.53,2024-09-18
INVI00351,PRD0298,Madrid-Central,257,96,31966.91,2023-05-17
INVI00352,PRD0100,Milan-North,4547,144,23734.61,2023-12-23
INVI00353,PRD0262,Paris-CDG,1689,292,26793.13,2024-10-05
INVI00354,PRD0171,London-Heathrow,4161,182,1229.79,2023-01-29
INVI00355,PRD0475,Singapore-Hub,2589,61,34916.88,2024-11-12
INVI00356,PRD0261,Frankfurt-Main,4799,225,35303.14,2024-10-07
INVI00357,PRD0421,Singapore-Hub,1735,142,10384.7,2023-10-29
INVI00358,PRD0467,London-Heathrow,2933,96,11234.34,2024-12-19
INVI00359,PRD0243,Singapore-Hub,4003,173,10139.42,2023-10-08
INVI00360,PRD0290,New York-NJ,2167,253,23500.27,2023-02-04
INVI00361,PRD0157,New York-NJ,2312,256,2133.73,2024-03-21
INVI00362,PRD0005,New York-NJ,4655,186,34954.11,2023-05-19
INVI00363,PRD0200,Madrid-Central,4475,161,5053.72,2024-11-18
INVI00364,PRD0235,Milan-North,2990,255,8331.55,2024-04-18
INVI00365,PRD0304,Amsterdam-Port,4607,140,36130.43,2023-10-25
INVI00366,PRD0335,New York-NJ,169,199,4045.02,2023-05-05
INVI00367,PRD0012,Madrid-Central,199,169,6303.26,2024-01-05
INVI00368,PRD0130,Milan-North,1622,204,17413.85,2023-04-05
INVI00369,PRD0387,New York-NJ,495,196,33357.79,2024-09-21
