  hr_skills  ·  606 lignes  ·  7 colonnes,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
SKL00026,EMP0006,Process Improvement,Expert,3.5,In Progress,2024-04-01
SKL00027,EMP0006,Business Analysis,Advanced,1.7,In Progress,2024-06-01
SKL00028,EMP0006,ERP,Expert,6.3,Yes,2024-03-19
SKL00029,EMP0007,Excel,Advanced,1.8,No,2024-06-06
SKL00030,EMP0007,Project Management,Intermediate,3.3,In Progress,2024-02-10
SKL00031,EMP0007,Communication,Beginner,6.1,Yes,2024-09-29
SKL00032,EMP0007,Problem Solving,Advanced,2,No,2024-10-08
SKL00033,EMP0008,Agile,Expert,9.2,In Progress,2024-04-12
SKL00034,EMP0008,Budgeting,Advanced,5.1,In Progress,2024-11-28
SKL00035,EMP0008,Project Management,Intermediate,10.8,No,2024-03-02
SKL00036,EMP0009,JavaScript,Advanced,3.1,Yes,2024-01-04
SKL00037,EMP0009,Python,Beginner,7.8,Yes,2024-02-04
SKL00038,EMP0009,SQL,Expert,10.4,Yes,2024-09-20
SKL00039,EMP0009,Git,Intermediate,8.2,Yes,2024-10-03
SKL00040,EMP0010,Statistics,Advanced,9.8,Yes,2024-02-18
SKL00041,EMP0010,Tableau,Beginner,5.5,No,2024-07-29
SKL00042,EMP0010,Python,Advanced,8.9,In Progress,2024-11-30
SKL00043,EMP0010,SQL,Expert,1.6,No,2024-06-22
SKL00044,EMP0011,Excel,Advanced,2.1,Yes,2024-05-22
SKL00045,EMP0011,Communication,Advanced,10.6,Yes,2024-08-14
SKL00046,EMP0011,Project Management,Expert,10.3,Yes,2024-01-26
SKL00047,EMP0012,Cloud Architecture,Intermediate,6,No,2024-01-31
SKL00048,EMP0012,Microservices,Intermediate,0.5,No,2024-05-15
SKL00049,EMP0012,Python,Expert,9.5,No,2024-08-04
SKL00050,EMP0013,Client Management,Intermediate,1.2,In Progress,2024-10-04
SKL00051,EMP0013,Process Improvement,Beginner,4.1,Yes,2024-10-26
SKL00052,EMP0013,Business Analysis,Advanced,11.1,In Progress,2024-03-21
SKL00053,EMP0013,ERP,Beginner,6.3,Yes,2024-02-05
SKL00054,EMP0013,SAP,Advanced,8.3,Yes,2024-07-25
SKL00055,EMP0014,Azure,Advanced,7.6,No,2024-12-02
SKL00056,EMP0014,Microservices,Advanced,6.5,No,2024-04-14
SKL00057,EMP0014,Java,Advanced,4.1,No,2024-07-21
SKL00058,EMP0015,Agile,Expert,11.3,Yes,2024-08-22
SKL00059,EMP0015,Budgeting,Advanced,7,Yes,2024-02-07
SKL00060,EMP0015,Leadership,Advanced,6.3,Yes,2024-06-27
SKL00061,EMP0016,SAP,Intermediate,10.1,In Progress,2024-06-03
SKL00062,EMP0016,ERP,Advanced,11.9,In Progress,2024-09-27
SKL00063,EMP0016,Client Management,Beginner,9.9,No,2024-12-05
SKL00064,EMP0017,Power BI,Expert,9,Yes,2024-05-19
SKL00065,EMP0017,Excel,Intermediate,2.9,No,2024-04-14
SKL00066,EMP0017,SQL,Advanced,10.3,In Progress,2024-09-07
SKL00067,EMP0018,Project Management,Expert,1,No,2024-03-07
SKL00068,EMP0018,Stakeholder Management,Advanced,3.5,In Progress,2024-08-14
SKL00069,EMP0018,Agile,Advanced,5.4,Yes,2024-02-27
SKL00070,EMP0018,Leadership,Beginner,10.7,Yes,2024-10-06
SKL00071,EMP0019,Agile,Intermediate,4,Yes,2024-07-02
SKL00072,EMP0019,Leadership,Intermediate,3.4,Yes,2024-06-30
SKL00073,EMP0019,Budgeting,Advanced,10.7,No,2024-11-13
SKL00074,EMP0020,Leadership,Beginner,9,No,2024-07-29
SKL00075,EMP0020,Stakeholder Management,Expert,10.4,Yes,2024-05-16
SKL00076,EMP0020,Project Management,Intermediate,8.6,No,2024-01-20
SKL00077,EMP0020,Agile,Expert,3.1,No,2024-06-28
SKL00078,EMP0020,Budgeting,Intermediate,9.6,Yes,2024-04-24
SKL00079,EMP0021,SAP,Intermediate,1.3,No,2024-06-28
SKL00080,EMP0021,Process Improvement,Advanced,5.1,In Progress,2024-06-18
SKL00081,EMP0021,Client Management,Expert,1.8,No,2024-04-01
SKL00082,EMP0022,Labor Law,Advanced,4.1,In Progress,2024-09-18
SKL00083,EMP0022,Recruitment,Intermediate,10.8,Yes,2024-05-10
SKL00084,EMP0022,Onboarding,Beginner,5.5,In Progress,2024-10-02
SKL00085,EMP0022,HRIS,Advanced,11.3,In Progress,2024-12-09
SKL00086,EMP0022,Performance Management,Intermediate,5.5,In Progress,2024-06-18
SKL00087,EMP0023,Agile,Advanced,4.3,In Progress,2024-05-31
SKL00088,EMP0023,Project Management,Advanced,2.7,In Progress,2024-07-13
SKL00089,EMP0023,Stakeholder Management,Advanced,10.9,In Progress,2024-10-18
SKL00090,EMP0023,Leadership,Intermediate,6.8,Yes,2024-06-04
SKL00091,EMP0023,Budgeting,Intermediate,5.4,In Progress,2024-11-06
SKL00092,EMP0024,React,Advanced,10.9,In Progress,2024-03-27
SKL00093,EMP0024,REST API,Advanced,3.8,In Progress,2024-11-20
SKL00094,EMP0024,Git,Advanced,1.6,Yes,2024-12-10
SKL00095,EMP0024,JavaScript,Intermediate,9.8,Yes,2024-01-13
SKL00096,EMP0024,SQL,Beginner,11.8,In Progress,2024-02-07
SKL00097,EMP0025,Budgeting,Advanced,3.3,In Progress,2024-12-18
SKL00098,EMP0025,Leadership,Beginner,9.1,Yes,2024-08-05
SKL00099,EMP0025,Agile,Intermediate,9.7,In Progress,2024-09-22
SKL00100,EMP0025,Stakeholder Management,Advanced,6.9,Yes,2024-08-21
SKL00101,EMP0026,Problem Solving,Expert,10.8,In Progress,2024-09-15
SKL00102,EMP0026,Project Management,Intermediate,10.9,No,2024-03-22
SKL00103,EMP0026,Excel,Advanced,6,No,2024-05-06
SKL00104,EMP0027,Agile,Intermediate,8.7,Yes,2024-05-19
SKL00105,EMP0027,Budgeting,Intermediate,10.8,Yes,2024-03-11
SKL00106,EMP0027,Stakeholder Management,Intermediate,4.9,Yes,2024-12-27
SKL00107,EMP0027,Project Management,Intermediate,5.3,No,2024-10-04
SKL00108,EMP0027,Leadership,Advanced,1.2,No,2024-07-18
SKL00109,EMP0028,Problem Solving,Expert,3.9,No,2024-08-02
SKL00110,EMP0028,Excel,Advanced,8.9,In Progress,2024-04-22
SKL00111,EMP0028,Communication,Advanced,3.6,No,2024-01-15
SKL00112,EMP0029,Labor Law,Expert,11.1,In Progress,2024-09-30
SKL00113,EMP0029,Onboarding,Beginner,5,In Progress,2024-12-05
SKL00114,EMP0029,Performance Management,Beginner,7.9,Yes,2024-08-24
SKL00115,EMP0029,Recruitment,Intermediate,3.5,No,2024-04-18
SKL00116,EMP0030,ERP,Advanced,10.1,No,2024-02-11
SKL00117,EMP0030,Client Management,Advanced,9.1,Yes,2024-06-28
SKL00118,EMP0030,SAP,Intermediate,1.3,In Progress,2024-01-21
SKL00119,EMP0030,Process Improvement,Advanced,11.4,Yes,2024-01-11
SKL00120,EMP0031,SAP,Advanced,3,In Progress,2024-05-11
SKL00121,EMP0031,Client Management,Advanced,2.4,In Progress,2024-02-28
SKL00122,EMP0031,Business Analysis,Advanced,2.4,No,2024-02-25
SKL00123,EMP0031,Process Improvement,Advanced,11.2,In Progress,2024-12-12
SKL00124,EMP0031,ERP,Expert,4.8,In Progress,2024-04-11
SKL00125,EMP0032,Stakeholder Management,Advanced,4,In Progress,2024-11-03
SKL00126,EMP0032,Leadership,Expert,9.7,In Progress,2024-01-22
SKL00127,EMP0032,Project Management,Intermediate,5.4,No,2024-02-05
SKL00128,EMP0033,Communication,Intermediate,4.7,No,2024-12-28
SKL00129,EMP0033,Excel,Intermediate,2.5,In Progress,2024-11-29
SKL00130,EMP0033,Project Management,Intermediate,9.8,In Progress,2024-09-04
SKL00131,EMP0033,Problem Solving,Advanced,10,In Progress,2024-05-17
SKL00132,EMP0034,Leadership,Intermediate,5.8,In Progress,2024-12-08
SKL00133,EMP0034,Project Management,Intermediate,0.8,No,2024-04-03
SKL00134,EMP0034,Stakeholder Management,Advanced,4.6,No,2024-06-23
SKL00135,EMP0034,Agile,Intermediate,7.4,No,2024-10-11
SKL00136,EMP0035,Client Management,Intermediate,5.2,In Progress,2024-05-03
SKL00137,EMP0035,SAP,Advanced,7.9,No,2024-08-17
SKL00138,EMP0035,Business Analysis,Advanced,1.6,Yes,2024-07-26
SKL00139,EMP0036,SAP,Advanced,4.5,In Progress,2024-10-08
SKL00140,EMP0036,ERP,Intermediate,8.6,No,2024-06-05
SKL00141,EMP0036,Process Improvement,Intermediate,1.9,Yes,2024-06-10
SKL00142,EMP0036,Client Management,Intermediate,6.7,In Progress,2024-04-04
SKL00143,EMP0036,Business Analysis,Intermediate,9,No,2024-10-28
SKL00144,EMP0037,Stakeholder Management,Intermediate,2.6,Yes,2024-12-28
SKL00145,EMP0037,Agile,Advanced,3.7,Yes,2024-10-10
SKL00146,EMP0037,Project Management,Intermediate,11.4,In Progress,2024-09-08
SKL00147,EMP0037,Budgeting,Intermediate,0.6,No,2024-08-28
SKL00148,EMP0037,Leadership,Advanced,4.4,Yes,2024-05-09
SKL00149,EMP0038,Project Management,Beginner,7.7,Yes,2024-03-18
SKL00150,EMP0038,Stakeholder Management,Intermediate,7,No,2024-02-13
SKL00151,EMP0038,Leadership,Expert,1.9,No,2024-11-06
SKL00152,EMP0038,Agile,Advanced,7.6,In Progress,2024-07-13
SKL00153,EMP0039,Process Improvement,Intermediate,7.6,In Progress,2024-02-20
SKL00154,EMP0039,ERP,Expert,2.9,Yes,2024-05-15
SKL00155,EMP0039,Client Management,Advanced,2.3,Yes,2024-10-09
SKL00156,EMP0039,SAP,Beginner,0.5,No,2024-12-18
SKL00157,EMP0040,Process Improvement,Advanced,8.6,No,2024-02-06
SKL00158,EMP0040,ERP,Advanced,11.1,In Progress,2024-10-28
SKL00159,EMP0040,Business Analysis,Advanced,11.2,No,2024-02-28
SKL00160,EMP0040,Client Management,Advanced,7.9,No,2024-03-13
SKL00161,EMP0040,SAP,Beginner,2.4,No,2024-10-31
SKL00162,EMP0041,React,Intermediate,3.6,In Progress,2024-09-09
SKL00163,EMP0041,Python,Intermediate,7.4,No,2024-06-14
SKL00164,EMP0041,REST API,Advanced,0.8,Yes,2024-12-11
SKL00165,EMP0041,SQL,Expert,7.1,Yes,2024-12-10
SKL00166,EMP0041,Docker,Expert,7.1,Yes,2024-08-28
SKL00167,EMP0042,Budgeting,Expert,5.9,No,2024-06-19
SKL00168,EMP0042,Agile,Intermediate,1.7,Yes,2024-06-17
SKL00169,EMP0042,Project Management,Intermediate,6.2,In Progress,2024-07-24
SKL00170,EMP0042,Leadership,Expert,6.8,No,2024-02-15
SKL00171,EMP0042,Stakeholder Management,Intermediate,4.2,No,2024-09-20
SKL00172,EMP0043,Problem Solving,Intermediate,4.7,No,2024-11-16
SKL00173,EMP0043,Excel,Intermediate,1.1,No,2024-10-08
SKL00174,EMP0043,Communication,Intermediate,3.8,In Progress,2024-09-05
SKL00175,EMP0044,Recruitment,Intermediate,6.8,In Progress,2024-07-27
SKL00176,EMP0044,HRIS,Beginner,11.9,Yes,2024-08-24
SKL00177,EMP0044,Labor Law,Expert,7.9,Yes,2024-09-12
SKL00178,EMP0045,Agile,Intermediate,6.8,No,2024-04-07
SKL00179,EMP0045,Stakeholder Management,Expert,6.3,Yes,2024-02-05
SKL00180,EMP0045,Leadership,Intermediate,9.6,No,2024-06-23
SKL00181,EMP0045,Budgeting,Expert,6.3,Yes,2024-05-24
SKL00182,EMP0045,Project Management,Advanced,10.1,In Progress,2024-12-03
SKL00183,EMP0046,Leadership,Intermediate,6.8,In Progress,2024-07-12
SKL00184,EMP0046,Budgeting,Advanced,4.2,Yes,2024-12-23
SKL00185,EMP0046,Agile,Intermediate,4.9,No,2024-01-23
SKL00186,EMP0046,Stakeholder Management,Intermediate,5.9,No,2024-07-16
SKL00187,EMP0047,AWS,Expert,10.6,No,2024-02-21
SKL00188,EMP0047,Cloud Architecture,Advanced,5.8,In Progress,2024-03-14
SKL00189,EMP0047,Microservices,Intermediate,8,Yes,2024-02-08
SKL00190,EMP0047,DevOps,Advanced,11.6,No,2024-11-15
SKL00191,EMP0048,Process Improvement,Advanced,10.7,No,2024-10-04
SKL00192,EMP0048,Business Analysis,Beginner,1.3,In Progress,2024-12-16
SKL00193,EMP0048,SAP,Expert,12,In Progress,2024-02-16
SKL00194,EMP0048,ERP,Intermediate,1.6,In Progress,2024-12-26
SKL00195,EMP0048,Client Management,Expert,5.6,In Progress,2024-06-02
SKL00196,EMP0049,Communication,Intermediate,4.8,Yes,2024-05-05
SKL00197,EMP0049,Excel,Advanced,7,Yes,2024-03-28
SKL00198,EMP0049,Problem Solving,Intermediate,7.5,No,2024-11-13
SKL00199,EMP0050,SAP,Advanced,3.4,No,2024-12-07
SKL00200,EMP0050,Process Improvement,Beginner,9.8,No,2024-12-12
SKL00201,EMP0050,ERP,Advanced,1.3,No,2024-10-27
SKL00202,EMP0050,Business Analysis,Intermediate,11.6,In Progress,2024-05-08
SKL00203,EMP0050,Client Management,Advanced,4,No,2024-09-04
SKL00204,EMP0051,SAP,Intermediate,3.9,In Progress,2024-05-31
SKL00205,EMP0051,Process Improvement,Beginner,10,No,2024-05-20
SKL00206,EMP0051,ERP,Beginner,10.4,In Progress,2024-01-26
SKL00207,EMP0052,Process Improvement,Advanced,7.6,In Progress,2024-12-03
SKL00208,EMP0052,ERP,Advanced,2.1,Yes,2024-11-17
SKL00209,EMP0052,Business Analysis,Advanced,4.1,No,2024-01-18
SKL00210,EMP0052,SAP,Advanced,8.9,Yes,2024-05-31
SKL00211,EMP0052,Client Management,Intermediate,5.3,Yes,2024-03-08
SKL00212,EMP0053,Agile,Expert,3.9,No,2024-02-28
SKL00213,EMP0053,Stakeholder Management,Advanced,1.4,Yes,2024-12-12
SKL00214,EMP0053,Project Management,Advanced,11.8,In Progress,2024-07-06
SKL00215,EMP0053,Leadership,Beginner,5,No,2024-10-01
SKL00216,EMP0053,Budgeting,Intermediate,4.7,In Progress,2024-12-10
SKL00217,EMP0054,Stakeholder Management,Intermediate,3.2,Yes,2024-11-13
SKL00218,EMP0054,Budgeting,Expert,7,In Progress,2024-04-23
SKL00219,EMP0054,Agile,Advanced,7.8,No,2024-12-24
SKL00220,EMP0054,Leadership,Intermediate,5.2,Yes,2024-01-24
SKL00221,EMP0055,Project Management,Beginner,10.7,Yes,2024-07-17
SKL00222,EMP0055,Excel,Advanced,8.2,In Progress,2024-12-22
SKL00223,EMP0055,Communication,Expert,5.3,In Progress,2024-03-20
SKL00224,EMP0056,Communication,Beginner,4.8,No,2024-08-15
SKL00225,EMP0056,Excel,Expert,10.3,Yes,2024-12-17
SKL00226,EMP0056,Project Management,Intermediate,10.9,In Progress,2024-07-02
SKL00227,EMP0056,Problem Solving,Beginner,3.7,Yes,2024-08-20
SKL00228,EMP0057,SAP,Advanced,3.3,Yes,2024-10-16
SKL00229,EMP0057,Business Analysis,Intermediate,10,In Progress,2024-04-16
SKL00230,EMP0057,Process Improvement,Advanced,9.9,Yes,2024-06-17
SKL00231,EMP0058,Communication,Expert,6.7,Yes,2024-02-26
SKL00232,EMP0058,Excel,Advanced,0.8,Yes,2024-07-02
SKL00233,EMP0058,Problem Solving,Advanced,3.2,No,2024-01-09
SKL00234,EMP0059,Project Management,Advanced,6.5,In Progress,2024-02-02
SKL00235,EMP0059,Communication,Advanced,9.4,In Progress,2024-10-30
SKL00236,EMP0059,Problem Solving,Intermediate,6.3,In Progress,2024-01-23
SKL00237,EMP0060,Stakeholder Management,Expert,10.2,No,2024-12-17
SKL00238,EMP0060,Agile,Intermediate,8.7,No,2024-02-07
SKL00239,EMP0060,Leadership,Expert,4.2,Yes,2024-02-03
SKL00240,EMP0060,Project Management,Intermediate,7.7,In Progress,2024-10-07
SKL00241,EMP0060,Budgeting,Advanced,4.9,In Progress,2024-09-28
SKL00242,EMP0061,Problem Solving,Advanced,1.8,In Progress,2024-11-29
SKL00243,EMP0061,Project Management,Expert,6.8,Yes,2024-08-08
SKL00244,EMP0061,Excel,Advanced,3.1,No,2024-08-20
SKL00245,EMP0061,Communication,Intermediate,8.9,No,2024-08-06
SKL00246,EMP0062,Agile,Beginner,10.1,Yes,2024-08-09
SKL00247,EMP0062,Stakeholder Management,Beginner,9,Yes,2024-10-11
SKL00248,EMP0062,Project Management,Beginner,11.5,In Progress,2024-06-17
SKL00249,EMP0062,Leadership,Advanced,5.2,In Progress,2024-08-04
SKL00250,EMP0063,SQL,Intermediate,7.1,Yes,2024-03-20
SKL00251,EMP0063,Docker,Advanced,3.1,Yes,2024-06-28
SKL00252,EMP0063,REST API,Expert,4.7,No,2024-10-20
SKL00253,EMP0064,Problem Solving,Advanced,8.1,In Progress,2024-05-16
SKL00254,EMP0064,Project Management,Beginner,3.6,No,2024-06-22
SKL00255,EMP0064,Communication,Intermediate,2.6,Yes,2024-10-16
SKL00256,EMP0065,Budgeting,Advanced,3,No,2024-08-20
SKL00257,EMP0065,Project Management,Intermediate,4.8,In Progress,2024-06-15
SKL00258,EMP0065,Stakeholder Management,Advanced,7,Yes,2024-01-27
SKL00259,EMP0065,Agile,Intermediate,9.2,Yes,2024-12-11
SKL00260,EMP0065,Leadership,Beginner,5.6,No,2024-09-05
SKL00261,EMP0066,Problem Solving,Intermediate,1.8,In Progress,2024-12-13
SKL00262,EMP0066,Excel,Advanced,6.6,No,2024-01-24
SKL00263,EMP0066,Communication,Intermediate,11.8,Yes,2024-01-04
SKL00264,EMP0066,Project Management,Intermediate,11.4,Yes,2024-05-10
SKL00265,EMP0067,ERP,Advanced,2.5,No,2024-09-29
SKL00266,EMP0067,Business Analysis,Advanced,6.3,In Progress,2024-06-30
SKL00267,EMP0067,Process Improvement,Beginner,10.4,Yes,2024-08-11
SKL00268,EMP0067,SAP,Beginner,11.1,No,2024-10-21
SKL00269,EMP0068,Client Management,Intermediate,5.2,No,2024-03-28
SKL00270,EMP0068,Process Improvement,Expert,7.6,In Progress,2024-07-04
SKL00271,EMP0068,ERP,Beginner,10.2,Yes,2024-08-11
SKL00272,EMP0068,SAP,Advanced,6.5,No,2024-06-07
SKL00273,EMP0069,Microservices,Advanced,6.6,Yes,2024-06-27
SKL00274,EMP0069,DevOps,Intermediate,11.5,In Progress,2024-03-16
SKL00275,EMP0069,Java,Intermediate,2.2,Yes,2024-03-29
SKL00276,EMP0069,Cloud Architecture,Advanced,9.2,In Progress,2024-02-08
SKL00277,EMP0069,Python,Intermediate,9.4,No,2024-08-25
SKL00278,EMP0070,Project Management,Intermediate,5.9,In Progress,2024-06-04
SKL00279,EMP0070,Problem Solving,Advanced,7.3,No,2024-09-16
SKL00280,EMP0070,Excel,Beginner,5.8,Yes,2024-01-30
SKL00281,EMP0070,Communication,Intermediate,3.8,In Progress,2024-02-16
SKL00282,EMP0071,AWS,Intermediate,6,Yes,2024-02-01
SKL00283,EMP0071,Azure,Advanced,9.8,No,2024-12-31
SKL00284,EMP0071,Python,Beginner,7.9,Yes,2024-05-06
SKL00285,EMP0071,Cloud Architecture,Advanced,11.9,In Progress,2024-09-24
SKL00286,EMP0071,Microservices,Advanced,4.7,No,2024-07-17
SKL00287,EMP0071,Java,Intermediate,4.4,In Progress,2024-01-27
SKL00288,EMP0072,Agile,Intermediate,8.8,In Progress,2024-11-04
SKL00289,EMP0072,Project Management,Expert,4.3,In Progress,2024-12-05
SKL00290,EMP0072,Leadership,Intermediate,4.5,In Progress,2024-12-23
SKL00291,EMP0072,Budgeting,Advanced,2,In Progress,2024-02-13
SKL00292,EMP0072,Stakeholder Management,Intermediate,4.8,No,2024-03-06
SKL00293,EMP0073,Git,Advanced,0.7,No,2024-04-02
SKL00294,EMP0073,REST API,Expert,4.4,No,2024-04-08
SKL00295,EMP0073,React,Intermediate,2.1,Yes,2024-05-31
SKL00296,EMP0074,Communication,Expert,7.6,In Progress,2024-07-11
SKL00297,EMP0074,Project Management,Intermediate,2.6,In Progress,2024-11-15
SKL00298,EMP0074,Excel,Expert,2.4,No,2024-01-23
SKL00299,EMP0075,Labor Law,Advanced,9.5,Yes,2024-09-30
SKL00300,EMP0075,HRIS,Intermediate,11.6,No,2024-04-09
SKL00301,EMP0075,Onboarding,Intermediate,11.4,No,2024-08-24
SKL00302,EMP0075,Performance Management,Advanced,9.4,In Progress,2024-09-27
SKL00303,EMP0076,Excel,Beginner,6,No,2024-10-10
SKL00304,EMP0076,Communication,Expert,8.7,In Progress,2024-03-04
SKL00305,EMP0076,Project Management,Intermediate,9.3,No,2024-08-18
SKL00306,EMP0076,Problem Solving,Expert,2.2,No,2024-02-16
SKL00307,EMP0077,Onboarding,Intermediate,5.1,No,2024-04-30
SKL00308,EMP0077,Labor Law,Intermediate,1.4,Yes,2024-01-15
SKL00309,EMP0077,Recruitment,Intermediate,1.6,In Progress,2024-11-28
SKL00310,EMP0078,Excel,Expert,5.9,Yes,2024-12-27
SKL00311,EMP0078,Communication,Advanced,7.6,Yes,2024-01-10
SKL00312,EMP0078,Project Management,Intermediate,10.1,In Progress,2024-11-07
SKL00313,EMP0078,Problem Solving,Advanced,1.8,No,2024-05-01
SKL00314,EMP0079,Business Analysis,Advanced,7.7,Yes,2024-02-26
SKL00315,EMP0079,Client Management,Expert,6.2,In Progress,2024-01-09
SKL00316,EMP0079,Process Improvement,Advanced,7.1,In Progress,2024-03-14
SKL00317,EMP0079,SAP,Intermediate,0.5,No,2024-05-03
SKL00318,EMP0080,Process Improvement,Beginner,6.5,In Progress,2024-09-16
SKL00319,EMP0080,SAP,Advanced,5,No,2024-01-23
SKL00320,EMP0080,ERP,Advanced,11.8,No,2024-01-09
SKL00321,EMP0080,Business Analysis,Intermediate,1.3,Yes,2024-12-02
SKL00322,EMP0080,Client Management,Advanced,9.4,In Progress,2024-06-19
SKL00323,EMP0081,Project Management,Intermediate,7.9,In Progress,2024-08-25
SKL00324,EMP0081,Agile,Expert,6,Yes,2024-03-10
SKL00325,EMP0081,Budgeting,Beginner,9.4,No,2024-01-19
SKL00326,EMP0082,Leadership,Intermediate,4.1,No,2024-10-05
SKL00327,EMP0082,Project Management,Advanced,0.9,In Progress,2024-04-07
SKL00328,EMP0082,Budgeting,Intermediate,10.4,Yes,2024-12-01
SKL00329,EMP0082,Agile,Intermediate,1.9,No,2024-08-11
SKL00330,EMP0083,Problem Solving,Advanced,6.2,In Progress,2024-05-16
SKL00331,EMP0083,Excel,Expert,8.9,Yes,2024-08-08
SKL00332,EMP0083,Project Management,Advanced,10,In Progress,2024-05-30
SKL00333,EMP0083,Communication,Intermediate,1.4,In Progress,2024-05-31
SKL00334,EMP0084,Budgeting,Intermediate,1,No,2024-11-10
SKL00335,EMP0084,Stakeholder Management,Expert,3.7,Yes,2024-02-08
SKL00336,EMP0084,Project Management,Advanced,5.2,In Progress,2024-12-13
SKL00337,EMP0084,Leadership,Intermediate,0.9,In Progress,2024-12-13
SKL00338,EMP0085,Communication,Advanced,4.7,No,2024-10-17
SKL00339,EMP0085,Problem Solving,Beginner,2.3,No,2024-07-08
SKL00340,EMP0085,Project Management,Intermediate,9.3,In Progress,2024-03-11
SKL00341,EMP0085,Excel,Advanced,5.1,In Progress,2024-05-22
SKL00342,EMP0086,Python,Advanced,11,Yes,2024-05-14
SKL00343,EMP0086,REST API,Advanced,8.6,Yes,2024-11-09
SKL00344,EMP0086,JavaScript,Intermediate,11,No,2024-04-12
SKL00345,EMP0086,React,Intermediate,10.3,No,2024-03-29
SKL00346,EMP0087,Python,Advanced,3.8,No,2024-03-21
SKL00347,EMP0087,Git,Advanced,11.2,In Progress,2024-03-30
SKL00348,EMP0087,SQL,Advanced,6.4,Yes,2024-04-12
SKL00349,EMP0087,Docker,Advanced,3.2,No,2024-01-14
SKL00350,EMP0087,React,Intermediate,7.1,No,2024-10-09
SKL00351,EMP0087,REST API,Intermediate,10.7,Yes,2024-06-07
SKL00352,EMP0088,Budgeting,Intermediate,4.1,Yes,2024-08-18
SKL00353,EMP0088,Stakeholder Management,Advanced,6.4,Yes,2024-10-09
SKL00354,EMP0088,Leadership,Advanced,2.6,Yes,2024-08-09
SKL00355,EMP0088,Project Management,Advanced,10.5,Yes,2024-09-22
SKL00356,EMP0089,Agile,Intermediate,8.7,No,2024-09-22
SKL00357,EMP0089,Leadership,Expert,10.2,No,2024-04-10
SKL00358,EMP0089,Project Management,Advanced,6.8,Yes,2024-11-16
SKL00359,EMP0090,Communication,Intermediate,7.7,In Progress,2024-06-21
SKL00360,EMP0090,Project Management,Expert,7,Yes,2024-02-11
SKL00361,EMP0090,Problem Solving,Beginner,7.9,In Progress,2024-05-15
SKL00362,EMP0090,Excel,Advanced,9.3,No,2024-11-12
SKL00363,EMP0091,Problem Solving,Advanced,4,Yes,2024-12-16
SKL00364,EMP0091,Project Management,Intermediate,5.7,In Progress,2024-01-31
SKL00365,EMP0091,Excel,Intermediate,5.3,No,2024-04-14
SKL00366,EMP0092,Stakeholder Management,Advanced,10.4,No,2024-03-07
SKL00367,EMP0092,Leadership,Advanced,6.4,Yes,2024-06-12
SKL00368,EMP0092,Budgeting,Intermediate,1.9,No,2024-05-06
SKL00369,EMP0092,Agile,Intermediate,1.1,No,2024-11-11
SKL00370,EMP0093,JavaScript,Advanced,6.4,No,2024-06-06
SKL00371,EMP0093,REST API,Advanced,1.5,No,2024-09-15
SKL00372,EMP0093,SQL,Advanced,3.3,In Progress,2024-06-29
SKL00373,EMP0093,Docker,Beginner,3.7,In Progress,2024-11-30
SKL00374,EMP0093,Python,Advanced,3.8,Yes,2024-02-25
SKL00375,EMP0093,React,Intermediate,10.6,In Progress,2024-07-06
